rule,average_weight,average_turnover,months,cagr,annual_volatility,sharpe_vs_cash,max_drawdown,months_beating_cash,cagr_after_tax,excess_vs_static_annual,excess_p_value
oracle_binary,0.545744680851064,0.5676330453022848,94,0.6496918418670821,0.1823062522792581,2.420361470322403,0.0,54,0.5873520357833533,0.34763348794690296,1.904287156634251e-16
oracle_continuous,0.46083768332139824,0.5040768531493953,94,0.6360848976568181,0.1834191951928839,2.3603438351605384,0.0,53,0.5712572998331789,0.33918963381778355,1.9430598116776615e-15
linear_drawdown,0.5612497898303463,0.021860821813707177,94,0.17892945562693696,0.166829691014344,0.5748101461000861,-0.23222935791225152,54,0.17639019464562944,0.0011953437938165517,0.5862024465312765
linear_trailing_12m,0.5528281407738004,0.022372685424633686,94,0.1781467202534035,0.16463451161744025,0.5757804161993856,-0.22176289582081155,54,0.17555335347775713,9.667388485947247e-05,0.9025325618367314
static,0.5499999999999997,0.02135113418798047,94,0.17811063828134577,0.1642577923465773,0.5765077125344724,-0.2178838555098691,54,0.17552900288635032,,
linear_market_trailing_12m,0.5499999999999997,0.02135113418798047,94,0.17811063828134577,0.1642577923465773,0.5765077125344724,-0.2178838555098691,54,0.17552900288635032,0.0,
linear_above_trend,0.5484218683174612,0.025440818082554523,94,0.1717283080217098,0.15844366663322967,0.5574457537380424,-0.20585360108030049,54,0.16895802292874862,-0.006467775395591961,0.41826524788597697
linear_short_volatility,0.5329852083235377,0.10068388052972531,94,0.16945578782252757,0.16428167751146536,0.5292255116804139,-0.21211824229273613,54,0.1593174043643255,-0.007595080575266632,0.7028656260306049
volatility_target,0.5846221498662193,0.04916966867302095,94,0.12302680875455008,0.2039055700830651,0.27221506380613775,-0.37260019687396195,54,0.11809124351801858,-0.03951397494902413,0.10884138779323116
mean_variance,0.1350968401709931,0.03133789515396328,94,0.09127035376478898,0.0573820316386873,0.10332297826195212,-0.14229597931845417,49,0.08893625961637697,-0.08907135661038167,0.05291641408981868
reference_CDI,0.0,0.0,94,0.08674372292302457,0.011619780533539055,,0.0,0,,,
reference_BOVA11,1.0,0.0,94,0.08572312329641263,0.217302158091399,0.10972105224344875,-0.39294467754731277,53,,,
reference_IBOVESPA,1.0,0.0,94,0.0848358376898053,0.21444070699961715,0.10357340218554881,-0.3841768371465797,52,,,
