ticker,isin,issuer_name,asset_class,cnpj_cia,cvm_name,cvm_sector,match_method,confidence,mapping_status,source,universe_year,decision_date
ABCB4.SA,BRABCBACNPR4,ABC BRASIL,equity,28.195.667/0001-06,BANCO ABC BRASIL S/A,Bancos,prior_accepted_b3_cvm_bridge_same_ticker_isin,1.0,accepted,B3 COTAHIST official annual file; last trading session 2025-01-02; 60-session average traded value,2026,2026-01-02
ONCO3.SA,BRONCOACNOR6,ONCOCLINICAS,equity,12.104.241/0004-02,ONCOCLÍNICAS DO BRASIL SERVIÇOS MÉDICOS S.A.,Serviços Médicos,prior_accepted_b3_cvm_bridge_same_ticker_isin,1.0,accepted,B3 COTAHIST official annual file; last trading session 2025-01-02; 60-session average traded value,2026,2026-01-02
LOGG3.SA,BRLOGGACNOR7,LOG COM PROP,equity,09.041.168/0001-10,LOG COMMERCIAL PROPERTIES E PARTICIPAÇÕES,"Construção Civil, Mat. Constr. e Decoração",prior_accepted_b3_cvm_bridge_same_ticker_isin,1.0,accepted,B3 COTAHIST official annual file; last trading session 2025-01-02; 60-session average traded value,2026,2026-01-02
SEER3.SA,BRSEERACNOR5,SER EDUCA,equity,04.986.320/0001-13,SER EDUCACIONAL S.A.,Educação,prior_accepted_b3_cvm_bridge_same_ticker_isin,1.0,accepted,B3 COTAHIST official annual file; last trading session 2025-01-02; 60-session average traded value,2026,2026-01-02
CASH3.SA,BRCASHACNOR8,MELIUZ,equity,14.110.585/0001-07,MELIUZ S.A.,Comunicação e Informática,prior_accepted_b3_cvm_bridge_same_ticker_isin,1.0,accepted,B3 COTAHIST official annual file; last trading session 2025-01-02; 60-session average traded value,2026,2026-01-02
FRAS3.SA,BRFRASACNOR0,FRAS-LE,equity,88.610.126/0001-29,FRASLE MOBILITY S.A.,"Máquinas, Equipamentos, Veículos e Peças",prior_accepted_b3_cvm_bridge_same_ticker_isin,1.0,accepted,B3 COTAHIST official annual file; last trading session 2025-01-02; 60-session average traded value,2026,2026-01-02
BMOB3.SA,BRBMOBACNOR7,BEMOBI TECH,equity,09.042.817/0001-05,BEMOBI MOBILE TECH S.A.,Comunicação e Informática,prior_accepted_b3_cvm_bridge_same_ticker_isin,1.0,accepted,B3 COTAHIST official annual file; last trading session 2025-01-02; 60-session average traded value,2026,2026-01-02
SAPR4.SA,BRSAPRACNPR6,SANEPAR,equity,76.484.013/0001-45,CIA. DE SANEAMENTO DO PARANÁ - SANEPAR,"Saneamento, Serv. Água e Gás",prior_accepted_b3_cvm_bridge_same_ticker_isin,1.0,accepted,B3 COTAHIST official annual file; last trading session 2025-01-02; 60-session average traded value,2026,2026-01-02
LAVV3.SA,BRLAVVACNOR4,LAVVI,equity,26.462.693/0001-28,LAVVI EMPREENDIMENTOS IMOBILIÁRIOS S.A,"Construção Civil, Mat. Constr. e Decoração",prior_accepted_b3_cvm_bridge_same_ticker_isin,1.0,accepted,B3 COTAHIST official annual file; last trading session 2025-01-02; 60-session average traded value,2026,2026-01-02
EVEN3.SA,BREVENACNOR8,EVEN,equity,43.470.988/0001-65,EVEN CONSTRUTORA E INCORPORADORA S/A,"Construção Civil, Mat. Constr. e Decoração",prior_accepted_b3_cvm_bridge_same_ticker_isin,1.0,accepted,B3 COTAHIST official annual file; last trading session 2025-01-02; 60-session average traded value,2026,2026-01-02
