name,year,eligible_assets,gross_return,turnover,net_return,cdi_return
reversal_w21_e05_v00,2015,257,-0.11608273373146172,1.0,-0.11758273373146172,0.1318997108790032
reversal_w21_e05_v00,2016,258,1.44954086493496,0.5665218163019793,1.448691082210507,0.13939289494698648
reversal_w21_e05_v00,2017,260,0.4863235305418381,0.561977557374032,0.485480564205777,0.09869747716374477
reversal_w21_e05_v00,2018,262,0.2396864635492979,0.5846433301485054,0.23880949855407516,0.06393224883871174
reversal_w21_e05_v00,2019,266,0.67830789905671,0.6238086483145302,0.6773721860842382,0.05933780936875266
reversal_w21_e05_v00,2020,268,0.403715349668087,0.5527054750672878,0.40288629145548605,0.0274025853352573
reversal_w21_e05_v00,2021,273,0.0789086352836208,0.675260703462048,0.07789574422842772,0.04415820920482849
reversal_w21_e05_v00,2022,297,-0.09764830867487428,0.5984037255903429,-0.0985459142632598,0.12294915546054375
reversal_w21_e05_v00,2023,332,0.32906593549559227,0.6258127788936226,0.32812721632725184,0.1293265758525719
reversal_w21_e05_v00,2024,333,-0.13326826643253709,0.6033385017367168,-0.13417327418514216,0.10777090353467478
reversal_w21_e05_v00,2025,325,0.2733125581976097,0.6159745303124636,0.27238859640214097,0.14209253474057149
