name,train_kind,train_lookback,train_exponent,train_volatility_power,train_split,train_years,train_cagr,train_cdi_cagr,train_excess_cdi,train_worst_year,train_max_drawdown,train_average_turnover,holdout_kind,holdout_lookback,holdout_exponent,holdout_volatility_power,holdout_split,holdout_years,holdout_cagr,holdout_cdi_cagr,holdout_excess_cdi,holdout_worst_year,holdout_max_drawdown,holdout_average_turnover,train_score
reversal_w126_e20_v00,reversal,126,2.0,0.0,train,6,0.5476640983628991,0.08602906249629738,0.4616350358666017,-0.1356183246188914,0.0,1.1469890630474666,reversal,126,2.0,0.0,holdout,5,-0.004879970009636692,0.10871376388269938,-0.11359373389233607,-0.21737421434743848,-0.21737421434743842,1.1580103782765876,0.4042855827142284
reversal_w21_e20_v00,reversal,21,2.0,0.0,train,6,0.536589563985892,0.08602906249629738,0.4505605014895946,-0.15550481859301374,0.0,1.0306341564162067,reversal,21,2.0,0.0,holdout,5,0.06439147001951495,0.10871376388269938,-0.044322293863184425,-0.1369210221047158,-0.1369210221047158,1.132572120896949,0.39902879366878424
reversal_w252_e20_v00,reversal,252,2.0,0.0,train,6,0.5409515630138784,0.08602906249629738,0.454922500517581,-0.15288075125171924,0.0,1.1822923608086178,reversal,252,2.0,0.0,holdout,5,-0.01274064890923654,0.10871376388269938,-0.12145441279193592,-0.20935878528055965,-0.20935878528055962,1.1979632102790199,0.3958078824771501
reversal_w63_e20_v00,reversal,63,2.0,0.0,train,6,0.5043198714095409,0.08602906249629738,0.41829080891324355,-0.11729694347594605,0.0,1.0835005984982025,reversal,63,2.0,0.0,holdout,5,0.02718110507349003,0.10871376388269938,-0.08153265880920935,-0.18762608929174454,-0.1876260892917445,1.1557828110003803,0.3641157789883334
reversal_w126_e10_v00,reversal,126,1.0,0.0,train,6,0.4897912065729495,0.08602906249629738,0.4037621440766521,-0.11838852200201738,0.0,0.9103125908028028,reversal,126,1.0,0.0,holdout,5,0.027005699478753753,0.10871376388269938,-0.08170806440394562,-0.17251682105436147,-0.1725168210543615,0.8979234756864353,0.35824651453651196
reversal_w21_e10_v00,reversal,21,1.0,0.0,train,6,0.48514088205341377,0.08602906249629738,0.3991118195571164,-0.13294352230008072,0.0,0.8202721972365624,reversal,21,1.0,0.0,holdout,5,0.07133378137087676,0.10871376388269938,-0.03737998251182262,-0.13293837825560093,-0.13293837825560095,0.8447244772094337,0.35809820969528827
reversal_w252_e10_v00,reversal,252,1.0,0.0,train,6,0.4859235195764646,0.08602906249629738,0.39989445708016724,-0.13061721261922082,0.0,0.951421367473784,reversal,252,1.0,0.0,holdout,5,0.024554753216610825,0.10871376388269938,-0.08415901066608855,-0.17695592560858434,-0.1769559256085843,0.943519234529537,0.35232338870647806
reversal_w63_e10_v00,reversal,63,1.0,0.0,train,6,0.46769206063984203,0.08602906249629738,0.38166299814354465,-0.10391402442075043,0.0,0.8540819181970436,reversal,63,1.0,0.0,holdout,5,0.04966885844240099,0.10871376388269938,-0.05904490544029839,-0.15370536742239596,-0.15370536742239593,0.8836553059098818,0.33895890223369246
reversal_w21_e05_v00,reversal,21,0.5,0.0,train,6,0.4516276584289718,0.08602906249629738,0.3655985959326744,-0.11758273373146172,0.0,0.6482761378677224,reversal,21,0.5,0.0,holdout,5,0.07290720091217073,0.10871376388269938,-0.035806562970528644,-0.13417327418514216,-0.13417327418514224,0.6237580479990388,0.3331847890392883
reversal_w126_e05_v00,reversal,126,0.5,0.0,train,6,0.4532357818582957,0.08602906249629738,0.36720671936199833,-0.1102013189452567,0.0,0.7153441414780044,reversal,126,0.5,0.0,holdout,5,0.04630311980811652,0.10871376388269938,-0.062410644074582855,-0.15729711137405436,-0.15729711137405433,0.6777873571703594,0.3314395122880981
reversal_w252_e05_v00,reversal,252,0.5,0.0,train,6,0.450605030748934,0.08602906249629738,0.3645759682526366,-0.11865559140858756,0.0,0.7519513924805211,reversal,252,0.5,0.0,holdout,5,0.04641102070882641,0.10871376388269938,-0.062302743173872965,-0.16136127327667144,-0.16136127327667138,0.7205543723840158,0.32697839862861056
reversal_w63_e05_v00,reversal,63,0.5,0.0,train,6,0.44363747797291064,0.08602906249629738,0.35760841547661326,-0.10041957775449323,0.0,0.6708359918089064,reversal,63,0.5,0.0,holdout,5,0.06089159598420024,0.10871376388269938,-0.047822167898499135,-0.1288501135514819,-0.1288501135514819,0.6612647377740183,0.3240666158861679
equal_w21_e10_v00,equal,21,1.0,0.0,train,6,0.40990621010495976,0.08602906249629738,0.3238771476086624,-0.10873116380100473,0.0,0.4661410733928588,equal,21,1.0,0.0,holdout,5,0.06848908010855115,0.10871376388269938,-0.04022468377414823,-0.14355902748212102,-0.14355902748212102,0.39443945512247236,0.30057009393901946
momentum_w63_e05_v00,momentum,63,0.5,0.0,train,6,0.371188254110034,0.08602906249629738,0.2851591916137366,-0.10679107027721607,0.0,0.5414412661487218,momentum,63,0.5,0.0,holdout,5,0.08384619436471197,0.10871376388269938,-0.02486756951798741,-0.15367625287486555,-0.15367625287486553,0.45698334321015216,0.2580871283063005
reversal_w252_e20_v05,reversal,252,2.0,0.5,train,6,0.40706726297738904,0.08602906249629738,0.32103820048109166,-0.1901162575762751,0.0,1.2925608765807448,reversal,252,2.0,0.5,holdout,5,0.01704723008708009,0.10871376388269938,-0.09166653379561929,-0.1923932036361359,-0.19239320363613588,1.3079507393317735,0.2564101566520544
reversal_w126_e20_v05,reversal,126,2.0,0.5,train,6,0.4043804089703138,0.08602906249629738,0.3183513464740164,-0.18135570097150638,0.0,1.2808206402011633,reversal,126,2.0,0.5,holdout,5,0.018721089286954262,0.10871376388269938,-0.08999267459574511,-0.20016779699953802,-0.20016779699953802,1.2655769818782945,0.25431031446395824
momentum_w21_e05_v00,momentum,21,0.5,0.0,train,6,0.35793480703087965,0.08602906249629738,0.27190574453458227,-0.09338875214104986,0.0,0.5576190915456714,momentum,21,0.5,0.0,holdout,5,0.06826002041364143,0.10871376388269938,-0.040453743469057946,-0.14738851008103251,-0.1473885100810326,0.5003719645732916,0.2440247899572987
reversal_w126_e20_v10,reversal,126,2.0,1.0,train,6,0.40477606928359133,0.08602906249629738,0.31874700678729395,-0.16076909739303397,-0.002961824171722638,1.4841549456708654,reversal,126,2.0,1.0,holdout,5,0.01829528651749368,0.10871376388269938,-0.0904184773652057,-0.18458254780387115,-0.18458254780387118,1.3346131927366105,0.2439468946694061
momentum_w126_e05_v00,momentum,126,0.5,0.0,train,6,0.3540513694478795,0.08602906249629738,0.26802230695158213,-0.1002226243483249,0.0,0.4895599554112249,momentum,126,0.5,0.0,holdout,5,0.09825120433753476,0.10871376388269938,-0.010462559545164618,-0.12639703973430677,-0.12639703973430694,0.4288204982628379,0.24354430918102088
momentum_w252_e05_v00,momentum,252,0.5,0.0,train,6,0.34966292905575935,0.08602906249629738,0.26363386655946197,-0.09090859610480512,0.0,0.4279099795980123,momentum,252,0.5,0.0,holdout,5,0.10117216013733721,0.10871376388269938,-0.007541603745362169,-0.1163146787956356,-0.11631467879563562,0.3434410081931535,0.24223836757956135
momentum_w63_e10_v00,momentum,63,1.0,0.0,train,6,0.3440701832644768,0.08602906249629738,0.2580411207681794,-0.1148850294499078,0.0,0.7094961010191788,momentum,63,1.0,0.0,holdout,5,0.08531408409440489,0.10871376388269938,-0.023399679788294492,-0.16815185202233146,-0.16815185202233152,0.6443487613678797,0.22256631571722046
reversal_w252_e10_v05,reversal,252,1.0,0.5,train,6,0.36259272858525327,0.08602906249629738,0.2765636660889559,-0.15365303955350923,0.0,1.0963837757247943,reversal,252,1.0,0.5,holdout,5,0.04926607262953331,0.10871376388269938,-0.05944769125316607,-0.16246001350379163,-0.1624600135037918,1.0910207979289446,0.22174447730271618
reversal_w126_e10_v05,reversal,126,1.0,0.5,train,6,0.35913905352114583,0.08602906249629738,0.27310999102484845,-0.1532930627572538,0.0,1.095713863923934,reversal,126,1.0,0.5,holdout,5,0.04506170825494671,0.10871376388269938,-0.06365205562775267,-0.15321075776322848,-0.15321075776322846,1.0427370761437844,0.21832429782865176
reversal_w252_e20_v10,reversal,252,2.0,1.0,train,6,0.36318328533786315,0.08602906249629738,0.27715422284156577,-0.17963978020308674,-0.0029743668532951073,1.344482565849474,reversal,252,2.0,1.0,holdout,5,0.04609246511090204,0.10871376388269938,-0.06262129877179734,-0.16166184558493138,-0.16166184558493135,1.3596099719261732,0.20933522117843306
momentum_w252_e10_v00,momentum,252,1.0,0.0,train,6,0.3207251061241789,0.08602906249629738,0.23469604362788155,-0.08733699276988077,0.0,0.5962329020831648,momentum,252,1.0,0.0,holdout,5,0.11191555414251608,0.10871376388269938,0.003201790259816706,-0.1103445191340813,-0.11034451913408128,0.5075604740054136,0.2048843985237233
momentum_w21_e10_v00,momentum,21,1.0,0.0,train,6,0.3263316308982256,0.08602906249629738,0.2403025684019282,-0.08539069687521356,0.0,0.714869929057827,momentum,21,1.0,0.0,holdout,5,0.06385315793172874,0.10871376388269938,-0.04486060595097063,-0.15539198789292905,-0.15539198789292907,0.7020566974016419,0.20455907194903686
reversal_w252_e05_v05,reversal,252,0.5,0.5,train,6,0.33628186270377114,0.08602906249629738,0.25025280020747376,-0.1337922491302143,0.0,0.939940815669667,reversal,252,0.5,0.5,holdout,5,0.067501656268101,0.10871376388269938,-0.04121210761459837,-0.1476100880995406,-0.14761008809954068,0.9072886505918296,0.2032557594239904
momentum_w126_e10_v00,momentum,126,1.0,0.0,train,6,0.3214216137357351,0.08602906249629738,0.2353925512394377,-0.1001662991170636,0.0,0.6580943004541503,momentum,126,1.0,0.0,holdout,5,0.1093821561384678,0.10871376388269938,0.0006683922557684241,-0.11994702188813194,-0.11994702188813211,0.6044257390095339,0.20248783621673017
