name,year,eligible_assets,gross_return,turnover,net_return,cdi_return
momentum_w126_e05_v00,2015,257,-0.0987226243483249,1.0,-0.1002226243483249,0.1318997108790032
momentum_w126_e05_v00,2016,258,0.7257418766603003,0.3350599196921972,0.725239286780762,0.13939289494698648
momentum_w126_e05_v00,2017,260,0.5176764668129263,0.37596363932135346,0.5171125213539443,0.09869747716374477
momentum_w126_e05_v00,2018,262,0.2583623286627985,0.3906639406565251,0.2577763327518137,0.06393224883871174
momentum_w126_e05_v00,2019,266,0.6093960068889288,0.4308581746840011,0.6087497196269028,0.05933780936875266
momentum_w126_e05_v00,2020,268,0.2939592266874973,0.40481405811327187,0.29335200560032737,0.0274025853352573
momentum_w126_e05_v00,2021,273,0.129175519391997,0.4994923341364114,0.1284262808907924,0.04415820920482849
momentum_w126_e05_v00,2022,297,-0.04568163276558701,0.456395664485984,-0.046366226262315985,0.12294915546054375
momentum_w126_e05_v00,2023,332,0.33610562586441284,0.49568386096838246,0.33536210007296025,0.1293265758525719
momentum_w126_e05_v00,2024,333,-0.12588832385852233,0.3391439171896332,-0.12639703973430677,0.10777090353467478
momentum_w126_e05_v00,2025,325,0.27327239117112345,0.35338671453377857,0.2727423110993228,0.14209253474057149
