name,year,eligible_assets,gross_return,turnover,net_return,cdi_return
equal_w21_e10_v00,2015,257,-0.10723116380100473,1.0,-0.10873116380100473,0.1318997108790032
equal_w21_e10_v00,2016,258,1.1514101103104228,0.3723599766392803,1.1508515703454638,0.13939289494698648
equal_w21_e10_v00,2017,260,0.49421747375724046,0.3424491270616942,0.49370380006664794,0.09869747716374477
equal_w21_e10_v00,2018,262,0.24119435064854988,0.3374686464432376,0.24068814767888502,0.06393224883871174
equal_w21_e10_v00,2019,266,0.6677567642363089,0.38566925626675824,0.6671782603519087,0.05933780936875266
equal_w21_e10_v00,2020,268,0.3267505547002141,0.3588994339461824,0.3262122055492948,0.0274025853352573
equal_w21_e10_v00,2021,273,0.09752437221555166,0.44487240183139876,0.09685706361280456,0.04415820920482849
equal_w21_e10_v00,2022,297,-0.09581001602899109,0.4095190704176806,-0.0964242946346176,0.12294915546054375
equal_w21_e10_v00,2023,332,0.33002502896890107,0.4337454658529467,0.32937441077012164,0.1293265758525719
equal_w21_e10_v00,2024,333,-0.14304765243822604,0.3409166959299885,-0.14355902748212102,0.10777090353467478
equal_w21_e10_v00,2025,325,0.23473053240822184,0.34314364158034727,0.2342158169458513,0.14209253474057149
