date,ITUB4.SA,MGLU3.SA,PETR4.SA,VALE3.SA,TITULO_CDI
2013-04-29,7.8341,1.9036,4.3536,13.7569,102.1967330145361
2013-04-30,8.0347,1.8904,4.4697,14.023,102.22504661941775
2013-05-02,7.9427,1.9406,4.5053,13.7118,102.25336806858367
2013-05-03,8.0526,2.0673,4.4497,13.8388,102.28169736420708
2013-05-06,8.0407,2.1043,4.5276,13.851,102.31007235268986
2013-05-07,8.2772,2.1914,4.5877,14.2687,102.33845521296195
2013-05-08,8.3633,2.1386,4.5142,14.3137,102.36680808197869
2013-05-09,8.3633,2.1386,4.5031,14.3915,102.39520668187679
2013-05-10,8.2844,2.1122,4.4386,14.0189,102.42357527388799
2013-05-13,8.1267,2.0198,4.314,13.6914,102.45191382869476
2013-05-14,8.2486,2.128,4.3496,13.4252,102.48026022421288
2013-05-15,8.3871,2.1676,4.354,13.1427,102.50861446261172
2013-05-16,8.3083,2.0462,4.3941,12.8357,102.53697654606124
2013-05-17,8.423,2.1835,4.4386,12.9585,102.56534647673202
2013-05-20,8.4947,2.3498,4.4942,13.4662,102.5937242567952
2013-05-21,7.8447,2.4185,4.5031,13.5726,102.62210988842257
2013-05-22,7.9475,2.3155,4.4319,13.3556,102.65050337378652
2013-05-23,7.8806,2.2706,4.4186,13.1059,102.67890471505999
2013-05-24,7.8567,2.3023,4.4608,12.979,102.70731391441655
2013-05-27,7.8232,2.3261,4.4364,13.0404,102.73573097403039
2013-05-28,7.8495,2.3525,4.4653,12.8152,102.76415589607628
2013-05-29,7.6583,2.3102,4.4163,12.7128,102.7925886827296
2013-05-31,7.742,2.1518,4.4608,12.4672,102.82292688735342
2013-06-03,7.6786,2.1571,4.5142,12.938,102.85327404599497
2013-06-04,7.7169,2.1228,4.4653,13.1018,102.88363016129689
2013-06-05,7.4491,2.1808,4.3207,12.6596,102.9139952359027
2013-06-06,7.5185,2.2469,4.3296,12.807,102.94436927245663
2013-06-07,7.4706,2.1333,4.1916,12.5982,102.97475227360368
2013-06-10,7.4563,2.1439,4.2005,12.4713,103.00514424198973
2013-06-11,7.2125,2.1096,4.1227,12.1642,103.0355451802613
2013-06-12,7.1957,2.0858,4.0314,12.0332,103.0659550910658
2013-06-13,7.1766,2.0541,4.1827,12.6473,103.09637397705139
2013-06-14,7.0236,1.9643,4.0181,12.3157,103.12680184086696
2013-06-17,7.0619,1.9195,4.0248,12.4467,103.15723868516227
2013-06-18,7.0188,1.8799,3.9669,12.7046,103.1876845125878
2013-06-19,6.9328,1.8482,3.8268,12.5736,103.21813932579485
2013-06-20,7.0116,1.7769,3.7867,12.6719,103.24860312743544
2013-06-21,6.8276,1.6475,3.6621,12.4672,103.27907592016248
2013-06-24,6.5981,1.5815,3.5397,11.8285,103.30955770662955
2013-06-25,6.6244,1.5155,3.5598,12.0373,103.34004848949108
2013-06-26,6.6578,1.4759,3.5931,11.6483,103.37054827140226
2013-06-27,6.7917,1.4865,3.6443,11.6483,103.40105705501908
2013-06-28,6.8778,1.4205,3.5998,11.9144,103.4315748429983
2013-07-01,6.8168,1.3782,3.5954,12.0741,103.46210163799745
2013-07-02,6.5226,1.2673,3.4241,11.6688,103.49263744267489
2013-07-03,6.4484,1.3201,3.5375,11.6237,103.52318225968973
2013-07-04,6.5298,1.3782,3.5509,12.0659,103.55373609170184
2013-07-05,6.4102,1.3175,3.3707,11.7507,103.58429894137196
2013-07-08,6.4102,1.2884,3.3328,11.6237,103.61487081136151
2013-07-10,6.4556,1.233,3.384,11.8612,103.67604162294879
2013-07-11,6.6159,1.328,3.5153,12.4139,103.70854717227883
2013-07-12,6.5489,1.3967,3.433,12.2174,103.74106291307372
2013-07-15,6.6685,1.468,3.4574,12.3362,103.77358884852885
2013-07-16,6.7068,1.5208,3.5041,12.7865,103.80612498184053
2013-07-17,6.7929,1.629,3.5731,13.0363,103.83867131620606
2013-07-18,6.8024,1.534,3.582,12.9585,103.87122785482381
2013-07-19,6.7761,1.5261,3.5331,12.6514,103.90379460089312
2013-07-22,6.9172,1.5842,3.6265,12.8602,103.93637155761432
2013-07-23,7.0105,1.5525,3.651,13.11,103.96895872818877
2013-07-24,6.9268,1.4865,3.6465,13.0649,104.0015561158188
2013-07-25,6.9364,1.4812,3.7467,13.2082,104.03416372370779
2013-07-26,6.9364,1.4785,3.7711,13.2082,104.06678155506009
2013-07-29,6.934,1.4759,3.7111,13.0363,104.09940961308104
2013-07-30,6.989,1.4046,3.6621,12.7169,104.13204790097701
2013-07-31,6.9699,1.3492,3.6243,12.7005,104.16469642195538
2013-08-01,7.196,1.3386,3.7689,12.8275,104.19739267851527
2013-08-02,7.1553,1.3386,3.74,12.7947,104.2300991981031
2013-08-05,7.0429,1.3465,3.7044,12.9175,104.26277846110467
2013-08-06,6.8801,1.3069,3.6221,12.8193,104.29546797003557
2013-08-07,6.8674,1.6845,3.6154,13.1018,104.3281677281082
2013-08-08,7.0656,1.6502,3.7044,13.5849,104.36087773853598
2013-08-09,7.0994,1.6053,3.8001,14.2277,104.39359800453332
2013-08-12,7.2903,1.5313,3.6777,14.5348,104.42632852931565
2013-08-13,7.3362,1.4891,3.6421,14.5798,104.45906931609944
2013-08-14,7.2637,1.6158,3.7711,14.6494,104.49182036810211
2013-08-15,7.2033,1.5604,3.9669,14.8009,104.5245816885421
2013-08-16,7.0559,1.5155,3.9558,14.9852,104.5573532806389
2013-08-19,6.9931,1.534,3.9669,14.9074,104.59013514761297
2013-08-20,6.9182,1.4785,3.8112,14.4857,104.62292729268579
2013-08-21,6.8674,1.4495,3.8579,14.3342,104.65572971907986
2013-08-22,6.8722,1.4785,4.0626,14.846,104.68854243001869
2013-08-23,7.1066,1.563,4.1271,14.7886,104.72136542872677
2013-08-26,6.9858,1.5445,4.047,14.6986,104.75419871842962
2013-08-27,6.7901,1.4627,3.8824,14.4406,104.78704230235378
2013-08-28,6.8143,1.4733,3.8179,14.2646,104.81989618372683
