decision_year,selected_configuration,training_years,training_excess_sharpe,runner_up,switched,switching_cost,gross_of_switch_return,net_return,cdi_net_return,mvo_eligible_net_return,benchmark_IBOVESPA,benchmark_BOVA11,cdi_net_return_after_tax,turnover,equity_gain_rate,cash_weight,mvo_turnover,mvo_equity_gain_rate,mvo_cash_weight,realised_share_for_tax,tax_rate,net_return_after_tax,mvo_realised_share_for_tax,mvo_tax_rate,mvo_net_return_after_tax
2016,eq55_n5_triple_factor,3,-0.45905562738322814,eq75_n5_triple_factor,False,0.0,0.3514689013382775,0.3514689013382775,0.13881531059776075,0.35523950459360937,0.4291782349730666,0.41703172361765506,0.11452263124315262,0.5858118552655814,0.28969413364572305,0.44999999999999996,0.5858118552655814,0.28969413364572305,0.44999999999999996,0.4802392162925778,0.02611820633869365,0.32535069499958386,0.4802392162925778,0.02611820633869365,0.3291212982549157
2017,eq55_n5_momentum_12m,4,0.2038331206966987,eq75_n5_momentum_12m,True,0.0036833015047817055,0.1931713120700614,0.1894880105652797,0.09869747716374411,0.21642324479965494,0.28214938998808514,0.28093004210729355,0.08142541866008889,0.9604784325851556,0.15009384707138917,0.4500000000135384,0.9604784325851556,0.15009384707138917,0.4500000000135384,0.41433981121638785,0.012548904096017314,0.1769391064692624,0.41433981121638785,0.012548904096017314,0.20387434070363764
2018,eq55_n8_low_volatility,5,0.36862386044500756,eq75_n8_low_volatility,True,0.0036833015047817055,-0.06903723341239683,-0.07272053491717853,0.06367037319283275,-0.16135190443210715,0.12833318355137302,0.12649800523329735,0.05252805788408702,0.8286796224327757,-0.0962136058145937,0.4499999999979431,0.8286796224327757,-0.0962136058145937,0.4499999999979431,0.3654092804658494,0.0018321774388532035,-0.07455271235603174,0.3654092804658494,0.0018321774388532035,-0.16318408187096034
2019,eq55_n5_triple_factor,6,0.41766918812949616,eq75_n5_triple_factor,True,0.0036833015047817055,0.3133456354111504,0.3096623339063687,0.059156810061480325,0.4280559049877926,0.27416164901331697,0.265415260819831,0.04880436830072127,0.7308185609316988,0.28736252681154195,0.44999999999999996,0.7308185609316988,0.28736252681154195,0.44999999999999996,0.4352239317688992,0.020787590997231493,0.2888747429091372,0.4352239317688992,0.020787590997231493,0.4072683139905611
2020,eq55_n5_triple_factor,7,0.5642031726065355,eq75_n5_triple_factor,False,0.0,0.02381327151482118,0.02381327151482118,0.027325854367195923,-0.1734666412935467,0.006181845782766704,0.0035889676976212925,0.022543829852936636,0.8704478635377983,0.01249035999260606,0.44999999999999996,0.8704478635377983,0.01249035999260606,0.44999999999999996,0.16685699986237681,0.0006716770180080358,0.023141594496813144,0.16685699986237681,0.0006716770180080358,-0.17413831831155474
2021,eq55_n5_triple_factor,8,0.5179283527374546,eq75_n5_triple_factor,False,0.0,0.1627172099653564,0.1627172099653564,0.04379550070628846,0.05876548994817443,-0.11585890450243763,-0.1164869288519651,0.03613128808268798,0.33371399972475363,0.14344009074959874,0.44999999999999996,0.33371399972475363,0.14344009074959874,0.44999999999999996,0.545371053295738,0.013615138876588703,0.14910207108876772,0.545371053295738,0.013615138876588703,0.04515035107158573
2022,eq55_n5_triple_factor,9,0.5728534065654289,eq75_n5_triple_factor,False,0.0,0.04800145544927899,0.04800145544927899,0.12294915546054463,-0.031543667100895456,0.058784472970112134,0.06024213574183901,0.10143305325494932,1.090742106591476,-0.006386133074820166,0.44999999999999996,1.090742106591476,-0.006386133074820166,0.44999999999999996,0.3462602239855091,0.003352576666052042,0.044648878783226945,0.3462602239855091,0.003352576666052042,-0.0348962437669475
2023,eq55_n5_triple_factor,10,0.47019881295485455,eq75_n5_triple_factor,False,0.0,0.21931062339586652,0.21931062339586652,0.1293265758525708,0.10977993134877434,0.2614217492667519,0.2704862406620203,0.1066944250783709,0.6925204479710182,0.16193189729683266,0.45000000000000007,0.6925204479710182,0.16193189729683266,0.45000000000000007,0.3600707657648797,0.012413170476292125,0.2068974529195744,0.3600707657648797,0.012413170476292125,0.09736676087248222
2024,eq55_n5_triple_factor,11,0.5037311436029519,eq75_n5_triple_factor,False,0.0,-0.030816810032224373,-0.030816810032224373,0.10777090353467633,0.029402869765166317,-0.09355147441162948,-0.08923577472783695,0.08891099541610797,0.7201415315297593,-0.0786704777281243,0.44999999999999996,0.7201415315297593,-0.0786704777281243,0.44999999999999996,0.15157392232368694,0.0012864016116880886,-0.03210321164391246,0.15157392232368694,0.0012864016116880886,0.02811646815347823
2025,eq55_n5_triple_factor,12,0.37290016146852556,eq75_n5_triple_factor,False,0.0,0.4440282289465577,0.4440282289465577,0.14209253474057104,0.3051039916660821,0.3413111342351718,0.3492741422615624,0.11722634116097111,0.3031478446473739,0.38029340635041975,0.44999999999999996,0.3031478446473739,0.38029340635041975,0.44999999999999996,1.0,0.06823379806338292,0.37579443088317477,1.0,0.06823379806338292,0.23687019360269918
