decision_date,ticker,ticker_raw,asset_class,issuer_name,specification,isin,observed_at,close_price_brl,average_daily_value_brl,trading_days,trade_count,quantity,source,universe_year
2026-01-02,TSLA34.SA,TSLA34,bdr,TESLA INC,DRN,BRTSLABDR008,2026-01-02,74.1,136282388.02783334,60,5862,1482755,B3 COTAHIST official annual file; last trading session 2026-01-02; 60-session average traded value,2026
2026-01-02,JBSS32.SA,JBSS32,bdr,JBS N.V.,DR2,BRJBSSBDR002,2026-01-02,77.09,103148306.23733333,60,10023,926452,B3 COTAHIST official annual file; last trading session 2026-01-02; 60-session average traded value,2026
2026-01-02,NVDC34.SA,NVDC34,bdr,NVIDIA CORP,DRN,BRNVDCBDR008,2026-01-02,21.51,99667547.01266667,60,6193,4191335,B3 COTAHIST official annual file; last trading session 2026-01-02; 60-session average traded value,2026
2026-01-02,INBR32.SA,INBR32,bdr,INTER CO,DR2,BRINBRBDR007,2026-01-02,45.97,86575859.1605,60,7754,789655,B3 COTAHIST official annual file; last trading session 2026-01-02; 60-session average traded value,2026
2026-01-02,MELI34.SA,MELI34,bdr,MERCADOLIBRE,DRN,BRMELIBDR006,2026-01-02,90.04,66244059.65066667,60,3639,520930,B3 COTAHIST official annual file; last trading session 2026-01-02; 60-session average traded value,2026
2026-01-02,AURA33.SA,AURA33,bdr,AURA 360,DR3,BRAURABDR001,2026-01-02,89.76,50130298.38583334,60,25492,884612,B3 COTAHIST official annual file; last trading session 2026-01-02; 60-session average traded value,2026
2026-01-02,XPBR31.SA,XPBR31,bdr,XP INC,DR1,BRXPBRBDR001,2026-01-02,88.02,49419506.189166665,60,11949,950515,B3 COTAHIST official annual file; last trading session 2026-01-02; 60-session average traded value,2026
2026-01-02,ROXO34.SA,ROXO34,bdr,NU HOLDINGS,DRN,BRROXOBDR007,2026-01-02,15.41,46475580.527833335,60,6028,1925731,B3 COTAHIST official annual file; last trading session 2026-01-02; 60-session average traded value,2026
2026-01-02,GOGL34.SA,GOGL34,bdr,ALPHABET,DRN,BRGOGLBDR001,2026-01-02,144.15,33561224.925333336,60,5455,236272,B3 COTAHIST official annual file; last trading session 2026-01-02; 60-session average traded value,2026
2026-01-02,AMZO34.SA,AMZO34,bdr,AMAZON,DRN,BRAMZOBDR002,2026-01-02,61.09,32944597.606500003,60,4260,640079,B3 COTAHIST official annual file; last trading session 2026-01-02; 60-session average traded value,2026
2026-01-02,M2ST34.SA,M2ST34,bdr,STRATEGY INC,DRN,BRM2STBDR009,2026-01-02,12.28,30790139.25616667,60,2108,4055781,B3 COTAHIST official annual file; last trading session 2026-01-02; 60-session average traded value,2026
2026-01-02,M1TA34.SA,M1TA34,bdr,META PLAT,DRN,BRM1TABDR009,2026-01-02,125.09,25107222.217833333,60,1699,137895,B3 COTAHIST official annual file; last trading session 2026-01-02; 60-session average traded value,2026
2026-01-02,MSFT34.SA,MSFT34,bdr,MICROSOFT,DRN,BRMSFTBDR005,2026-01-02,106.19,23055603.501666665,60,3946,287784,B3 COTAHIST official annual file; last trading session 2026-01-02; 60-session average traded value,2026
2026-01-02,AAPL34.SA,AAPL34,bdr,APPLE,DRN,BRAAPLBDR004,2026-01-02,72.76,18415287.470833335,60,1711,185663,B3 COTAHIST official annual file; last trading session 2026-01-02; 60-session average traded value,2026
2026-01-02,A1MD34.SA,A1MD34,bdr,ADVANCED MIC,DRN,BRA1MDBDR002,2026-01-02,150.37,14885341.462833334,60,649,34308,B3 COTAHIST official annual file; last trading session 2026-01-02; 60-session average traded value,2026
2026-01-02,P2LT34.SA,P2LT34,bdr,PALANTIRTECH,DRN,BRP2LTBDR001,2026-01-02,307.22,14173552.5065,60,686,38457,B3 COTAHIST official annual file; last trading session 2026-01-02; 60-session average traded value,2026
2026-01-02,TSMC34.SA,TSMC34,bdr,TAIWANSMFAC,DRN,BRTSMCBDR002,2026-01-02,219.17,13357974.867833333,60,3573,78551,B3 COTAHIST official annual file; last trading session 2026-01-02; 60-session average traded value,2026
2026-01-02,BABA34.SA,BABA34,bdr,ALIBABAGR,DRN,BRBABABDR005,2026-01-02,29.91,12763154.893666666,60,3490,600720,B3 COTAHIST official annual file; last trading session 2026-01-02; 60-session average traded value,2026
2026-01-02,BIAU39.SA,BIAU39,bdr,GOLD TRUST,DRE,BRBIAUBDR008,2026-01-02,110.31,12183721.621833332,60,201,7395,B3 COTAHIST official annual file; last trading session 2026-01-02; 60-session average traded value,2026
2026-01-02,NFLX34.SA,NFLX34,bdr,NETFLIX,DRN,BRNFLXBDR000,2026-01-02,9.79,12049700.516,60,13633,2252583,B3 COTAHIST official annual file; last trading session 2026-01-02; 60-session average traded value,2026
2026-01-02,STOC34.SA,STOC34,bdr,STONE CO,DRN,BRSTOCBDR024,2026-01-02,80.55,10585857.669666667,60,1007,84173,B3 COTAHIST official annual file; last trading session 2026-01-02; 60-session average traded value,2026
2026-01-02,ITLC34.SA,ITLC34,bdr,INTEL,DRN,BRITLCBDR005,2026-01-02,35.43,10525630.550166667,60,1087,154646,B3 COTAHIST official annual file; last trading session 2026-01-02; 60-session average traded value,2026
2026-01-02,ORCL34.SA,ORCL34,bdr,ORACLE,DRN,BRORCLBDR007,2026-01-02,176.12,9575652.616166668,60,301,20498,B3 COTAHIST official annual file; last trading session 2026-01-02; 60-session average traded value,2026
2026-01-02,AVGO34.SA,AVGO34,bdr,BROADCOM INC,DRN ED,BRAVGOBDR003,2026-01-02,27.45,8514815.81,60,2950,638184,B3 COTAHIST official annual file; last trading session 2026-01-02; 60-session average traded value,2026
2026-01-02,IBIT39.SA,IBIT39,bdr,BKR BITCOIN,DRE,BRIBITBDR003,2026-01-02,92.15,8453669.671666667,60,185,47356,B3 COTAHIST official annual file; last trading session 2026-01-02; 60-session average traded value,2026
2026-01-02,BSLV39.SA,BSLV39,bdr,SILVER TRUST,DRE,BRBSLVBDR002,2026-01-02,120.4,6685666.7223333325,60,941,97515,B3 COTAHIST official annual file; last trading session 2026-01-02; 60-session average traded value,2026
2026-01-02,MUTC34.SA,MUTC34,bdr,MICRON TECHN,DRN ED,BRMUTCBDR008,2026-01-02,287.27,5533382.341,60,471,29104,B3 COTAHIST official annual file; last trading session 2026-01-02; 60-session average traded value,2026
2026-01-02,C2OI34.SA,C2OI34,bdr,COINBASEGLOB,DRN,BRC2OIBDR003,2026-01-02,51.9,5253307.377333333,60,1433,45642,B3 COTAHIST official annual file; last trading session 2026-01-02; 60-session average traded value,2026
2026-01-02,BERK34.SA,BERK34,bdr,BERKSHIRE,DRN,BRBERKBDR002,2026-01-02,134.1,4614853.471,60,1614,21659,B3 COTAHIST official annual file; last trading session 2026-01-02; 60-session average traded value,2026
2026-01-02,JPMC34.SA,JPMC34,bdr,JPMORGAN,DRN,BRJPMCBDR009,2026-01-02,177.63,4466192.566333333,60,255,13500,B3 COTAHIST official annual file; last trading session 2026-01-02; 60-session average traded value,2026
2026-01-02,BACW39.SA,BACW39,bdr,MSCI ACWI,DRE,BRBACWBDR007,2026-01-02,77.21,4364002.983333333,60,29,4767,B3 COTAHIST official annual file; last trading session 2026-01-02; 60-session average traded value,2026
2026-01-02,RGTI34.SA,RGTI34,bdr,RIGETTI COMP,DRN,BRRGTIBDR003,2026-01-02,130.02,3876697.435,60,107,18646,B3 COTAHIST official annual file; last trading session 2026-01-02; 60-session average traded value,2026
2026-01-02,LILY34.SA,LILY34,bdr,LILLY,DRN,BRLILYBDR006,2026-01-02,193.18,3036765.654833333,60,735,20717,B3 COTAHIST official annual file; last trading session 2026-01-02; 60-session average traded value,2026
2026-01-02,BIVB39.SA,BIVB39,bdr,CORE SP 500,DRE,BRBIVBBDR004,2026-01-02,92.89,3031951.8535,60,146,29716,B3 COTAHIST official annual file; last trading session 2026-01-02; 60-session average traded value,2026
2026-01-02,COCA34.SA,COCA34,bdr,COCA COLA,DRN,BRCOCABDR002,2026-01-02,61.9,2689531.5915,60,1293,45370,B3 COTAHIST official annual file; last trading session 2026-01-02; 60-session average traded value,2026
2026-01-02,DISB34.SA,DISB34,bdr,WALT DISNEY,DRN,BRDISBBDR006,2026-01-02,41.24,2472688.7296666666,60,423,40337,B3 COTAHIST official annual file; last trading session 2026-01-02; 60-session average traded value,2026
2026-01-02,S2GM34.SA,S2GM34,bdr,SIGMA LITHM,DRN,BRS2GMBDR003,2026-01-02,25.67,2133414.5475,60,700,75640,B3 COTAHIST official annual file; last trading session 2026-01-02; 60-session average traded value,2026
2026-01-02,WALM34.SA,WALM34,bdr,WAL MART,DRN,BRWALMBDR005,2026-01-02,37.74,2033235.5788333334,60,232,92064,B3 COTAHIST official annual file; last trading session 2026-01-02; 60-session average traded value,2026
2026-01-02,EXXO34.SA,EXXO34,bdr,EXXON MOBIL,DRN,BREXXOBDR006,2026-01-02,82.25,1979933.6483333334,60,160,22657,B3 COTAHIST official annual file; last trading session 2026-01-02; 60-session average traded value,2026
2026-01-02,MCDC34.SA,MCDC34,bdr,MCDONALDS,DRN,BRMCDCBDR000,2026-01-02,81.46,1934168.0068333333,60,181,7569,B3 COTAHIST official annual file; last trading session 2026-01-02; 60-session average traded value,2026
2026-01-02,CTGP34.SA,CTGP34,bdr,CITIGROUP,DRN,BRCTGPBDR000,2026-01-02,107.95,1903251.4731666667,60,121,22068,B3 COTAHIST official annual file; last trading session 2026-01-02; 60-session average traded value,2026
2026-01-02,BIYF39.SA,BIYF39,bdr,US FINANCIAL,DRE,BRBIYFBDR009,2026-01-02,46.0,1745397.5250847456,59,20,9147,B3 COTAHIST official annual file; last trading session 2026-01-02; 60-session average traded value,2026
2026-01-02,BIGS39.SA,BIGS39,bdr,BKR 1 5YGRCO,DRE ED,BRBIGSBDR009,2026-01-02,59.1,1663680.636153846,13,2,2,B3 COTAHIST official annual file; last trading session 2026-01-02; 60-session average traded value,2026
