ticker,basis,reason,observations,corporate_actions_applied,first_date,last_date
ABCB4,total_return_provider_spliced_with_cotahist,,3728,0,2011-01-03,2025-12-30
ABEV3,total_return_provider,,3233,0,2013-01-02,2025-12-30
ABRE3,total_return_imputed_distribution,,205,0,2014-09-26,2015-07-27
ADHM3,total_return_provider,,2883,2,2013-01-02,2024-08-06
AEDU3,total_return_imputed_distribution,,867,1,2011-01-03,2014-07-03
AELP3,total_return_provider_spliced_with_cotahist,,1788,0,2011-01-10,2018-09-06
AERI3,total_return_provider,,1278,1,2020-11-12,2025-12-30
AESB3,total_return_imputed_distribution,,901,0,2021-03-29,2024-10-31
AFLT3,total_return_provider_spliced_with_cotahist,,3324,1,2011-01-06,2025-12-30
AGRO3,total_return_provider_spliced_with_cotahist,,3719,0,2011-01-04,2025-12-30
AGXY3,total_return_provider,,1107,1,2021-07-27,2025-12-30
ALLD3,total_return_provider,,1180,0,2021-04-12,2025-12-30
ALLL3,total_return_imputed_distribution,,1052,0,2011-01-03,2015-03-31
ALOS3,total_return_provider,,3233,0,2013-01-02,2025-12-30
ALPA3,total_return_provider_spliced_with_cotahist,,3591,3,2011-01-03,2025-12-30
ALPA4,total_return_provider_spliced_with_cotahist,,3728,3,2011-01-03,2025-12-30
ALSC3,total_return_imputed_distribution,,2124,0,2011-01-03,2019-08-05
ALUP3,total_return_provider,,2302,3,2016-10-04,2025-12-30
ALUP4,total_return_provider,,2319,3,2016-09-09,2025-12-30
AMAR3,total_return_provider_spliced_with_cotahist,,3728,1,2011-01-03,2025-12-30
AMBP3,total_return_provider,,1363,1,2020-07-13,2025-12-30
AMBV3,total_return_imputed_distribution,,711,0,2011-01-03,2013-11-08
AMBV4,total_return_imputed_distribution,,711,0,2011-01-03,2013-11-08
AMER3,total_return_provider,,3233,1,2013-01-02,2025-12-30
ANIM3,total_return_provider,,3027,1,2013-10-28,2025-12-30
ARML3,total_return_provider,,1105,0,2021-07-29,2025-12-30
ARTR3,total_return_imputed_distribution,,858,0,2012-12-26,2016-06-16
ASAI3,total_return_provider,,1209,1,2021-03-01,2025-12-30
AURE3,total_return_provider,,941,0,2022-03-28,2025-12-30
AUTM3,total_return_imputed_distribution,,913,0,2011-02-07,2014-10-13
AVLL3,total_return_provider_spliced_with_cotahist,,1258,0,2020-12-11,2025-12-30
AZEV3,total_return_provider_spliced_with_cotahist,,3235,2,2011-05-20,2025-12-30
AZEV4,total_return_provider_spliced_with_cotahist,,3428,1,2011-05-02,2025-12-30
AZUL4,total_return_imputed_distribution,,2162,0,2017-04-11,2025-12-22
AZZA3,total_return_provider,,3233,0,2013-01-02,2025-12-30
B3SA3,total_return_provider,,3233,1,2013-01-02,2025-12-30
BALM4,total_return_provider_spliced_with_cotahist,,3247,2,2011-05-17,2025-12-30
BAUH4,total_return_provider_spliced_with_cotahist,,3384,0,2011-01-03,2025-12-30
BBAS3,total_return_provider_spliced_with_cotahist,,3728,1,2011-01-03,2025-12-30
BBDC3,total_return_provider_spliced_with_cotahist,,3728,9,2011-01-03,2025-12-30
BBDC4,total_return_provider_spliced_with_cotahist,,3728,9,2011-01-03,2025-12-30
BBSE3,total_return_provider,,3154,0,2013-04-29,2025-12-30
BEEF3,total_return_provider_spliced_with_cotahist,,3728,0,2011-01-03,2025-12-30
BEES3,total_return_provider_spliced_with_cotahist,,3728,3,2011-01-03,2025-12-30
BEES4,total_return_provider_spliced_with_cotahist,,3562,2,2011-01-04,2025-12-30
BEMA3,total_return_imputed_distribution,,1195,0,2011-01-03,2015-10-27
BGIP3,total_return_provider_spliced_with_cotahist,,3258,0,2011-03-01,2025-12-30
BGIP4,total_return_provider_spliced_with_cotahist,,3553,1,2011-01-03,2025-12-30
BHGR3,total_return_imputed_distribution,,1085,0,2011-01-03,2015-06-08
BHIA3,total_return_provider,,3233,1,2013-01-02,2025-12-30
BICB4,total_return_imputed_distribution,,1186,0,2011-01-03,2015-10-16
BIDI3,total_return_imputed_distribution,,724,1,2019-07-19,2022-06-17
BIDI4,total_return_imputed_distribution,,1016,1,2018-05-11,2022-06-17
BIED3,total_return_provider,,3233,0,2013-01-02,2025-12-30
BIOM3,total_return_provider_spliced_with_cotahist,,3268,0,2011-04-01,2025-12-30
BISA3,total_return_imputed_distribution,,990,0,2011-01-03,2015-01-02
BLAU3,total_return_provider,,1175,0,2021-04-19,2025-12-30
BLUT3,total_return_imputed_distribution,,224,1,2021-09-23,2022-09-20
