universe_year,decision_date,status,instruments,equities,reason,liquidity_history
2017,2017-01-02,accepted,384,277,,2016-2017
2018,2018-01-02,accepted,477,315,,2017-2018
2019,2019-01-02,accepted,547,328,,2018-2019
2020,2020-01-02,accepted,612,358,,2019-2020
