year,status,reason,rows
2011,accepted,,55138
2012,accepted,,56076
2013,accepted,,57362
2014,accepted,,56843
2015,accepted,,54360
2016,accepted,,55261
2017,accepted,,58982
2018,accepted,,59753
2019,accepted,,62907
2020,accepted,,69637
2021,accepted,,81047
2022,accepted,,81828
2023,accepted,,79579
2024,accepted,,79259
2025,accepted,,76627
