decision_date,ticker,status,reason
2012-01-02,GSHP3.SA,accepted,
2012-01-02,GTDP3B.SA,accepted,
2012-01-02,GTDP4B.SA,accepted,
2012-01-02,HAGA4.SA,blocked,'DataFrame' object has no attribute 'CNPJ_CIA'
2012-01-02,HBOR3.SA,accepted,
2012-01-02,HBTS5.SA,blocked,ambiguous_preferred_class_share_count
2012-01-02,HETA4.SA,blocked,no_fre_share_count
2012-01-02,HGTX3.SA,accepted,
2012-01-02,HOOT4.SA,accepted,
2012-01-02,HYPE3.SA,accepted,
2012-01-02,IENG3.SA,accepted,
2012-01-02,IENG5.SA,accepted,
2012-01-02,IGBR3.SA,blocked,no_fre_share_count
2012-01-02,IMBI3.SA,accepted,
2012-01-02,IMBI4.SA,accepted,
2012-01-02,IMCH3.SA,accepted,
2012-01-02,INEP3.SA,accepted,
2012-01-02,INEP4.SA,accepted,
2012-01-02,ITSA3.SA,accepted,
2012-01-02,ITSA4.SA,accepted,
2012-01-02,ITUB3.SA,accepted,
2012-01-02,ITUB4.SA,accepted,
2012-01-02,JHSF3.SA,accepted,
2012-01-02,JSLG3.SA,accepted,
2012-01-02,KEPL3.SA,accepted,
2012-01-02,KLBN4.SA,accepted,
2012-01-02,LAME3.SA,accepted,
2012-01-02,LAME4.SA,accepted,
2012-01-02,LEVE3.SA,accepted,
2012-01-02,LFFE3.SA,blocked,Missing annual/current/comparative CVM value for 3.01 of LFFE3.SA
2012-01-02,LIGT3.SA,blocked,no_fre_share_count
2012-01-02,LLIS3.SA,accepted,
2012-01-02,LOGN3.SA,accepted,
2012-01-02,LPSB3.SA,blocked,ambiguous_ordinary_share_count
2012-01-02,LREN3.SA,accepted,
2012-01-02,LUPA3.SA,accepted,
2012-01-02,MAGG3.SA,accepted,
2012-01-02,MDIA3.SA,accepted,
2012-01-02,MGEL4.SA,accepted,
2012-01-02,MGLU3.SA,blocked,no_fre_share_count
2012-01-02,MILS3.SA,blocked,no_fre_share_count
2012-01-02,MMXM3.SA,accepted,
2012-01-02,MNDL3.SA,blocked,no_fre_share_count
2012-01-02,MNDL4.SA,blocked,no_fre_share_count
2012-01-02,MNPR3.SA,accepted,
2012-01-02,MOAR3.SA,blocked,no_fre_share_count
2012-01-02,MPLU3.SA,accepted,
2012-01-02,MRFG3.SA,accepted,
2012-01-02,MRSL4.SA,accepted,
2012-01-02,MRVE3.SA,accepted,
2012-01-02,MTIG3.SA,accepted,
2012-01-02,MTIG4.SA,accepted,
2012-01-02,MULT3.SA,blocked,ambiguous_ordinary_share_count
2012-01-02,MWET4.SA,accepted,
2012-01-02,MYPK3.SA,accepted,
2012-01-02,NATU3.SA,blocked,ambiguous_ordinary_share_count
2012-01-02,NETC4.SA,blocked,ambiguous_preferred_share_count
2012-01-02,NUTR3M.SA,accepted,
2012-01-02,OGXP3.SA,accepted,
2012-01-02,OSXB3.SA,accepted,
2012-01-02,PCAR4.SA,accepted,
2012-01-02,PDGR3.SA,accepted,
2012-01-02,PETR3.SA,accepted,
2012-01-02,PETR4.SA,accepted,
