alert_drawdown,severe_drawdown,alert_volatility,severe_volatility,alert_equity_cap,severe_equity_cap,recovery_days,cost_bps,volatility_window,peak_window,train_cagr,train_max_drawdown,train_score,holdout_cumulative_return,holdout_cagr,holdout_annual_volatility,holdout_sharpe_excess_cdi,holdout_max_drawdown,holdout_overlay_turnover
0.08,0.18,0.25,0.45,0.5,0.2,5,10.0,20,126,0.14728279127546995,-0.263483624247306,0.08141188521364345,1.881293634276366,0.16320258850270108,0.1648669795217634,0.48624559896743325,-0.2043364034446593,12.999999999999998
0.08,0.18,0.25,0.45,0.5,0.2,10,10.0,20,126,0.14912665749269327,-0.2692902663474327,0.0818040909058351,1.871392508887928,0.1626307217523757,0.1610369313930074,0.49087794913882876,-0.2043364034446592,9.9
0.08,0.18,0.25,0.45,0.5,0.2,20,10.0,20,126,0.13478908932433042,-0.2679390200104266,0.06780433432172378,1.9362068268802686,0.1663440103927154,0.15389409343423832,0.5274592703651596,-0.2043364034446592,7.65000000007836
0.08,0.18,0.25,0.45,0.5,0.25,5,10.0,20,126,0.14624582346793136,-0.26234756666454073,0.08065893180179617,1.8703044912695854,0.16256777727141047,0.1668715318563481,0.47909467694224406,-0.2219965653147259,12.599999999999998
0.08,0.18,0.25,0.45,0.5,0.25,10,10.0,20,126,0.14770569907404307,-0.26719564074369717,0.08090678888811878,1.869109852947871,0.16249864096196287,0.1631445238425333,0.4859446771550729,-0.221996565314726,9.599999999999998
0.08,0.18,0.25,0.45,0.5,0.25,20,10.0,20,126,0.13445836181883353,-0.26605579874907226,0.06794441213156546,1.9218796850919908,0.16552928446978887,0.15618399379884584,0.5174729260858644,-0.22199656531472578,7.350000000078361
0.08,0.18,0.25,0.45,0.5,0.35,5,10.0,20,126,0.14410883351386627,-0.26009084492077794,0.07908612228367179,1.843981317121521,0.16103864928561484,0.1721003439323823,0.4619990978430189,-0.2569379461564655,11.799999999999999
0.08,0.18,0.25,0.45,0.5,0.35,10,10.0,20,126,0.14479484230008888,-0.2630106856975031,0.07904217087571311,1.859931784678218,0.16196666170692886,0.1686344852950509,0.4728502141769473,-0.2569379461564656,9.0
0.08,0.18,0.25,0.45,0.5,0.35,20,10.0,20,126,0.1336976643083445,-0.2623101638433867,0.06812012334749784,1.8885918976737797,0.1636230423800369,0.16213043040715425,0.494154520024184,-0.25693794615646526,6.750000000078361
0.08,0.18,0.25,0.45,0.55,0.2,5,10.0,20,126,0.15291119008251775,-0.27345514499926404,0.08454740383270173,1.9521582884657231,0.16724710555246824,0.16824385735235367,0.5007986048152745,-0.20828485261369845,11.599999999999998
