year,Benevente 1,Benevente 2,CDI,MVO,Ibovespa,days_alert,days_severe,overlay_turnover
2015,0.019807303999177295,0.02399937052857437,0.13130582057543383,-0.010464054086752772,-0.10640666226913009,66,54,1.4999999993430213
2016,0.5089320228424068,0.4759952242529446,0.13881531059776164,0.23858122349563904,0.42917823497306773,111,30,1.2999999969925726
2017,0.26639162858673093,0.2302985474073853,0.09869747716374366,0.21639719298650917,0.2821493899880856,45,0,0.6000000004393432
2018,-0.014520182727584374,0.02430246624163046,0.0636703731928332,-0.1615651922142901,0.1283331835513728,93,13,2.9999999995298254
2019,0.47896540466131654,0.42436437134581606,0.05915681006147988,0.4517019194845153,0.27416164901331874,10,0,0.7999999999999996
2020,0.01784200395303115,-0.03541446870814513,0.02732585436719548,-0.17349047354697889,0.006181845782765594,88,87,3.0
2021,0.21881166167953214,0.1516660597250623,0.04379550070628624,0.0587262237781192,-0.11585890450243763,88,32,1.7999999999999994
2022,0.017298996078435325,0.01415833325586724,0.12294915546054597,-0.03157774923749124,0.058784472970112134,138,23,3.3999999999999995
2023,0.21565031856373817,0.21540366340125505,0.1293265758525699,0.10975596778210406,0.261421749266755,63,0,0.19999999999999996
2024,-0.030831784094740966,-0.030831784094740966,0.10777090353467633,0.029383938045534297,-0.09355147441163003,18,0,0.0
2025,0.44402711581774534,0.44402711581774534,0.1420925347405697,0.30508695533419883,0.34131113423517045,39,0,0.0
