year,Benevente 1,Benevente 2,CDI,MVO,Ibovespa,days_alert,days_severe,overlay_turnover
2015,0.019807303999177295,0.030749665012047567,0.13130582057543383,-0.010464054086752772,-0.10640666226913009,85,24,0.6499999998686044
2016,0.5089320228424068,0.4655597382429584,0.13881531059776164,0.23858122349563904,0.42917823497306773,47,21,1.4999999969925728
2017,0.26639162858673093,0.25702068081066387,0.09869747716374366,0.21639719298650917,0.2821493899880856,12,0,0.7500000004393433
2018,-0.014520182727584374,0.062216952484904775,0.0636703731928332,-0.1615651922142901,0.1283331835513728,77,0,1.7999999996865506
2019,0.47896540466131654,0.47896540466131654,0.05915681006147988,0.4517019194845153,0.27416164901331874,0,0,0.0
2020,0.01784200395303115,0.04350058756361097,0.02732585436719548,-0.17349047354697889,0.006181845782765594,55,76,1.2
2021,0.21881166167953214,0.14922763097500846,0.04379550070628624,0.0587262237781192,-0.11585890450243763,76,11,1.6499999999999995
2022,0.017298996078435325,0.05245374513674994,0.12294915546054597,-0.03157774923749124,0.058784472970112134,110,0,1.6999999999999997
2023,0.21565031856373817,0.22548209095993932,0.1293265758525699,0.10975596778210406,0.261421749266755,27,0,0.3500000000000001
2024,-0.030831784094740966,-0.029030372485984057,0.10777090353467633,0.029383938045534297,-0.09355147441163003,6,0,0.050000000000000044
2025,0.44402711581774534,0.43697308861298967,0.1420925347405697,0.30508695533419883,0.34131113423517045,18,0,0.050000000000000044
