date,equity,cash,IBOVESPA_return,BOVA11_return,excess,trailing_12m,trailing_volatility,short_volatility,above_trend,drawdown,market_trailing_12m,cash_level
2015-02-28,0.11261345403524814,0.008185298445587463,0.09966316075390402,0.09647002735919719,0.10442815558966068,,,,,0.0,,
2015-03-31,0.0014564822681510936,0.010361239456148086,-0.008394232196567097,-0.010197934914730533,-0.008904757187996992,,,,,0.0,,
2015-04-30,0.040216254120921224,0.009482738806510849,0.09929618240436078,0.10343432107589434,0.030733515314410376,,,0.19544588428485782,,0.0,,
2015-05-31,-0.042917630373560445,0.009838389929974323,-0.06169414336982304,-0.059868183364817695,-0.05275602030353477,,,0.14410152350311853,,-0.042917630373560445,,
2015-06-30,-0.022536442351010266,0.010658267884537942,0.006084155116440115,0.0021421710741302835,-0.03319471023554821,,,0.15009687865409274,,-0.06448686202181508,,
2015-07-31,-0.07653253453331299,0.011773132877390458,-0.041747518476984435,-0.04061407324895783,-0.08830566741070345,,,0.09445562532575412,,-0.13608405356049846,,
2015-08-31,-0.1346511421608244,0.011074804776658675,-0.08333824668542344,-0.08162850089070783,-0.1457259469374831,,,0.1942321108208686,,-0.2524113224795269,,
2015-09-30,-0.05315199274367244,0.011074797241388268,-0.03360786218604983,-0.04212614915203372,-0.0642267899850607,,,0.14537216819361962,,-0.29214715044234674,,
2015-10-31,0.01589427428732204,0.011077269107527377,0.017976431279229432,0.022334816050931572,0.0048170051797946645,,,0.2610495001342868,,-0.280896343096415,,
2015-11-30,-0.027087114701872084,0.010551725120818922,-0.016329101839061666,-0.01576577528316425,-0.037638839822691006,,,0.12078215644448256,-0.18191251518926133,-0.3003747863334981,,
2015-12-31,-0.050601993002580614,0.011082228232160984,-0.03922872543451028,-0.035926768763257066,-0.0616842212347416,,,0.11680841463206082,-0.1954902884110652,-0.33577721649987935,,
2016-01-31,-0.09006224595257317,0.010019032696216401,-0.04117130058288032,-0.04647201261403322,-0.10008127864878957,,0.22448015171160418,0.11023545909023602,-0.23486773895630508,-0.39559861219477,,0.12517892457491975
2016-02-29,0.07440248789386161,0.01001479546833095,0.05910012400284237,0.057667827163243146,0.06438769242553066,-0.3235305692547581,0.2004708992306181,0.29742858129724187,-0.13975600191424076,-0.3506296452555582,-0.14658444972158102,0.12700842159766323
2016-03-31,0.3162724832240209,0.011605215261159652,0.16967332609612473,0.17346196387539115,0.30466726796286125,-0.1108768946050318,0.4015260441718186,0.7080362355913798,0.14787675697967662,-0.14525167062847022,0.006667606873168808,0.1282523974026748
2016-04-30,-0.002906984454337014,0.010544652134550248,0.07703526167418584,0.07216287632351492,-0.013451636588887261,-0.14773641073432375,0.39862387627561496,0.5768073885504729,0.15748044159511498,-0.14773641073432375,-0.0137175706221494,0.1293143107307142
2016-05-31,-0.03468611756978113,0.011074797140417925,-0.10088850313262798,-0.09837010912126276,-0.04576091471019905,-0.1404064056377159,0.39791766611021107,0.6723948027166069,0.12362128090040203,-0.17729812579203663,-0.05491597953286442,0.1305507179411578
2016-06-30,0.15010092783078033,0.011605220710812159,0.06302607773432256,0.061250556917197274,0.13849570711996817,0.01141304215095329,0.42701502229864996,0.34225016193214153,0.2581512884606776,-0.05380981114529948,-0.0014265165618383424,0.13149767076743202
2016-07-31,0.17643188166924562,0.011074793515478909,0.11219360298260872,0.11583163751189818,0.1653570881537667,0.2884682924061115,0.44731625104551553,0.398523226125159,0.4044443821722812,0.0,0.1589920838220218,0.13079933140552047
2016-08-31,-0.02180463810165012,0.012135918689502034,0.01034759331291335,0.00448993819378507,-0.033940556791152154,0.4564920218788624,0.4155702084518644,0.3729411763253539,0.3125860611710498,-0.02180463810165012,0.27744487901247017,0.13186044531836383
2016-09-30,0.008388264720134098,0.01107479979207815,0.00804822238429237,0.011264098949240964,-0.0026865350719440517,0.5511565227633641,0.40531796091824845,0.3699945576600343,0.2629473629092143,-0.013599276458039267,0.3325088119977555,0.1318604478690537
2016-10-31,0.1655608146836305,0.010474357727161987,0.11235801205164764,0.11209335485282335,0.1550864569564685,0.7796805298880469,0.4217542144738426,0.3484842456704944,0.37470853076448796,0.0,0.4560522302982015,0.13125753648868832
2016-11-30,-0.1697114992655382,0.010368929555052642,-0.04649980408934529,-0.04610494914218222,-0.18008042882059083,0.5187878599164264,0.473144975767125,0.5810856406668641,0.08786344328616646,-0.1697114992655382,0.4113928646675624,0.13107474092292204
