decision_year,imputed_weight,imputed_contribution,portfolio_net_return,cdi_net_return,return_without_imputed
2015,0.1099999971199235,-0.01474868721372043,0.0198073039991769,0.1313058205754336,0.04899963109802422
2016,0.2399999977712374,0.0480110745137806,0.5089320228424069,0.1388153105977607,0.4942366225627025
2017,0.0,0.0,0.2663916285867296,0.0986974771637441,0.2663916285867296
2018,0.0,0.0,-0.0145201827275841,0.0636703731928327,-0.0145201827275841
2019,0.0,0.0,0.4789654046613166,0.0591568100614803,0.4789654046613166
2020,0.5,0.03657014387675943,0.0178420039530316,0.0273258543671959,-0.005065212740129879
2021,0.25,0.14647539356367856,0.218811661679532,0.0437955007062884,0.08328514329242555
2022,0.0,0.0,0.0172989960784357,0.1229491554605446,0.0172989960784357
2023,0.0,0.0,0.2156503185637401,0.1293265758525708,0.2156503185637401
2024,0.0,0.0,-0.0308317840947387,0.1077709035346763,-0.0308317840947387
2025,0.050441560826489,0.008829238474959148,0.4440271158177442,0.142092534740571,0.4423652465768915
