comparator,comparator_cagr,break_even_haircut_on_imputed_sleeve
CDI,0.09609571930908412,0.7007790580780118
MVO de referência,0.07834134942607607,0.8322216496244679
Ibovespa,0.11769711878033418,0.5314347136056765
BOVA11,0.11724118199980071,0.5351142540515241
