comparator,probability_positive_excess,excess_cagr_p2_5,excess_cagr_p5,excess_cagr_median,excess_cagr_p95,excess_cagr_p97_5
CDI,0.93377,-0.022662645729347602,-0.006756891128331555,0.08194776343421961,0.18045171108434807,0.20006457411668138
MVO de referência,0.99996,0.047314643666925456,0.05611370485622036,0.10063911470012743,0.1445083723552401,0.15289668478233362
Ibovespa,0.94354,-0.013105003432209928,-0.0021478805330517247,0.05935881451073777,0.1290654877880655,0.14281485804785732
BOVA11,0.94296,-0.013354344564144286,-0.002325872478373032,0.059787717276647445,0.13006491625337452,0.1440883624599523
