decision_year,decision_date,holding_end_exclusive,gross_return,estimated_cost_brl,estimated_cost_rate,net_return,opening_wealth_brl,closing_wealth_brl,turnover,weights_at_decision,known_snapshot_count,factor,target_equity_weight,mvo_eligible_net_return,cdi_net_return
2015,2015-01-02,2016-01-04,0.04325051784127143,298.37473424755746,0.00029837473424755746,0.042952143107023874,1000000.0,1042952.1431070239,0.6500000019634582,BBDC4.SA:4.99% | BBSE3.SA:10.00% | ITSA4.SA:0.01% | ITUB3.SA:10.00% | ITUB4.SA:10.00% | TITULO_CDI:65.00%,163,value_quality,0.3499999980365418,0.030939591141701858,0.1313058205754336
2016,2016-01-04,2017-01-02,0.29611238856112077,661.8414029896783,0.0006345846330187391,0.295477803928102,1042952.1431070239,1351121.351954395,0.5830525702556306,SANB3.SA:10.00% | SANB4.SA:10.00% | TITULO_CDI:80.00%,181,value_quality,0.2000000689095798,0.3004263494069079,0.13881531059776075
2017,2017-01-02,2018-01-02,0.21085086246337448,964.1924805960148,0.0007136238941093721,0.2101372385692651,1351121.351954395,1635042.2618260635,0.4999998619038384,BBAS3.SA:5.29% | BBDC4.SA:6.88% | BRSR3.SA:2.84% | BRSR6.SA:10.00% | SANB3.SA:10.00% | TITULO_CDI:65.00%,190,value_quality,0.34999999999521647,0.19571333006983874,0.09485614678200971
2018,2018-01-02,2019-01-02,0.010469076279745693,2225.4737903938517,0.001361110866888772,0.009107965412856921,1635042.2618260635,1649934.1701953348,0.4471989530232303,BPAC3.SA:10.00% | BRSR3.SA:10.00% | BRSR6.SA:4.98% | QUAL3.SA:10.00% | SANB4.SA:0.02% | TITULO_CDI:65.00%,201,value_quality,0.34999999990438424,0.009155238449133851,0.06367037319283275
2019,2019-01-02,2020-01-02,0.11082558330262704,2459.6680991591693,0.0014907674158102747,0.10933481588681676,1649934.1701953348,1830329.4189190096,0.4403987037486322,BRSR6.SA:10.00% | IRBR3.SA:10.00% | ITSA3.SA:5.00% | SANB4.SA:10.00% | TITULO_CDI:65.00%,211,value_quality,0.3500000001030119,0.11247272328123573,0.05915681006147966
2020,2020-01-02,2021-01-04,-0.049505983855311686,2713.250851579506,0.0014823838941418256,-0.05098836774945351,1830329.4189190096,1737003.9094045237,0.551219819280182,BBSE3.SA:5.00% | BPAC3.SA:10.00% | IRBR3.SA:10.00% | QUAL3.SA:10.00% | TITULO_CDI:65.00%,225,value_quality,0.3500000000031948,-0.05033565967965979,0.027325854367195035
2021,2021-01-04,2022-01-03,0.15972370049721119,1251.6813985133504,0.0007205979167556677,0.15900310258045552,1737003.9094045237,2013192.9201942233,0.30000002021020605,BPAC3.SA:10.00% | BSLI3.SA:10.00% | QUAL3.SA:2.49% | SANB4.SA:10.00% | TITULO_CDI:67.51%,239,value_quality,0.3248541798307513,0.1415101118494052,0.04379550070628868
2022,2022-01-03,2023-01-02,0.08973272222496598,788.3814585931384,0.00039160750600944846,0.08934111471895653,2013192.9201942233,2193053.8198286863,0.2807214919621386,BPAC3.SA:10.00% | BSLI3.SA:10.00% | TITULO_CDI:80.00%,271,value_quality,0.20000000418085842,0.08926131153425687,0.12294915546054419
2023,2023-01-02,2024-01-02,0.2358642202141692,3551.4026667381763,0.0016193869181995724,0.23424483329596962,2193053.8198286863,2706765.3462635465,0.6999999991556256,ABCB4.SA:10.00% | BBAS3.SA:10.00% | BBSE3.SA:10.00% | ITUB4.SA:5.00% | TITULO_CDI:65.00%,312,value_quality,0.3499999998210666,0.234814216979411,0.129326575852571
2024,2024-01-02,2025-01-02,0.02787854714213278,2526.630366950739,0.0009334500940166578,0.026945097048116123,2706765.3462635465,2779699.4012050955,0.6179567552371065,BBAS3.SA:10.00% | BEES3.SA:10.00% | BPAC3.SA:4.23% | BRSR6.SA:0.77% | CXSE3.SA:10.00% | TITULO_CDI:65.00%,319,value_quality,0.3499999999639524,0.026406933717283348,0.04189391442617829
2025,2025-01-02,2025-12-31,0.25626657502394035,2703.0718311675937,0.0009724331451076036,0.25529414187883276,2779699.4012050955,3489340.374516856,0.4999999796038398,BBSE3.SA:5.00% | BMEB3.SA:10.00% | CXSE3.SA:10.00% | PSSA3.SA:10.00% | TITULO_CDI:65.00%,325,value_quality,0.3499999873029309,0.2555165753372861,0.13897869337857371
