decision_year,arm,eligible_assets,equity_weight,gross_return,cost_rate,net_return,cdi_net_return,holdings
2013,named,37,0.5280000027490694,0.06083587713410177,0.00044504540592328677,0.06039083172817848,0.08035941845863648,AMBV3.SA:17.6% | AMBV4.SA:17.6% | VALE3.SA:17.6%
2013,anonymised,37,0.5499999953418204,0.05515874771398277,0.00046324228049727416,0.054695505433485496,0.08035941845863648,AMBV3.SA:17.6% | AMBV4.SA:17.6% | VALE3.SA:17.6% | BRAP4.SA:2.2%
2013,monolithic,37,0.5499999999999999,0.028742624877495793,0.0004531716431945673,0.028289453234301227,0.08035941845863648,WEGE3.SA:1.5% | BBDC4.SA:1.5% | BBDC3.SA:1.5% | AMBV4.SA:1.5% | ALSC3.SA:1.5% | BISA3.SA:1.5% | CSMG3.SA:1.5% | DASA3.SA:1.5% | CYRE3.SA:1.5% | CESP6.SA:1.5% | CIEL3.SA:1.5% | CMIG4.SA:1.5% | AMBV3.SA:1.5% | ECOR3.SA:1.5% | EQTL3.SA:1.5% | ENBR3.SA:1.5% | EVEN3.SA:1.5% | EZTC3.SA:1.5% | EMBR3.SA:1.5% | CPFE3.SA:1.5% | RENT3.SA:1.5% | KLBN4.SA:1.5% | MDIA3.SA:1.5% | MRVE3.SA:1.5% | MILS3.SA:1.5% | LREN3.SA:1.5% | LIGT3.SA:1.5% | ITSA4.SA:1.5% | VALE3.SA:1.5% | TOTS3.SA:1.5% | RADL3.SA:1.5% | PSSA3.SA:1.5% | RAPT4.SA:1.5% | SBSP3.SA:1.5% | UGPA3.SA:1.5% | TBLE3.SA:1.5% | BRAP4.SA:1.5%
2015,named,39,0.549999998554619,-0.12907489689515805,0.00045721673417370586,-0.12953211362933176,0.13189971087900254,ITUB4.SA:17.6% | BBDC4.SA:17.6% | CMIG4.SA:17.6% | ITSA4.SA:2.2%
2015,anonymised,39,0.5280000186509316,-0.04386275761628433,0.00043505584781158016,-0.04429781346409591,0.13189971087900254,ITSA4.SA:17.6% | BBDC4.SA:17.6% | ITUB4.SA:17.6%
2015,monolithic,39,0.55,-0.07591904715589748,0.0004565274889225394,-0.07637557464482002,0.13189971087900254,BBDC3.SA:8.8% | BBDC4.SA:8.8% | ITUB4.SA:8.8% | ITSA4.SA:8.8% | CMIG4.SA:8.8% | CYRE3.SA:5.5% | MRVE3.SA:5.5%
2016,named,33,0.35199999976094765,0.24628921276039817,0.0003052094900348615,0.2459840032703633,0.13939289494699025,ENBR3.SA:17.6% | LREN3.SA:17.6%
2016,anonymised,33,0.17599999953196013,0.23612454387358217,0.00014913301433083743,0.23597541085925133,0.13939289494699025,LREN3.SA:17.6%
2016,monolithic,33,0.55,0.42364975529291615,0.00045897601560069667,0.42319077927731547,0.13939289494699025,BBAS3.SA:6.9% | BBDC4.SA:6.9% | BBDC3.SA:6.9% | CMIG4.SA:6.9% | BRSR6.SA:6.9% | ITSA4.SA:6.9% | ENBR3.SA:6.9% | ITUB4.SA:6.9%
2017,named,39,0.5499999998995121,0.26002215204143986,0.0004856184310134528,0.2595365336104264,0.09869747716374411,SAPR4.SA:17.6% | CVCB3.SA:17.6% | CMIG4.SA:17.4% | SMLE3.SA:2.4%
2017,anonymised,39,0.5499999999753321,0.0813195118156842,0.0004832089420305312,0.08083630287365366,0.09869747716374411,SAPR4.SA:17.6% | CSAN3.SA:17.6% | CMIG4.SA:17.6% | SMLE3.SA:2.2%
2017,monolithic,39,0.55,0.043188888310367934,0.0004557157145275231,0.04273317259584041,0.09869747716374411,ABEV3.SA:5.5% | BBDC4.SA:5.5% | BEEF3.SA:5.5% | BBSE3.SA:5.5% | BBAS3.SA:5.5% | BBDC3.SA:5.5% | BRFS3.SA:5.5% | CMIG4.SA:5.5% | CPFE3.SA:5.5% | CIEL3.SA:5.5%
2018,named,53,0.5499999997534617,0.424936911428885,0.0004714696106487256,0.4244654418182363,0.06393224883871329,MGLU3.SA:17.6% | BRSR6.SA:17.6% | ITSA3.SA:17.6% | ITUB3.SA:2.2%
2018,anonymised,53,0.5499999995516722,0.38518946881126537,0.0004602299279025527,0.3847292388833628,0.06393224883871329,MGLU3.SA:17.6% | ITSA4.SA:17.6% | ITSA3.SA:17.6% | BBDC4.SA:2.2%
2018,monolithic,53,0.5499999999999999,0.06161319539795107,0.0004488642925428909,0.06116433110540818,0.06393224883871329,WEGE3.SA:1.2% | ALPA4.SA:1.0% | BRSR6.SA:1.0% | BRAP4.SA:1.0% | BEEF3.SA:1.0% | BBAS3.SA:1.0% | BBDC3.SA:1.0% | BBDC4.SA:1.0% | ABEV3.SA:1.0% | EQTL3.SA:1.0% | ESTC3.SA:1.0% | EMBR3.SA:1.0% | CSAN3.SA:1.0% | CSMG3.SA:1.0% | CPLE6.SA:1.0% | CPFE3.SA:1.0% | ENBR3.SA:1.0% | CVCB3.SA:1.0% | ECOR3.SA:1.0% | EGIE3.SA:1.0% | CIEL3.SA:1.0% | SMTO3.SA:1.0% | PETR4.SA:1.0% | MYPK3.SA:1.0% | MULT3.SA:1.0% | HGTX3.SA:1.0% | LAME4.SA:1.0% | LREN3.SA:1.0% | MDIA3.SA:1.0% | MGLU3.SA:1.0% | PETR3.SA:1.0% | ITUB4.SA:1.0% | ITUB3.SA:1.0% | GOLL4.SA:1.0% | ITSA4.SA:1.0% | ITSA3.SA:1.0% | HYPE3.SA:1.0% | FLRY3.SA:1.0% | GRND3.SA:1.0% | EZTC3.SA:1.0% | BBSE3.SA:1.0% | LAME3.SA:1.0% | PSSA3.SA:1.0% | QUAL3.SA:1.0% | RADL3.SA:1.0% | SBSP3.SA:1.0% | SAPR4.SA:1.0% | SEER3.SA:1.0% | RENT3.SA:1.0% | TEND3.SA:1.0% | TOTS3.SA:1.0% | VALE3.SA:1.0% | UGPA3.SA:1.0%
2019,named,62,0.5499999995446632,0.045748699608182175,0.00045885368227614303,0.045289845925906035,0.059337809368751326,BRSR6.SA:17.6% | BBDC4.SA:17.6% | ITUB4.SA:17.6% | BBDC3.SA:2.2%
2019,anonymised,62,0.5499999982939002,0.0991005935437248,0.00046251420034621534,0.09863807934337859,0.059337809368751326,ELET3.SA:17.6% | BRSR6.SA:17.6% | ITUB4.SA:17.6% | CSNA3.SA:2.2%
2019,monolithic,62,0.55,0.15264998037522393,0.00045434485541272744,0.1521956355198112,0.059337809368751326,ABEV3.SA:5.5% | ALSC3.SA:5.5% | AZUL4.SA:5.5% | BBAS3.SA:5.5% | BBDC3.SA:5.5% | BBDC4.SA:5.5% | BBSE3.SA:5.5% | BRSR6.SA:5.5% | CIEL3.SA:5.5% | BRAP4.SA:5.5%
2020,named,67,0.549999994555672,0.22845323939379547,0.00046175591337876395,0.2279914834804167,0.02740258533525819,MRFG3.SA:17.6% | PETR4.SA:17.6% | BRAP4.SA:17.6% | ITUB3.SA:2.2%
2020,anonymised,67,0.5500000001872776,0.1203241331635998,0.0004604985824336368,0.11986363458116617,0.02740258533525819,PETR4.SA:17.6% | BRAP4.SA:17.6% | BBDC3.SA:17.6% | BBAS3.SA:2.2%
2020,monolithic,67,0.55,-0.0541007077885296,0.0004540851991829961,-0.0545547929877126,0.02740258533525819,BRAP4.SA:5.5% | BRSR6.SA:5.5% | BRML3.SA:5.5% | CSAN3.SA:5.5% | CIEL3.SA:5.5% | ITUB4.SA:5.5% | PETR4.SA:5.5% | ITSA4.SA:5.5% | ITUB3.SA:5.5% | IRBR3.SA:5.5%
