decision_year,decision_date,holding_end_exclusive,gross_return,estimated_cost_brl,estimated_cost_rate,net_return,opening_wealth_brl,closing_wealth_brl,turnover,weights_at_decision,known_snapshot_count,factor,target_equity_weight,mvo_eligible_net_return,cdi_net_return
2015,2015-01-02,2016-01-04,-0.007991763517287143,397.65699625726296,0.00039765699625726297,-0.008389420513544405,1000000.0,991610.5794864555,0.52,ABEV3.SA:12.00% | BBSE3.SA:12.00% | CMIG4.SA:12.00% | ITUB4.SA:12.00% | TITULO_CDI:52.00%,163,triple_factor,0.48,0.08518563437615163,0.1313058205754336
2016,2016-01-04,2017-01-02,0.3049545687048525,192.7996279330169,0.00019443078958764816,0.30476013791526485,991610.5794864555,1293813.9564489834,0.27901894414948214,ABEV3.SA:12.00% | BBSE3.SA:12.00% | BRSR6.SA:12.00% | CMIG4.SA:12.00% | TITULO_CDI:52.00%,181,triple_factor,0.48,0.28451181417029936,0.13881531059776075
2017,2017-01-02,2018-01-02,0.16782586545106426,299.81322620599445,0.0002317282362828001,0.16759413721478145,1293813.9564489834,1510649.5901964938,0.5997441913660191,BBSE3.SA:12.00% | CMIG4.SA:12.00% | CVCB3.SA:12.00% | SAPR4.SA:12.00% | TITULO_CDI:52.00%,190,triple_factor,0.48,0.27292229759576053,0.09485614678200971
2018,2018-01-02,2019-01-02,0.26386513602820094,425.06428279762224,0.00028137847820971715,0.26358375754999125,1510649.5901964938,1908832.2855218402,0.568109523448906,BBSE3.SA:12.00% | CVCB3.SA:12.00% | ITSA3.SA:12.00% | MGLU3.SA:12.00% | TITULO_CDI:52.00%,201,triple_factor,0.48,0.30311589951077195,0.06367037319283275
2019,2019-01-02,2020-01-02,0.2812973215762953,743.9490006118265,0.0003897403696776033,0.2809075812066177,1908832.2855218402,2445037.74577688,0.7757961190321356,BRSR6.SA:12.00% | CSNA3.SA:12.00% | IRBR3.SA:12.00% | MGLU3.SA:12.00% | TITULO_CDI:52.00%,211,triple_factor,0.48,0.21727801868239138,0.05915681006147966
2020,2020-01-02,2021-01-04,-0.08124555405644363,801.7032814070767,0.0003278899406734294,-0.08157344399711705,2445037.74577688,2245587.5961509123,0.9051929783603809,BBSE3.SA:12.00% | CMIG3.SA:12.00% | EQTL3.SA:12.00% | IRBR3.SA:12.00% | TITULO_CDI:52.00%,225,triple_factor,0.48,0.0893245753551571,0.027325854367195035
2021,2021-01-04,2022-01-03,0.046260807560975614,501.4717009472864,0.00022331424603824965,0.04603749331493737,2245587.5961509123,2348968.8200968164,0.37172188339306433,BBSE3.SA:12.00% | CSMG3.SA:12.00% | EQTL3.SA:12.00% | TASA4.SA:12.00% | TITULO_CDI:52.00%,239,triple_factor,0.48,-0.07046652245325767,0.04379550070628868
2022,2022-01-03,2023-01-02,-0.021651032315170182,848.0185622208708,0.00036101737705735847,-0.02201204969222754,2348968.8200968164,2297263.201703352,0.7199999999999999,FHER3.SA:12.00% | GOAU4.SA:12.00% | TASA4.SA:12.00% | USIM5.SA:12.00% | TITULO_CDI:52.00%,271,triple_factor,0.48,0.11169770635113221,0.12294915546054419
2023,2023-01-02,2024-01-02,0.16989229596131472,984.6552174649207,0.00042862098549910534,0.1694636749758156,2297263.201703352,2686565.86625071,0.8400000000000001,BRAP4.SA:12.00% | KEPL3.SA:12.00% | UNIP6.SA:12.00% | VIVA3.SA:12.00% | TITULO_CDI:52.00%,312,triple_factor,0.48,0.20033319470541433,0.129326575852571
2024,2024-01-02,2025-01-02,0.0018910072949509527,687.6765403840092,0.0002559686136948169,0.0016350386812561358,2686565.86625071,2690958.505361772,0.5115985234417777,BBSE3.SA:12.00% | CMIN3.SA:12.00% | KEPL3.SA:12.00% | VIVA3.SA:12.00% | TITULO_CDI:52.00%,319,triple_factor,0.48,-0.06865442392049657,0.04189391442617829
