rule,average_weight,average_turnover,periods,cagr,annual_volatility,sharpe_vs_cash,max_drawdown,months_beating_cash,cagr_after_tax,excess_vs_static_annual,excess_p_value
oracle_binary,0.539406779661017,0.5331858028017478,118,0.7277466503092604,0.20199705023282474,2.4273310428673924,0.0,67,0.6586414571190842,0.36947183195344824,1.3185300186636525e-21
oracle_continuous,0.46417385093023844,0.48057237154652027,118,0.7132065915065227,0.20315642157181998,2.3715051124644617,0.0,66,0.6416052618121542,0.3608461767134341,2.754893194031257e-20
linear_short_volatility,0.5511165822218731,0.111882998587227,118,0.2178592546539584,0.1951536259630663,0.6593580673379593,-0.21211824229273613,67,0.20410083315134453,0.008803266996856535,0.681091053382159
linear_market_trailing_12m,0.5499999999999998,0.02111986806852824,118,0.21153201357741924,0.17303626080980464,0.6923498999551829,-0.217883855509869,67,0.20705046850459752,0.0,
static,0.5499999999999998,0.02111986806852824,118,0.21153201357741924,0.17303626080980464,0.6923498999551829,-0.217883855509869,67,0.20705046850459752,,
linear_drawdown,0.5574232955308573,0.023296054084481644,118,0.19274232513818368,0.16949253119540783,0.6091624962057983,-0.2322293579122514,67,0.19064755248353427,-0.016277755538484706,0.3305358858600868
linear_trailing_12m,0.5503426369978158,0.02463377135020497,118,0.18792199163881818,0.1693196031332733,0.5853146085736263,-0.22176289582081166,67,0.1859290587002047,-0.02040039632568024,0.20977731519194606
linear_above_trend,0.5556937562752661,0.03274864818311689,118,0.18746880020454082,0.16992226288526016,0.5824722912506287,-0.20585360108030049,67,0.1840930280606048,-0.020684932236487097,0.12230083287302754
volatility_target,0.5482700277576168,0.04856131323641124,118,0.1655284630382048,0.20009077714663207,0.4350788920348581,-0.37260019687396195,67,0.1585433764850257,-0.03297234801937344,0.13289708511365286
reference_BOVA11,1.0,0.0,118,0.14435183771149096,0.21816619615478555,0.32971915239507654,-0.39294467754731277,67,,,
reference_IBOVESPA,1.0,0.0,118,0.14379238590374865,0.21576348289083558,0.3279913716614307,-0.3841768371465796,65,,,
mean_variance,0.11587578165963681,0.026207251579145573,118,0.09818430505713183,0.051641393420247705,0.13695233656929096,-0.14229597931845428,59,0.09624148439787827,-0.11272512801354322,0.015325757063030644
reference_CDI,0.0,0.0,118,0.09206138112387419,0.01130603827834505,,0.0,0,,,
