decision_year,selected_buffer,net_return,cdi_net_return,benchmark_IBOVESPA
2015,0,0.017610338312270556,0.1313058205754336,-0.10640666226912932
2016,0,0.3527848927705863,0.13881531059776075,0.4291782349730666
2017,1,0.22004521884338007,0.09869747716374411,0.28214938998808514
2018,1,0.3879360110493577,0.06367037319283275,0.12833318355137302
2019,1,0.31704653412374806,0.059156810061480325,0.27416164901331697
2020,1,0.02384433136682733,0.027325854367195923,0.006181845782766704
2021,1,0.16271831964624822,0.04379550070628846,-0.11585890450243763
2022,1,0.0481443648186112,0.12294915546054463,0.058784472970112134
2023,1,0.21927489472034908,0.1293265758525708,0.2614217492667519
2024,1,-0.030832403628757835,0.10777090353467633,-0.09355147441162948
2025,2,0.4440289242274618,0.14209253474057104,0.3413111342351718
