decision_year,decision_date,ticker,weight,previous_weight,decision_action,factor,value_quality_score,factor_signal_at_decision,trailing_12m_return_at_decision,trailing_12m_volatility_at_decision,eligible_at_decision,fundamental_status,decision_rationale,realised_next_year_return
2012,2012-01-02,AMBV4.SA,0.11858653601092918,0.0,entered,triple_factor,0.8787878787878788,,0.36613064554184827,0.22913799080097874,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,0.2962381397836724
2012,2012-01-02,CIEL3.SA,0.25,0.0,entered,triple_factor,1.0,,0.25340145202792796,0.32454529718849423,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,0.20688422677966067
2012,2012-01-02,GGBR4.SA,0.25,0.0,entered,triple_factor,0.9696969696969697,,-0.34248081378925965,0.38279744304224006,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,0.2574457624032065
2012,2012-01-02,HGTX3.SA,0.20637954883837245,0.0,entered,triple_factor,0.9393939393939394,,0.29172095736092785,0.38702471204312994,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,0.24656456319082265
2012,2012-01-02,VALE3.SA,0.12503391515069837,0.0,entered,triple_factor,0.9090909090909091,,-0.26831700411337056,0.29258131110657126,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,0.058473830974119734
2012,2012-01-02,TITULO_CDI,0.04999999999999993,0.0,entered,triple_factor,,,,,True,CDI residual,"Defensive residual after equity, issuer and eligibility constraints.",0.0
2013,2013-01-02,BBAS3.SA,0.11559376780349917,0.0,entered,triple_factor,0.9302325581395349,,0.11997957103275247,0.3322007246074182,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,0.04581884947068304
2013,2013-01-02,BBDC3.SA,0.10309458710213704,0.0,entered,triple_factor,0.9069767441860465,,0.402190168244573,0.2620675645943811,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,0.028113119827894106
2013,2013-01-02,CIEL3.SA,0.25,0.24947800542569828,increased,triple_factor,0.9767441860465116,,0.2331945390239598,0.3184161385350641,True,eligible_on_decision_date,Maintained because it remained eligible under the point-in-time screen and its constrained allocation remained positive.,0.14412730286683462
2013,2013-01-02,CMIG4.SA,0.23131164509436383,0.0,entered,triple_factor,0.9534883720930233,,-0.2892179121360934,0.45957375625856484,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,-0.026998484844856674
2013,2013-01-02,CRUZ3.SA,0.25,0.0,entered,triple_factor,1.0,,0.35250561631703303,0.26040810486378346,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,-0.22262218266127398
2013,2013-01-02,TITULO_CDI,0.04999999999999993,0.041342491664073236,increased,triple_factor,,,,,True,CDI residual,"Defensive residual after equity, issuer and eligibility constraints.",0.07995985491151636
2014,2014-01-02,BBAS3.SA,0.12478652766039774,0.12256637209659699,increased,triple_factor,0.9318181818181818,,0.0713295472073181,0.2723342415694084,True,eligible_on_decision_date,Maintained because it remained eligible under the point-in-time screen and its constrained allocation remained positive.,0.059182153187498754
2014,2014-01-02,CIEL3.SA,0.25,0.28999786764823904,reduced,triple_factor,0.9772727272727273,,0.2170761219435322,0.27034128493085297,True,eligible_on_decision_date,Maintained because it remained eligible under the point-in-time screen and its constrained allocation remained positive.,0.288347479459673
2014,2014-01-02,CMIG4.SA,0.25,0.22818729506337462,increased,triple_factor,1.0,,-0.140678170401197,0.35414500655196574,True,eligible_on_decision_date,Maintained because it remained eligible under the point-in-time screen and its constrained allocation remained positive.,0.19693824855968955
2014,2014-01-02,CRUZ3.SA,0.25,0.19703918333247888,increased,triple_factor,0.9545454545454546,,-0.20747064708396534,0.23198337031421393,True,eligible_on_decision_date,Maintained because it remained eligible under the point-in-time screen and its constrained allocation remained positive.,-0.15868737593857574
2014,2014-01-02,ESTC3.SA,0.07521347233960206,0.0,entered,triple_factor,0.9090909090909091,,0.5208601588254329,0.25884377467367586,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,0.20395602789203338
2014,2014-01-02,TITULO_CDI,0.050000000000000266,0.05474671468555852,reduced,triple_factor,,,,,True,CDI residual,"Defensive residual after equity, issuer and eligibility constraints.",0.10724908910447484
2015,2015-01-02,CIEL3.SA,0.25,0.2902370095571383,reduced,triple_factor,0.9761904761904762,,0.29316039545455386,0.26683430394310304,True,eligible_on_decision_date,Maintained because it remained eligible under the point-in-time screen and its constrained allocation remained positive.,-0.13407897818071046
2015,2015-01-02,CMIG4.SA,0.25,0.26964447357961163,reduced,triple_factor,1.0,,0.1921011264412038,0.4205740413633536,True,eligible_on_decision_date,Maintained because it remained eligible under the point-in-time screen and its constrained allocation remained positive.,-0.5057793777342718
2015,2015-01-02,CRUZ3.SA,0.25,0.1895296602844015,increased,triple_factor,0.9523809523809523,,-0.15942843070965562,0.30411597765319537,True,eligible_on_decision_date,Maintained because it remained eligible under the point-in-time screen and its constrained allocation remained positive.,0.5397215770530763
2015,2015-01-02,ITSA4.SA,0.08761738121815825,0.0,entered,triple_factor,0.9047619047619048,,0.209315868868996,0.3313038404675819,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,-0.12639770597933397
2015,2015-01-02,ITUB4.SA,0.11238261878184161,0.0,entered,triple_factor,0.9285714285714286,,0.2616405736022114,0.3375381686842137,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,-0.1003699246527715
2015,2015-01-02,TITULO_CDI,0.050000000000000155,0.049887886549260574,increased,triple_factor,,,,,True,CDI residual,"Defensive residual after equity, issuer and eligibility constraints.",0.1313058205754336
2016,2016-01-04,BRSR6.SA,0.25,0.0,entered,triple_factor,0.9714285714285714,,-0.5057113512762589,0.4626400327035476,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,0.9885062259337567
2016,2016-01-04,CMIG4.SA,0.24947051146019722,0.12881376829019534,increased,triple_factor,0.9428571428571428,,-0.4805619696394884,0.43887168106411395,True,eligible_on_decision_date,Maintained because it remained eligible under the point-in-time screen and its constrained allocation remained positive.,0.49544160134880677
2016,2016-01-04,ENBR3.SA,0.1145582155426554,0.0,entered,triple_factor,0.9142857142857143,,0.3860096321721147,0.36233277306669043,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,0.2000461456651499
2016,2016-01-04,LREN3.SA,0.08597127299714724,0.0,entered,triple_factor,0.8857142857142857,,0.17779672401812174,0.3223246639652782,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,0.464912637287612
2016,2016-01-04,SMLE3.SA,0.25,0.0,entered,triple_factor,1.0,,-0.2248659079192482,0.4351636480231686,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,0.281092023284518
2016,2016-01-04,TITULO_CDI,0.050000000000000155,0.05897275802408748,reduced,triple_factor,,,,,True,CDI residual,"Defensive residual after equity, issuer and eligibility constraints.",0.13881531059776075
2017,2017-01-02,CMIG4.SA,0.25,0.24693046178122596,increased,triple_factor,0.9743589743589743,,0.40607054132520926,0.6125041443189434,True,eligible_on_decision_date,Maintained because it remained eligible under the point-in-time screen and its constrained allocation remained positive.,-0.069645542263153
2017,2017-01-02,CPLE6.SA,0.12137750347696902,0.0,entered,triple_factor,0.8974358974358975,,0.12748710197378998,0.4864036163995246,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,-0.08222913275555022
2017,2017-01-02,ELET3.SA,0.12784676605742068,0.0,entered,triple_factor,0.9230769230769231,,3.141809727446267,0.5278624926141908,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,-0.1311395559176497
2017,2017-01-02,SAPR4.SA,0.2007757304656102,0.0,entered,triple_factor,0.9487179487179487,,2.6541896281313977,0.44574248730881005,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,0.14625971702566765
2017,2017-01-02,SMLE3.SA,0.25,0.21198558447418048,increased,triple_factor,1.0,,0.35169840734645286,0.4887402010951821,True,eligible_on_decision_date,Maintained because it remained eligible under the point-in-time screen and its constrained allocation remained positive.,1.0008635804864237
2017,2017-01-02,TITULO_CDI,0.050000000000000044,0.03768853834656921,increased,triple_factor,,,,,True,CDI residual,"Defensive residual after equity, issuer and eligibility constraints.",0.09869747716374411
2018,2018-01-02,BRSR6.SA,0.16029203001405068,0.0,entered,triple_factor,0.9318181818181818,,0.5884281577883577,0.46715068388686615,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,0.6114528684183826
2018,2018-01-02,CVCB3.SA,0.20840929399918348,0.0,entered,triple_factor,0.9545454545454546,,1.2191891798862469,0.2885264504241829,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,0.23728061930947186
2018,2018-01-02,ITSA3.SA,0.22846543033327016,0.0,entered,triple_factor,0.9772727272727273,,0.4426994161782247,0.232469339054841,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,0.45430534835654757
2018,2018-01-02,MGLU3.SA,0.25,0.0,entered,triple_factor,1.0,,5.1345757592162675,0.702826204285373,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,1.2896508777702356
