date,decision_year,strategy,mvo,cdi,equity_sleeve,IBOVESPA,BOVA11
2015-01-05,2015,99.64697,98.822538,100.043455,98.015356,97.948961,98.011006
2015-01-06,2015,99.551828,98.905421,100.086929,97.321077,98.946652,98.561158
2015-01-07,2015,99.890419,100.528579,100.130422,98.935168,101.96034,101.883206
2015-01-08,2015,100.140568,99.715933,100.173933,100.078462,102.949786,102.644943
2015-01-09,2015,99.812709,98.348553,100.217464,98.145352,100.676121,100.571309
2015-01-12,2015,99.342035,100.430495,100.261013,95.452057,99.233179,99.090147
2015-01-13,2015,99.222517,98.98349,100.304582,94.627633,99.031168,98.688111
2015-01-14,2015,99.394611,97.689551,100.348169,95.355169,98.214875,98.349558
2015-01-15,2015,99.456311,98.040755,100.391775,95.495074,98.998186,99.449855
2015-01-16,2015,100.072598,100.035423,100.435401,98.58657,101.04098,100.719425
2015-01-19,2015,99.41565,98.637017,100.479045,94.901462,98.445745,97.98985
2015-01-20,2015,99.605389,98.623516,100.522708,95.722581,98.691046,98.434198
2015-01-21,2015,99.961037,99.26261,100.56639,97.426636,101.467678,101.163781
2015-01-22,2015,100.217221,99.247431,100.611948,98.593205,101.919113,101.819722
2015-01-23,2015,99.937311,99.421368,100.65749,96.906599,100.542134,100.08464
2015-01-26,2015,99.792305,99.718698,100.703052,95.937902,100.133987,99.851884
2015-01-27,2015,99.893786,99.31683,100.748636,96.280989,100.162846,100.16928
2015-01-28,2015,99.955983,99.645715,100.79424,96.414905,98.315881,98.03217
2015-01-29,2015,100.396137,100.22279,100.839864,98.560329,98.453991,98.137966
2015-01-30,2015,100.084109,100.211816,100.885509,96.702335,96.693602,96.50868
2015-02-02,2015,100.510891,100.737382,100.931175,98.776413,98.225181,97.90521
2015-02-03,2015,100.717428,102.325576,100.976898,99.678032,100.931728,100.804065
2015-02-04,2015,100.97772,100.706543,101.022641,100.865663,101.626402,101.079141
2015-02-05,2015,100.865172,100.638352,101.068406,100.068844,101.488292,101.311898
2015-02-06,2015,100.722945,100.880363,101.114191,99.113976,100.577177,100.08464
2015-02-09,2015,100.812129,102.25234,101.159996,99.390655,101.795432,101.39653
2015-02-10,2015,100.686412,102.119495,101.205823,98.523477,99.995877,99.788408
2015-02-11,2015,100.48351,101.517879,101.25167,97.245412,99.439314,99.344059
2015-02-12,2015,100.967279,103.008729,101.297538,99.621912,102.104634,101.840886
2015-02-13,2015,101.234625,102.866418,101.343427,100.846458,104.378298,104.506985
2015-02-18,2015,101.622853,105.012437,101.389337,102.714283,105.705805,105.607282
2015-02-19,2015,101.626067,106.076719,101.435267,102.532868,105.734664,105.374526
2015-02-20,2015,101.658369,106.170608,101.481218,102.506175,105.619228,105.459166
2015-02-23,2015,101.839431,106.54808,101.52719,103.271129,105.707866,105.374526
2015-02-24,2015,101.964905,106.14341,101.573183,103.740148,106.930244,106.665259
2015-02-25,2015,102.095926,106.902343,101.619197,104.238595,106.800379,106.559463
2015-02-26,2015,102.436689,107.491538,101.665231,105.853258,106.697312,106.453667
2015-02-27,2015,102.50632,105.966888,101.711287,106.02479,106.330392,105.818875
2015-03-02,2015,102.151444,105.444782,101.757363,103.936882,105.171916,104.930178
2015-03-03,2015,102.130642,105.873467,101.80346,103.626924,105.755277,105.43801
2015-03-04,2015,101.870233,105.106052,101.849578,102.041617,104.031992,103.82988
2015-03-05,2015,101.990152,104.836232,101.897552,102.472504,103.819673,103.575968
2015-03-06,2015,101.923561,104.324377,101.945549,101.910632,103.028117,102.729583
