perfil,acoes,posicoes,teto_emissor,anos,cagr,cagr_pos_ir,vol,pior_ano,sharpe_excesso,ganha_cdi,giro_medio,posicoes_medias,setores_medios,cdi_cagr
conservador,0.35,12,0.046667,13,0.11976002104221606,0.11316622458888181,0.08634395370419871,0.009240717072794963,0.33991800032762026,8,0.4254797834838427,12.0,8.0,0.0956989598419764
equilibrado,0.55,8,0.11,13,0.14387592314996334,0.13319193684972563,0.14540474822798563,-0.04896085786833651,0.39047447441500055,8,0.5967565700111513,8.0,5.461538461538462,0.0956989598419764
arrojado,0.95,5,0.25,13,0.18329576910912238,0.16400745899756153,0.2639010667374081,-0.2105919626320942,0.42803339463254686,8,0.9059526341571829,5.0,4.230769230769231,0.0956989598419764
