posicoes,peso,anos,cagr,cagr_pos_ir,vol,pior_ano,sharpe_excesso,ganha_cdi,giro_medio,dd_diario
5,score,13,0.1634619607458967,0.1511968402897581,0.16567310624623635,-0.07872052187607381,0.4683697381575709,8,0.5919252276658178,-0.3043348698450854
5,equal,13,0.1327405605452212,0.12223835454992504,0.13885343577383116,-0.05364842230907204,0.31643024674136516,9,0.6302405808510604,-0.2800294403652419
5,inverse_volatility,13,0.1242207290658428,0.11440392221112106,0.1264567530636805,-0.04418042113531545,0.27634059828160074,8,0.6295795125014693,-0.26637315612058665
5,inverse_volatility_score,13,0.14942743376940326,0.13813107057408458,0.15592530908245442,-0.07159289647678072,0.4035847366756354,8,0.5945810682446201,-0.2885112958768282
8,score,13,0.14387592314996334,0.13319193684972563,0.14540474822798563,-0.04896085786833651,0.39047447441500055,8,0.5967565700111513,-0.2976758787515269
8,equal,13,0.13280579833156336,0.12280864293153981,0.13772774524549233,-0.03791916819466551,0.3321141499842343,8,0.6278022475103064,-0.31902693565969353
8,inverse_volatility,13,0.1281736217474363,0.11876806952494756,0.13022948808549847,-0.043673705020200154,0.3144057777945149,8,0.6223654080526718,-0.30649385670636375
8,inverse_volatility_score,13,0.14061552580237202,0.13035843664699875,0.14216261113295492,-0.03767549098860798,0.37986214014855274,8,0.5917328904467333,-0.3044536727366125
12,score,13,0.13139040618270892,0.12185938821221587,0.12776720229637975,-0.006696228338068249,0.33988329255043254,8,0.6034434269908343,-0.3018089212827406
12,equal,13,0.11846850126100672,0.10976335893591349,0.11652203507707179,-0.004145737158203392,0.25480242380086154,6,0.6353646489799325,-0.3066230551328778
12,inverse_volatility,13,0.11678964250574042,0.10843881389763976,0.1099917392778328,-0.00331518036775684,0.25296048511688546,6,0.6230601873638439,-0.2952399980849787
12,inverse_volatility_score,13,0.1297718729041435,0.12055882882750124,0.12178980644211436,-0.005036288543206579,0.34277646957410046,7,0.5959226107321446,-0.30103311117095566
16,score,13,0.12319101573837532,0.11446272558299442,0.11603442306428083,0.004956665441642405,0.2968920312738805,6,0.6110149726218812,-0.3021801202647455
16,equal,13,0.11075471910447576,0.10264262227320109,0.10642400106711877,-0.020479156614226696,0.1964982281620073,6,0.6339029266667981,-0.30358029183924706
16,inverse_volatility,13,0.1107396908530156,0.10267519875403353,0.10334753591374304,-0.031018423498552234,0.2038131877440451,6,0.6306673049629429,-0.29546568444572685
16,inverse_volatility_score,13,0.12085612490828201,0.11241033701482994,0.11086433676056048,0.003722651663856615,0.2876066820816074,6,0.6024658426419646,-0.2995573993243146
20,score,13,0.11504248979858178,0.10685499346195226,0.11330048974550276,-0.010648420915417312,0.2306994483820292,6,0.5965042112568868,-0.3010761421255225
20,equal,13,0.10125797455896834,0.09367909256046625,0.10808590150031364,-0.050954285142389616,0.10250953181977873,6,0.5987542492822021,-0.2976348803561104
20,inverse_volatility,13,0.10152265617741674,0.09405676588477041,0.10476051881481747,-0.05775482661841393,0.10741369443807597,6,0.5906393842816781,-0.2919607659653787
20,inverse_volatility_score,13,0.11271549155993177,0.10481174361256484,0.10914901120127025,-0.014390553642650716,0.21525446951338376,6,0.57577610092511,-0.2965052360344572
