peso,posicoes,d_cagr,d_sharpe,d_pior_ano,d_dd
equal,5,-0.030721400200675486,-0.15193949141620572,0.025072099567001772,0.024305429479843488
equal,8,-0.011070124818399973,-0.058360324430766275,0.011041689673671001,-0.021351056908166632
equal,12,-0.012921904921702199,-0.08508086874957099,0.0025504911798648567,-0.004814133850137181
equal,16,-0.012436296633899557,-0.10039380311187318,-0.0254358220558691,-0.001400171574501563
equal,20,-0.013784515239613437,-0.12818991656225046,-0.040305864226972306,0.003441261769412063
inverse_volatility,5,-0.03924123168005389,-0.19202913987597015,0.03454010074075836,0.03796171372449875
inverse_volatility,8,-0.01570230140252704,-0.07606869662048565,0.005287152848136356,-0.008817977954836853
inverse_volatility,12,-0.014600763676968498,-0.08692280743354708,0.003381047970311409,0.006568923197761922
inverse_volatility,16,-0.012451324885359716,-0.09307884352983536,-0.03597508894019464,0.006714435819018649
inverse_volatility,20,-0.013519833621165045,-0.12328575394395322,-0.04710640570299662,0.009115376160143795
inverse_volatility_score,5,-0.014034526976493433,-0.0647850014819355,0.007127625399293097,0.015823573968257176
inverse_volatility_score,8,-0.003260397347591315,-0.01061233426644781,0.011285366879728531,-0.006777793985085601
inverse_volatility_score,12,-0.001618533278565426,0.0028931770236679255,0.0016599397948616696,0.0007758101117849581
inverse_volatility_score,16,-0.0023348908300933058,-0.009285349192273085,-0.0012340137777857897,0.0026227209404309226
inverse_volatility_score,20,-0.002326998238650013,-0.015444978868645431,-0.003742132727233404,0.004570906091065252
