perfil,peso,posicoes,acoes,anos,cagr,cagr_pos_ir,vol,pior_ano,sharpe_excesso,ganha_cdi,giro_medio,dd_diario
conservador,score,12,0.35,13,0.11976002104221606,0.11316622458888181,0.08634395370419871,0.009240717072794963,0.33991800032762026,8,0.4254797834838427,-0.19231622852279018
conservador,equal,12,0.35,13,0.11125229005746373,0.105073761901193,0.08032558933399002,0.007287420501133817,0.2548460500457264,6,0.4443775667012858,-0.1954664887962978
conservador,inverse_volatility,12,0.35,13,0.1100242412207455,0.10404470896510531,0.07684627551273344,0.007815149773957903,0.2530036326501774,6,0.43571903219946984,-0.1881824564279463
conservador,inverse_volatility_score,12,0.35,13,0.118572131386816,0.11216377601622218,0.08314502396699397,0.0067230757902483635,0.3428097377200506,7,0.4200355732844646,-0.19179336719402484
equilibrado,score,8,0.55,13,0.14387592314996334,0.13319193684972563,0.14540474822798563,-0.04896085786833651,0.39047447441500055,8,0.5967565700111513,-0.2976758787515269
equilibrado,equal,8,0.55,13,0.13280579833156336,0.12280864293153981,0.13772774524549233,-0.03791916819466551,0.3321141499842343,8,0.6278022475103064,-0.31902693565969353
equilibrado,inverse_volatility,8,0.55,13,0.1281736217474363,0.11876806952494756,0.13022948808549847,-0.043673705020200154,0.3144057777945149,8,0.6223654080526718,-0.30649385670636375
equilibrado,inverse_volatility_score,8,0.55,13,0.14061552580237202,0.13035843664699875,0.14216261113295492,-0.03767549098860798,0.37986214014855274,8,0.5917328904467333,-0.3044536727366125
arrojado,score,5,0.95,13,0.18329576910912238,0.16400745899756153,0.2639010667374081,-0.2105919626320942,0.42803339463254686,8,0.9059526341571829,-0.47784022507010304
arrojado,equal,5,0.95,13,0.1498549826928559,0.13315601965947832,0.23818876973325534,-0.1881684199491801,0.316331908945268,9,0.9606925330688991,-0.46853684782404004
arrojado,inverse_volatility,5,0.95,13,0.13565610027503316,0.12015588290234569,0.22045091935112862,-0.17181652047332666,0.26687166611436036,8,0.9660257917624524,-0.4484093112666524
arrojado,inverse_volatility_score,5,0.95,13,0.17133150169421385,0.15294679950988121,0.2575657700607692,-0.21134426972612194,0.3894355023720591,8,0.912601449823205,-0.4789895040370704
