decision_date,ticker,ticker_raw,asset_class,issuer_name,specification,isin,observed_at,close_price_brl,average_daily_value_brl,trading_days,trade_count,quantity,source,universe_year
2023-01-02,XPBR31.SA,XPBR31,bdr,XP INC,DR1,BRXPBRBDR001,2023-01-02,75.61,81388567.96483333,60,8171,452524,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,MELI34.SA,MELI34,bdr,MERCADOLIBRE,DRN,BRMELIBDR006,2023-01-02,37.5,54640883.58416667,60,13964,181269,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,TSLA34.SA,TSLA34,bdr,TESLA INC,DRN,BRTSLABDR008,2023-01-02,20.08,47286354.5645,60,7172,769958,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,INBR32.SA,INBR32,bdr,INTER CO,DR2,BRINBRBDR007,2023-01-02,10.68,30655656.740833335,60,12794,775576,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,NUBR33.SA,NUBR33,bdr,NU-NUBANK,DR3,BRNUBRBDR002,2023-01-02,3.39,19327526.275333334,60,7046,1621898,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,BABA34.SA,BABA34,bdr,ALIBABAGR,DRN,BRBABABDR005,2023-01-02,16.55,17962677.537166666,60,794,131447,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,AAPL34.SA,AAPL34,bdr,APPLE,DRN,BRAAPLBDR004,2023-01-02,35.0,17861048.396166667,60,2741,106390,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,MSFT34.SA,MSFT34,bdr,MICROSOFT,DRN,BRMSFTBDR005,2023-01-02,53.2,17680801.287,60,768,28758,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,NFLX34.SA,NFLX34,bdr,NETFLIX,DRN,BRNFLXBDR000,2023-01-02,30.51,14433682.937333334,60,1177,115414,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,AMZO34.SA,AMZO34,bdr,AMAZON,DRN,BRAMZOBDR002,2023-01-02,22.79,13438868.747333335,60,1741,203974,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,GOGL34.SA,GOGL34,bdr,ALPHABET,DRN A,BRGOGLBDR001,2023-01-02,39.5,11496639.792,60,1307,49013,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,NVDC34.SA,NVDC34,bdr,NVIDIA CORP,DRN,BRNVDCBDR008,2023-01-02,16.0,10574207.957166666,60,576,221822,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,M1TA34.SA,M1TA34,bdr,META PLAT,DRN,BRM1TABDR009,2023-01-02,22.79,8802127.486,60,2099,36778,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,AURA33.SA,AURA33,bdr,AURA 360,DR3,BRAURABDR001,2023-01-02,29.79,5625254.475166666,60,2331,37420,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,BERK34.SA,BERK34,bdr,BERKSHIRE,DRN,BRBERKBDR002,2023-01-02,84.99,4010253.051833333,60,1170,16891,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
