decision_date,ticker,ticker_raw,asset_class,issuer_name,specification,isin,observed_at,close_price_brl,average_daily_value_brl,trading_days,trade_count,quantity,source,universe_year
2016-01-04,DAGB33.SA,DAGB33,bdr,DUFRY AG,DR3,BRDAGBBDR008,2016-01-04,468.5,7771998.013166667,60,936,21595,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,GPIV33.SA,GPIV33,bdr,GP INVEST,DR3,BRGPIVBDR003,2016-01-04,8.16,2060027.45,60,61,29800,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,CZLT33.SA,CZLT33,bdr,COSAN LTD,DR3,BRCZLTBDR009,2016-01-04,14.29,1593862.1166666667,60,172,55800,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,DOWB34.SA,DOWB34,bdr,DOW CHEMICAL,DRN ED,BRDOWBBDR006,2016-01-04,203.45,1328406.705882353,17,4,2700,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,AAPL34.SA,AAPL34,bdr,APPLE,DRN,BRAAPLBDR004,2016-01-04,42.08,954805.8983050848,59,5,12500,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,TWXB34.SA,TWXB34,bdr,TIME WARNER,DRN,BRTWXBBDR003,2016-01-04,261.79,945063.1525423729,59,3,500,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,WSON33.SA,WSON33,bdr,WILSON SONS,DR3,BRWSONBDR009,2016-01-04,32.99,934867.1754385965,57,4,600,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,DISB34.SA,DISB34,bdr,WALT DISNEY,DRN,BRDISBBDR006,2016-01-04,416.34,771794.9818181818,55,3,1000,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,LMTB34.SA,LMTB34,bdr,LOCKHEED,DRN,BRLMTBBDR009,2016-01-04,857.13,766700.8260869565,23,1,200,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,MSFT34.SA,MSFT34,bdr,MICROSOFT,DRN,BRMSFTBDR005,2016-01-04,217.6,718302.0,57,2,3800,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,BERK34.SA,BERK34,bdr,BERKSHIRE,DRN,BRBERKBDR002,2016-01-04,526.06,715167.0877192982,57,1,100,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
