decision_date,ticker,ticker_raw,asset_class,issuer_name,specification,isin,observed_at,close_price_brl,average_daily_value_brl,trading_days,trade_count,quantity,source,universe_year
2022-01-03,XPBR31.SA,XPBR31,bdr,XP INC,DR1,BRXPBRBDR001,2022-01-03,164.84,223887268.54466668,60,10395,369633,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,TSLA34.SA,TSLA34,bdr,TESLA INC,DRN,BRTSLABDR008,2022-01-03,212.0,103751485.081,60,8169,890031,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,MELI34.SA,MELI34,bdr,MERCADOLIBRE,DRN,BRMELIBDR006,2022-01-03,62.49,44905100.06183334,60,11856,1197163,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,NUBR33.SA,NUBR33,bdr,NU-NUBANK,DR3,BRNUBRBDR002,2022-01-03,9.3,43457421.74125,16,36259,2409385,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,AAPL34.SA,AAPL34,bdr,APPLE,DRN,BRAAPLBDR004,2022-01-03,103.5,23427481.54233333,60,6543,415726,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,GOGL34.SA,GOGL34,bdr,ALPHABET,DRN A,BRGOGLBDR001,2022-01-03,108.84,22775713.449,60,6725,251757,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,BABA34.SA,BABA34,bdr,ALIBABAGR,DRN,BRBABABDR005,2022-01-03,24.46,21941044.441833332,60,2113,1891320,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,MSFT34.SA,MSFT34,bdr,MICROSOFT,DRN,BRMSFTBDR005,2022-01-03,78.92,21198026.629499998,60,5602,359955,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,NVDC34.SA,NVDC34,bdr,NVIDIA CORP,DRN,BRNVDCBDR008,2022-01-03,35.31,19387249.243166666,60,3956,973560,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,FBOK34.SA,FBOK34,bdr,META PLAT,DRN,BRFBOKBDR006,2022-01-03,68.33,17604953.1435,60,5677,388865,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,AMZO34.SA,AMZO34,bdr,AMAZON,DRN,BRAMZOBDR002,2022-01-03,123.0,16107686.796333333,60,4286,175650,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,M1RN34.SA,M1RN34,bdr,MODERNA INC,DRN,BRM1RNBDR006,2022-01-03,132.01,12796530.025166666,60,746,89223,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,B1NT34.SA,B1NT34,bdr,BIONTECH SE,DRN,BRB1NTBDR005,2022-01-03,165.4,9903630.328833334,60,674,42995,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,PFIZ34.SA,PFIZ34,bdr,PFIZER,DRN,BRPFIZBDR006,2022-01-03,80.53,8560516.492999999,60,1638,74068,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,DISB34.SA,DISB34,bdr,WALT DISNEY,DRN,BRDISBBDR006,2022-01-03,59.25,7084570.2095,60,3192,191849,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,NFLX34.SA,NFLX34,bdr,NETFLIX,DRN,BRNFLXBDR000,2022-01-03,67.02,6310724.109666666,60,1791,136781,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
