strategy,years,cagr,cagr_after_tax,cdi_cagr,ibovespa_cagr,years_beating_cdi,years_beating_ibovespa
triple_factor,8,0.1546442928663938,0.14130667366866456,0.08624485271192084,0.09565812192850442,5,6
value_quality,8,0.11237110773029091,0.10128916423437784,0.08624485271192084,0.09565812192850442,5,4
nested_annual_selection,8,0.11156970133797017,0.10022024273546659,0.08624485271192084,0.09565812192850442,4,5
mvo_neutral,8,0.10735041554045432,0.09563950934115839,0.08624485271192084,0.09565812192850442,5,4
momentum_12m,8,0.10542325530117735,0.09412317391090075,0.08624485271192084,0.09565812192850442,5,4
mvo_risk_adjusted,8,0.10430053571470288,0.09263538214255052,0.08624485271192084,0.09565812192850442,5,3
low_volatility,8,0.09948991600256218,0.08867503110053132,0.08624485271192084,0.09565812192850442,5,3
mvo_low_volatility,8,0.08603546915500893,0.07895315032049899,0.08624485271192084,0.09565812192850442,5,3
