date,static,volatility_target,mean_variance,linear_trailing_12m,linear_above_trend,linear_drawdown,linear_market_trailing_12m,linear_short_volatility,oracle_binary,oracle_continuous
2016-03-31,0.55,0.685864165767717,-0.913871313782147,0.051392254676851656,0.26114678477110076,0.021183703308726876,0.55,0.7795958143881092,0.95,0.95
2016-04-30,0.55,0.3269002352423961,-0.019443674430670868,0.55,0.55,0.55,0.55,1.944831676697581,0.0,0.0
2016-05-31,0.55,0.3449261739715864,-0.03665654869394587,0.55,0.55,0.55,0.55,1.2721030267972169,0.0,0.0
2016-06-30,0.55,0.3612120571382611,-0.41541997041665285,0.55,0.55,0.55,0.55,1.3792098667318469,0.95,0.95
2016-07-31,0.55,0.3396304243460882,-0.04248832883410291,0.55,0.55,0.55,0.55,0.6850969029675825,0.95,0.95
2016-08-31,0.55,0.3271106866019465,-0.003799707184163917,0.55,1.351226056738653,0.6762049350187547,0.55,0.7833869960135698,0.0,0.0
2016-09-30,0.55,0.35346847358104605,-0.026819079555324223,0.55,0.727920250811587,0.55,0.55,0.7309762065543113,0.0,0.0
2016-10-31,0.55,0.36381316241530914,0.015685469507611873,0.55,0.686525911741378,0.6572529360518437,0.55,0.7216732939935122,0.95,0.95
2016-11-30,0.55,0.3506196105001465,0.048825311173356804,0.8231936783281736,0.9446146713159779,0.6638270542092841,0.55,0.6784040191439903,0.0,0.0
2016-12-31,0.55,0.3134146932233391,-0.006630475222995614,0.55,0.55,0.55,0.55,1.1117956186030975,0.0,0.0
2017-01-31,0.55,0.3145225991004102,0.0018939442518230395,0.55,0.55,0.55,0.55,1.0875118140386744,0.95,0.95
2017-02-28,0.55,0.31945437919685327,0.04264253192716028,0.55,0.55,0.55,0.55,1.1001153737806164,0.95,0.95
2017-03-31,0.55,0.32177329757521733,0.044824307505782174,0.55,0.55,0.55,0.55,0.7188599013816999,0.0,0.0
2017-04-30,0.55,0.3836176151084452,0.03225341669322696,0.55,0.55,0.55,0.55,0.7583611742001035,0.0,0.0
2017-05-31,0.55,0.38106349584955984,0.01879444227480859,0.55,0.55,0.55,0.55,0.6023381439743432,0.0,0.0
2017-06-30,0.55,0.36859801392548047,0.009056550456819206,0.55,0.55,0.55,0.55,0.1901405975178579,0.0,0.0
2017-07-31,0.55,0.3847995792677029,0.008902294277221846,0.55,0.55,0.55,0.55,0.23678174948942404,0.95,0.95
2017-08-31,0.55,0.4220234365520823,0.03603601042200668,0.55,0.55,0.55,0.55,0.4748699580776148,0.95,0.95
2017-09-30,0.55,0.4229004981597584,0.07789277928142281,0.55,0.55,0.55,0.55,0.2935963387706887,0.95,0.95
2017-10-31,0.55,0.42237256268333745,0.10243803781739173,0.55,0.55,0.55,0.55,0.05929030978548899,0.95,0.95
2017-11-30,0.55,0.46370162610609467,0.11414673672036024,0.55,0.55,0.55,0.55,0.1138237040004475,0.0,0.0
2017-12-31,0.55,0.5487551279587404,0.1083236066569072,0.55,0.55,0.55,0.55,0.44419264841862827,0.95,0.8584260254881124
2018-01-31,0.55,0.5656444633582618,0.13072964734235928,0.55,0.55,0.55,0.55,0.43036596386682635,0.95,0.95
2018-02-28,0.55,0.6551948103443672,0.18179417345553273,0.55,0.55,0.55,0.55,0.5293933972242988,0.95,0.95
