date,equity,cash,IBOVESPA_return,BOVA11_return,excess,trailing_12m,trailing_volatility,short_volatility,above_trend,drawdown,market_trailing_12m,cash_level
2013-02-28,0.03602230238699522,0.004815784783629651,-0.039105771023290936,-0.043448616041776744,0.03120651760336557,,,,,0.0,,
2013-03-31,0.004136073321204581,0.0053770523355771704,-0.01866815338378902,-0.018525127827186516,-0.0012409790143725896,,,,,0.0,,
2013-04-30,-0.013519699657435269,0.006008404830872394,-0.007843558222997982,-0.011796699328284976,-0.019528104488307663,,,0.08698123809281741,,-0.013519699657435269,,
2013-05-31,0.027120562063361664,0.005848671579461229,-0.04299767122914333,-0.03673094292864365,0.021271890483900435,,,0.07059240631890214,,0.0,,
2013-06-30,-0.05056789827864705,0.005919376144686295,-0.11305273635090818,-0.11344138682290361,-0.056487274423333345,,,0.13460829665457838,,-0.05056789827864705,,
2013-07-31,0.027741710924824137,0.007087986710316185,0.016372713169270803,0.01763440216982759,0.02065372421450795,,,0.15600177941177681,,-0.024229027369944922,,
2013-08-31,-0.01724784565239934,0.006957956353725203,0.03677903422146622,0.04606933068337571,-0.024205802006124544,,,0.1361372910089773,,-0.0410589744979597,,
2013-09-30,0.03772934991208565,0.0069914137511355445,0.04659254535034463,0.036161628329346884,0.030737936160950108,,,0.1014525028344859,,-0.004878753001739011,,
2013-10-31,0.06399069986154293,0.0080336850064191,0.036646414583402454,0.027490734181833787,0.05595701485512383,,,0.14360955268034475,,0.0,,
2013-11-30,-0.007078189073219887,0.007105244146002221,-0.03269684342928936,-0.026945011198400426,-0.014183433219222108,,,0.12448422410497793,0.058420271162103576,-0.007078189073219887,,
2013-12-31,-0.03311144590455062,0.007431116155584894,-0.018577798072911267,-0.020280753057552947,-0.04054256206013551,,,0.17411113777152426,0.019922086028056674,-0.039955265903170445,,
2014-01-31,-0.03811189253007263,0.008024844627325667,-0.0536739402470503,-0.053382291119153935,-0.0461367371573983,,0.12296251389924617,0.05772045872909507,-0.01804419818938241,-0.07654438763313098,,0.07960153642473555
2014-02-28,0.003778090905587783,0.007826753340788084,-0.0114402051004443,-0.008179012936158858,-0.004048662435200301,-0.0014496274725706026,0.11765537586857347,0.079254187331158,-0.015111044152785635,-0.07305548838233378,-0.16089451641368913,0.08261250498189399
2014-03-31,0.11743030192319637,0.007599511959553107,0.07051853776542072,0.06532113680641083,0.10983078996364326,0.11121438010714546,0.1661344456162138,0.2788008968305858,0.08996778165210295,0.0,-0.08463382859002311,0.08483496460586992
2014-04-30,0.057308722223478936,0.008154496596085359,0.024020628045104964,0.024444920485386268,0.04915422562739358,0.190998599707918,0.17031290206855892,0.1969617115282688,0.12885861165828838,0.0,-0.055235845609549306,0.08698105637108289
2014-05-31,0.020184150845177884,0.008582931085407086,-0.007496228652239201,-0.0061642773156157515,0.011601219759770798,0.18295547765099096,0.16994850387499313,0.16999795319415367,0.1288742137549972,0.0,-0.020188396541281683,0.08971531587702875
2014-06-30,0.11715066593125356,0.008174012089284366,0.037647104498773176,0.034213666920958063,0.1089766538419692,0.39192628649150607,0.18153862745310329,0.1694803650850751,0.21894447607155132,0.0,0.1462898809793065,0.09196995182162682
2014-07-31,0.02803968178222438,0.00940419297893591,0.05004890732440037,0.051073768004451514,0.01863548880328847,0.39232984456900244,0.18153635565041518,0.18657428499259782,0.2124743312262427,0.0,0.18427071231188719,0.09428615809024654
2014-08-31,0.07227262335749596,0.00859527154899209,0.09778071350878026,0.09865629476961857,0.06367735180850387,0.5191594019003065,0.17861351479972126,0.15434610018825817,0.25550981315903143,0.0,0.2539504606452019,0.09592347328551343
2014-09-30,-0.1663816788504684,0.00900582188803023,-0.11702126980434058,-0.11811022698235707,-0.17538750073849863,0.2203558762965958,0.2703245593511951,0.43980016951574574,0.032108390615263493,-0.1663816788504684,0.05792038208921668,0.09793788142240811
2014-10-31,0.02226348021052793,0.0094480359013287,0.009479635305729817,0.0064589743632603724,0.012815444309199231,0.17249638118140243,0.2660398596653851,0.43599033566769085,0.0352942207068947,-0.14782243385442229,0.030196088531399656,0.09935223231731771
