caixa,perfil,cagr,vol,drawdown,caixa_cagr,excesso_pp
índice (100% do CDI),conservador,0.1250873778032222,0.05840175108513378,-0.09157090199409423,0.09673085800426828,2.8356519798953927
índice (100% do CDI),equilibrado,0.15513512134109408,0.10508380184044552,-0.1786231422696749,0.09673085800426828,5.84042633368258
índice (100% do CDI),arrojado,0.19866922148746902,0.1694341099458304,-0.28939041755135564,0.09673085800426828,10.193836348320072
Tesouro Selic real,conservador,0.12339247833468159,0.05845755213490514,-0.09172635677263719,0.09425436461372638,2.9138113720955205
Tesouro Selic real,equilibrado,0.15391007176268845,0.10514133482826382,-0.17875251535769887,0.09425436461372638,5.965570714896207
Tesouro Selic real,arrojado,0.19794505344855384,0.16947961250348942,-0.2894748233314013,0.09425436461372638,10.369068883482747
