date,decision_year,strategy,mvo,cdi,equity_sleeve,IBOVESPA,BOVA11,phase
2012-01-03,2012,78.74318496143074,76.15961894929478,83.66344448548114,75.78266464169437,116.42929272116459,118.24673434072808,selection
2012-01-04,2012,78.78469540185985,75.51719956042835,83.66344448548114,75.85474180327219,116.62574852394471,118.24673434072808,selection
2012-01-05,2012,78.78630141641705,75.03579243037251,83.66344448548114,75.85753037648905,115.01677836333606,116.64716252333618,selection
2012-01-06,2012,78.92821392198849,75.0741435432388,83.66344448548114,76.10393660937403,115.12286407769187,116.93062974809314,selection
2012-01-09,2012,79.15969004151941,75.19282229318195,83.66344448548114,76.5058557548226,116.07174418468253,117.94301549799283,selection
2012-01-10,2012,79.94466186252542,74.62331454669842,83.66344448548114,77.86882683515114,117.4921163554768,119.25912124535569,selection
2012-01-11,2012,80.37477317289526,74.79374160981668,83.66344448548114,78.61564327741029,117.79858736124208,119.86655084773086,selection
2012-01-12,2012,80.40608928562706,74.99048125844004,83.66344448548114,78.67001821831572,117.71804041224466,119.66406930978488,selection
2012-01-13,2012,80.0588536355478,74.9271922174039,83.66344448548114,78.06710259255614,116.19747501359919,117.84177819320355,selection
2012-01-16,2012,80.6002218581133,76.04162219989004,83.66344448548114,79.00709632600189,117.78680005964699,117.84177819320355,selection
2012-01-17,2012,81.2475862606983,75.89862434592628,83.66344448548114,80.13113663736851,119.1423420716683,117.84177819320355,selection
2012-01-18,2012,81.73429065088274,76.78585300395481,83.66344448548114,80.97621524195497,121.25816620086586,123.10618501646431,selection
2012-01-19,2012,81.95109168552446,76.70264665478386,83.66344448548114,81.3526539860364,121.65893561939187,123.3694075516104,selection
2012-01-20,2012,82.13127293369247,77.06354900890139,83.66344448548114,81.66550804151865,122.4152882479388,124.3210534590379,selection
2012-01-23,2012,81.92838340482628,76.65273806850759,83.66344448548114,81.31322475372244,122.56066535570923,124.56402322147774,selection
2012-01-24,2012,81.90119670920338,76.87985490405921,83.66344448548114,81.26602032314497,122.75712115848937,124.7260015234671,selection
2012-01-26,2012,82.3604052244919,76.64902512361206,83.66344448548114,82.06335840513717,123.67456768503116,125.63715112330543,selection
2012-01-27,2012,82.36151077461976,76.31681931223883,83.66344448548114,82.06527759964524,123.57830511010224,125.59665481571624,selection
2012-01-30,2012,82.48978972345913,76.39665295562213,83.66344448548114,82.28801227571496,123.31505498638089,125.2524465937592,selection
2012-01-31,2012,82.77020439352961,76.94333271310154,83.66344448548114,82.77490536106546,123.90834955476475,125.88012088574528,selection
2012-02-01,2012,83.65516994442594,77.13907219575673,83.66344448548114,84.31149867649536,126.84535763557518,128.61356968526027,selection
2012-02-02,2012,84.33071650620234,77.05081478009812,83.66344448548114,85.48447099173983,126.89643633058488,128.75530329763873,selection
2012-02-03,2012,85.09355936726925,77.16164443455894,83.66344448548114,86.80901866469276,128.12231802506017,130.01065996470618,selection
2012-02-06,2012,84.73847868351437,76.94584835124827,83.66344448548114,86.19248152981584,128.1360694888235,129.9701705854844,selection
2012-02-07,2012,85.4320060499832,79.21539695548582,83.66344448548114,87.39667468097203,129.49750631593525,131.50898754894135,selection
2012-02-08,2012,85.24632281611532,79.70012198771462,83.66344448548114,87.07426715259469,129.32855460497464,131.16477932698433,selection
2012-02-09,2012,85.25955974893145,80.08221278936334,83.66344448548114,87.09725051339946,128.73722303446604,130.63833425669225,selection
2012-02-10,2012,84.26975978255679,80.22419601529394,83.66344448548114,85.37863047161139,125.72752698191685,127.66192377783273,selection
2012-02-13,2012,84.87391482022242,81.06262738256638,83.66344448548114,86.4276425056803,129.0554813418264,127.66192377783273,selection
2012-02-14,2012,84.53826558532492,80.92708358136238,83.66344448548114,85.844844869904,127.77262730154388,129.605711900277,selection
2012-02-15,2012,84.73795557716856,81.26450030309945,83.66344448548114,86.19157263389303,128.41896589139859,130.3548670319353,selection
2012-02-16,2012,86.20350749220681,81.63612133085762,83.66344448548114,88.73625604423823,129.93953012575113,131.6304845548043,selection
2012-02-17,2012,86.22091053765163,82.9346298046501,83.66344448548114,88.7664740376428,130.06133263033138,131.85321078236115,selection
2012-02-22,2012,85.96147008978076,82.32885424381999,83.66344448548114,88.31599942026142,,,selection
2012-02-23,2012,86.12275548752905,81.96777377795469,83.66344448548114,88.59604524080021,129.30694416395266,131.32676455734114,selection
2012-02-24,2012,86.96760971228235,82.98907034539707,83.66344448548114,90.06299133051157,129.548583846652,131.3875055545412,selection
2012-02-27,2012,86.54671288115614,83.43241712620903,83.66344448548114,89.33217488629003,128.16946723144056,130.09165257988457,selection
2012-02-28,2012,87.09429513865638,83.43224282026785,83.66344448548114,90.28295905599097,129.58001742710087,131.61023178209808,selection
2012-02-29,2012,87.75433901445913,83.78966133904572,83.66344448548114,91.42901418361457,129.29122737372822,131.08378671180597,selection
2012-03-01,2012,87.99576976967519,83.85667017542924,83.66344448548114,91.84821726375303,131.25185242002138,131.08378671180597,selection
2012-03-02,2012,88.74111199082978,84.9209107031138,83.66344448548114,93.14237843593588,133.16139877130487,135.15358479356678,selection
2012-03-05,2012,88.79846006144498,84.95449618498564,83.66344448548114,93.24195361362014,131.55439393715736,133.5337602034687,selection
2012-03-06,2012,87.6216878334757,84.44070925258123,83.66344448548114,91.19868772880311,127.91996857148251,129.62594850679253,selection
2012-03-07,2012,87.5434404932119,85.4582548170623,83.66344448548114,91.06282456451684,129.69396095442244,129.62594850679253,selection
2012-03-08,2012,88.15483391734315,86.61612655929079,83.66344448548114,92.12440605508037,131.44437873417218,133.37178998457466,selection
2012-03-09,2012,88.46886090277683,87.34321905518253,83.66344448548114,92.66966084630705,131.0436104799391,132.90608591148262,selection
2012-03-12,2012,88.24262755804007,88.2042470184193,83.66344448548114,92.27684482663513,130.41691700464523,132.3998924591688,selection
2012-03-13,2012,89.43387655894061,89.03947009074818,83.66344448548114,94.34524664201015,134.36370586259,136.26721593135107,selection
2012-03-14,2012,89.53315043203862,89.12653781127113,83.66344448548114,94.51761998402644,134.0945620880711,135.86225170073124,selection
2012-03-15,2012,89.21335131941906,87.69881383144919,83.66344448548114,93.96234198698309,133.09656861253188,134.89036918678815,selection
2012-03-16,2012,88.74774763386414,86.91739801365301,83.66344448548114,93.15390031345467,132.96887245715408,134.91060579330372,selection
2012-03-19,2012,89.03116118673199,87.12730042490011,83.66344448548114,93.64599923254852,133.0592425455784,134.91060579330372,selection
2012-03-20,2012,88.6537423004997,87.04481337317203,83.66344448548114,92.99067483368377,132.2066261778096,133.93872443408853,selection
2012-03-21,2012,87.98477438658864,87.12435244712634,83.66344448548114,91.82912523011908,131.35008032141147,133.93872443408853,selection
2012-03-22,2012,87.54180012540215,87.21101294634566,83.66344448548114,91.05997559706721,129.32266095417708,133.31103397591184,selection
2012-03-23,2012,88.16596280966127,87.12888287927441,83.66344448548114,92.14372922713605,129.29319270018937,131.3875055545412,selection
2012-03-26,2012,89.5638239827964,88.8027755623674,83.66344448548114,94.57087875003728,131.0062832486927,133.18955198151164,selection
2012-03-27,2012,89.1589178099813,88.21595063480179,83.66344448548114,93.86782799512669,129.73325234783704,131.4280099452257,selection
2012-03-28,2012,88.27753046264147,86.55544754040444,83.66344448548114,92.33744782959415,127.8512100883731,129.889177970306,selection
2012-03-29,2012,88.16071691184413,86.50165018096884,83.66344448548114,92.1346201364969,127.44454701904955,129.3829845179922,selection
2012-03-30,2012,88.22172750763573,86.284013609598,83.66344448548114,92.24055460320966,126.73534243259002,129.3829845179922,selection
2012-04-02,2012,89.54118284709185,87.97849798975108,83.66344448548114,94.53156657814982,128.120353862892,130.19289681304127,selection
2012-04-03,2012,89.1247113395,87.43554640039352,83.66344448548114,93.8084336224309,126.2893891341448,128.41108699258638,selection
2012-04-04,2012,88.94571293627808,86.68301284870256,83.66344448548114,93.49763371647072,124.8061509667457,126.85201956587899,selection
2012-04-05,2012,89.15507649174046,86.9021823989622,83.66344448548114,93.86115778764056,125.12440927410609,126.95325571594039,selection
2012-04-09,2012,88.43297346518726,86.27314650950092,83.66344448548114,92.6073474190273,123.61563117705569,125.49541751092696,selection
2012-04-10,2012,87.6853248915767,86.64412663943168,83.66344448548114,91.30918158728623,121.28763445485356,123.14668132405352,selection
2012-04-11,2012,87.90878264965772,87.00011341377567,83.66344448548114,91.69717948927702,120.41340881035575,123.14668132405352,selection
2012-04-12,2012,88.83973939817507,87.58331978044883,83.66344448548114,93.31362740137168,123.88084546294525,125.53591381851616,selection
2012-04-13,2012,88.8319521404242,85.96236358334396,83.66344448548114,93.30010654930894,122.01059050507638,123.61237846877812,selection
2012-04-16,2012,87.72249823387004,85.3192005398726,83.66344448548114,91.37372736435509,121.71394263873796,123.61237846877812,selection
2012-04-17,2012,88.38687842705282,85.68032515309416,83.66344448548114,92.52731089405641,123.175571529408,125.11071298138073,selection
2012-04-18,2012,88.79924628247518,86.47172207921655,83.66344448548114,93.2433188215239,123.78654705018451,125.53591381851616,selection
2012-04-19,2012,88.57151310596186,86.46233848252277,83.66344448548114,92.84789839376467,123.01644179358135,124.84749044623469,selection
2012-04-20,2012,88.28851725741488,87.24778312716029,83.66344448548114,92.35652345985626,122.77283794871379,124.70575683385621,selection
2012-04-23,2012,85.1752209523841,86.60135774629198,83.66344448548114,86.95081090230002,120.89668817575445,122.7214804869181,selection
2012-04-24,2012,85.53233082030725,87.00354016201669,83.66344448548114,87.57087177969643,121.74537621918685,123.63263008675645,selection
2012-04-25,2012,85.58680570979924,87.49099091291522,83.66344448548114,87.66545809551062,121.31120905804377,123.38965224122127,selection
2012-04-26,2012,86.98809908516743,87.47324748149663,83.66344448548114,90.09856726165313,122.19132951763208,123.99708992669176,selection
2012-04-27,2012,87.13586023198728,87.88644161796832,83.66344448548114,90.35513016415312,121.19530020426107,123.12643663444264,selection
2012-04-30,2012,87.67369475407351,86.34085028616522,83.66344448548114,91.28898903652174,121.44872835284842,123.12643663444264,selection
2012-05-02,2012,88.34708799151895,86.77766325824751,83.66344448548114,92.45822138298125,122.63531865390911,123.3086665544103,selection
2012-05-03,2012,87.62443687443628,86.11667001096762,83.66344448548114,91.20346111001552,122.00666101644703,123.99708992669176,selection
2012-05-04,2012,86.14448079675059,84.9267899131124,83.66344448548114,88.6337662856169,119.48613914438704,121.36487843196603,selection
2012-05-07,2012,86.32374934145852,85.82024030373137,83.66344448548114,88.94503592449864,120.26999586475351,122.17479072701511,selection
2012-05-08,2012,85.30585387977959,85.24897503577104,83.66344448548114,87.1776322547873,118.59030189457432,120.25125537727708,selection
2012-05-09,2012,85.76315266652806,84.21003551020368,83.66344448548114,87.97165387323173,117.4528249620622,119.25912124535569,selection
2012-05-10,2012,86.6018842047682,84.25139168794237,83.66344448548114,89.42797057797526,117.28780273973094,119.01614224509261,selection
2012-05-11,2012,86.89312171090671,84.79077647537692,83.66344448548114,89.9336544714037,116.78291293331024,119.01614224509261,selection
2012-05-14,2012,85.60459366782388,83.13384855567706,83.66344448548114,87.69634340790692,113.04043652681844,114.70338248398728,selection
2012-05-15,2012,84.7810041064055,82.77506908046762,83.66344448548114,86.2663190714378,110.48258742351206,112.25340090922923,selection
2012-05-16,2012,84.09977442359757,83.39243027767638,83.66344448548114,85.08347863680154,109.79499444236747,112.25340090922923,selection
2012-05-17,2012,83.32835339921516,81.98219093442587,83.66344448548114,83.7440367021962,106.1605690766926,108.02162568020697,selection
2012-05-18,2012,83.20000808613788,80.8762775858955,83.66344448548114,83.52118720252342,107.09373239345884,108.60881174769916,selection
2012-05-21,2012,84.18859553884832,81.06737474568928,83.66344448548114,85.23770164785041,111.17411105757893,108.60881174769916,selection
2012-05-22,2012,83.11147975428963,81.77588653271572,83.66344448548114,83.36747195039455,108.12708777378333,109.70219126750514,selection
2012-05-23,2012,82.0284677023824,80.41857986964676,83.66344448548114,81.48700505767994,107.30197433354112,109.11500520001294,selection
2012-05-24,2012,81.55082085953781,79.95234725157071,83.66344448548114,80.65765132184848,106.20968244524119,107.94064114812389,selection
2012-05-25,2012,82.25508830196623,79.87575615539015,83.66344448548114,81.88049286999048,106.99550449206876,108.73030067046673,selection
2012-05-28,2012,83.05784964250836,80.44499673425204,83.66344448548114,83.27435299075437,108.46891952004097,110.18813194711274,selection
