carteira_brl,cadencia,meses,revisoes_por_ano,cagr_liquido,cagr_pos_ir_plano,cagr_pos_ir_com_isencao,revisoes_isentas,venda_media_brl,giro_anual,custo_execucao_anual,ir_anual_plano,ir_anual_com_isencao,ganha_cdi,anos
100000,anual,12,1.0,0.14391247071021085,0.1332284447899803,0.13346149109018723,0.15384615384615385,65012.246990395564,0.5967565700111513,0.000558966726639203,0.011806212362742216,0.011576808461887163,8,13
100000,semestral,6,2.0,0.14738392478454965,0.13975184714064515,0.14056990677655512,0.38461538461538464,42542.621966601335,0.8311015208378749,0.000730299526814097,0.007492077903681319,0.006664920264499039,9,13
100000,trimestral,3,4.0,0.1373874992418478,0.1317727685532455,0.1333460919137972,0.7115384615384616,24224.45313947494,1.1273342611532926,0.000958657088920446,0.005347990501361267,0.003804606801769514,9,13
100000,mensal,1,12.0,0.131150301517992,0.12765739592617842,0.12962186098005657,0.8974358974358975,11018.428184707403,1.6989865206594033,0.0013795176556692583,0.0032610250102294664,0.0014045355124659722,9,13
300000,anual,12,1.0,0.1439000966392059,0.13321608413439368,0.13321608413439368,0.0,195016.3224234874,0.5967565700111513,0.0005716113640526886,0.011806212362742216,0.011806212362742216,8,13
300000,semestral,6,2.0,0.14736858588650947,0.13973658074452322,0.13976262002913775,0.07692307692307693,127611.96981197302,0.8311015208378749,0.0007444762917960476,0.007492077903681319,0.007467490165157033,9,13
300000,trimestral,3,4.0,0.13736920668069152,0.13175454937671272,0.13195728061842082,0.17307692307692307,72662.8320989312,1.1273342611532926,0.0009753005086119156,0.005347990501361267,0.005155683020359515,9,13
300000,mensal,1,12.0,0.13112731018755674,0.1276344683196362,0.12846659860943688,0.5897435897435898,33049.44615775335,1.6989865206594033,0.0014002118520432922,0.0032610250102294664,0.0024798199940100052,9,13
1000000,anual,12,1.0,0.14387592314996334,0.13319193684972563,0.13319193684972563,0.0,649921.4646779564,0.5967565700111513,0.0005963133068056881,0.011806212362742216,0.011806212362742216,8,13
1000000,semestral,6,2.0,0.14733862135377107,0.13970675784533926,0.13970675784533926,0.0,425269.74052975053,0.8311015208378749,0.000772170596048904,0.007492077903681319,0.007492077903681319,9,13
1000000,trimestral,3,4.0,0.1373334734066114,0.13171895945398981,0.13171895945398981,0.0,242140.9061627299,1.1273342611532926,0.0010078125564778682,0.005347990501361267,0.005347990501361267,9,13
1000000,mensal,1,12.0,0.13108240068486676,0.12758968329079678,0.1276245667688518,0.08333333333333333,110126.8155079052,1.6989865206594033,0.001440634991563643,0.0032610250102294664,0.003228961741488956,9,13
5000000,anual,12,1.0,0.14380987122075806,0.13312595650028158,0.13312595650028158,0.0,3247791.698748126,0.5967565700111513,0.0006638084181907375,0.011806212362742216,0.011806212362742216,8,13
5000000,semestral,6,2.0,0.14725675213854128,0.13962527560914362,0.13962527560914362,0.0,2124935.495148116,0.8311015208378749,0.000847837070777424,0.007492077903681319,0.007492077903681319,9,13
5000000,trimestral,3,4.0,0.1372358511656655,0.13162172884122048,0.13162172884122048,0.0,1209768.830833595,1.1273342611532926,0.001096636252945412,0.005347990501361267,0.005347990501361267,9,13
5000000,mensal,1,12.0,0.13095972609642392,0.12746734871779242,0.12746734871779242,0.0,550115.3170719338,1.6989865206594033,0.0015510592522137434,0.0032610250102294664,0.0032610250102294664,9,13
