date,ABCB4.SA,ABEV3.SA,ADHM3.SA,TITULO_CDI
2013-01-02,4.140720844268799,9.469280242919922,55.231693267822266,100.026555
2013-01-03,4.317042827606201,9.637166976928711,55.231693267822266,100.05311705168023
2013-01-04,4.256197452545166,9.478294372558594,55.231693267822266,100.07972417709779
2013-01-07,4.289661884307861,9.587589263916016,55.231693267822266,100.10630034785302
2013-01-08,4.335296154022217,9.57632064819336,55.231693267822266,100.13284653657925
2013-01-09,4.289661884307861,9.72392749786377,55.231693267822266,100.15936271567061
2013-01-10,4.2714080810546875,9.703643798828125,55.231693267822266,100.18592297547555
2013-01-11,4.335296154022217,9.58871841430664,50.58720779418945,100.2125273473217
2013-01-14,4.304873943328857,9.633785247802734,50.58720779418945,100.23917686471917
2013-01-15,4.2835774421691895,9.66420841217041,50.58720779418945,100.26587055751826
2013-01-16,4.274450302124023,9.90307903289795,50.58720779418945,100.29257135884772
2013-01-17,4.259239196777344,9.999981880187988,50.58720779418945,100.3192792706006
2013-01-18,4.228815078735352,10.107022285461426,50.58720779418945,100.34591905521091
2013-01-21,4.317042827606201,10.084490776062012,50.58720779418945,100.37260404546527
2013-01-22,4.307916164398193,10.084490776062012,50.58720779418945,100.39929613205909
2013-01-23,4.317042827606201,10.140827178955078,50.210628509521484,100.42599531687951
2013-01-24,4.487412452697754,10.268148422241211,50.210628509521484,100.45270160181413
2013-01-28,4.441776752471924,9.971814155578613,50.210628509521484,100.50620983435992
2013-01-29,4.487412452697754,10.092374801635742,50.210628509521484,100.53301182533644
2013-01-30,4.432650089263916,10.197162628173828,50.210628509521484,100.55982096359992
2013-01-31,4.423523426055908,10.144205093383789,46.695884704589844,100.58663725105627
2013-02-01,4.563470363616943,10.090123176574707,46.695884704589844,100.61346068961201
2013-02-04,4.444820880889893,10.217446327209473,46.695884704589844,100.64032850815457
2013-02-05,4.563470363616943,10.155579566955566,46.695884704589844,100.66720350147938
2013-02-06,4.5573859214782715,10.149942398071289,46.695884704589844,100.69408567150239
2013-02-07,4.414397239685059,10.016983032226562,46.695884704589844,100.72093776332842
2013-02-08,4.456989765167236,10.231069564819336,46.695884704589844,100.74779701580177
