decision_year,selected_configuration,training_years,training_excess_sharpe,runner_up,switched,switching_cost,gross_of_switch_return,net_return,cdi_net_return,mvo_eligible_net_return,benchmark_IBOVESPA,benchmark_BOVA11,cdi_net_return_after_tax,turnover,equity_gain_rate,cash_weight,mvo_turnover,mvo_equity_gain_rate,mvo_cash_weight,realised_share_for_tax,tax_rate,net_return_after_tax,mvo_realised_share_for_tax,mvo_tax_rate,mvo_net_return_after_tax
2018,eq55_n5_momentum_12m,3,0.5004308955794031,eq75_n5_momentum_12m,False,0.0,0.057011228397210956,0.057011228397210956,0.06367037319283275,-0.1117164030381197,0.12833318355137302,0.12649800523329735,0.05252805788408702,0.6441976960711905,0.032237628418331,0.4499999999609004,0.6441976960711905,0.032237628418331,0.4499999999609004,0.5118915171397979,0.0050419707873139985,0.05196925760989696,0.5118915171397979,0.0050419707873139985,-0.11675837382543369
2019,eq95_n12_triple_factor,4,0.5560726629955784,eq75_n12_triple_factor,True,0.003871269251031143,0.40630778702907694,0.4024365177780458,0.059156810061480325,0.4280623546215205,0.27416164901331697,0.265415260819831,0.04880436830072127,1.0237830342795957,0.4043629431215823,0.050000000000000044,1.0237830342795957,0.4043629431215823,0.050000000000000044,0.5647228429256248,0.034545261639126794,0.367891256138919,0.5647228429256248,0.034545261639126794,0.3935170929823937
2020,eq95_n12_triple_factor,5,0.7538406224153252,eq75_n12_triple_factor,False,0.0,-0.021695097960872992,-0.021695097960872992,0.027325854367195923,-0.17346525866998977,0.006181845782766704,0.0035889676976212925,0.022543829852936636,1.1294456858512496,-0.02182354903858985,0.050000000000000266,1.1294456858512496,-0.02182354903858985,0.050000000000000266,0.45718141907850096,0.00010931263767486257,-0.021804410598547853,0.45718141907850096,0.00010931263767486257,-0.17357457130766463
2021,eq95_n12_triple_factor,6,0.6125347340163714,eq75_n12_triple_factor,False,0.0,0.08341929087552835,0.08341929087552835,0.04379550070628846,0.058769419372027606,-0.11585890450243763,-0.1164869288519651,0.03613128808268798,0.9143628381570019,0.0821703514235238,0.04999999999999993,0.9143628381570019,0.0821703514235238,0.04999999999999993,0.5453710532957378,0.006930991651389989,0.07648829922413836,0.5453710532957378,0.006930991651389989,0.05183842772063762
2022,eq55_n5_triple_factor,7,0.6435340030701571,eq75_n5_triple_factor,True,0.003871269251031143,0.048011472217365486,0.04414020296633434,0.12294915546054463,-0.03152885632371715,0.058784472970112134,0.06024213574183901,0.10143305325494932,1.0907421065914755,-0.006386133074820166,0.44999999999999996,1.0907421065914755,-0.006386133074820166,0.44999999999999996,0.3462602239855091,0.003352576666052042,0.0407876263002823,0.3462602239855091,0.003352576666052042,-0.034881432989769194
2023,eq55_n5_triple_factor,8,0.5113348894778826,eq75_n5_triple_factor,False,0.0,0.2193249728690961,0.2193249728690961,0.1293265758525708,0.10981200735680494,0.2614217492667519,0.2704862406620203,0.1066944250783709,0.6925204479710182,0.16193189729683266,0.45000000000000007,0.6925204479710182,0.16193189729683266,0.45000000000000007,0.3600707657648797,0.012413170476292125,0.206911802392804,0.3600707657648797,0.012413170476292125,0.09739883688051282
2024,eq55_n5_triple_factor,9,0.5456025485512636,eq75_n5_triple_factor,False,0.0,-0.03080775469014295,-0.03080775469014295,0.10777090353467633,0.029428207600309102,-0.09355147441162948,-0.08923577472783695,0.08891099541610797,0.7201415315297593,-0.0786704777281243,0.44999999999999996,0.7201415315297593,-0.0786704777281243,0.44999999999999996,0.1515739223236869,0.0012864016116880884,-0.03209415630183104,0.1515739223236869,0.0012864016116880884,0.028141805988621014
2025,eq55_n5_triple_factor,10,0.39336730796962,eq75_n5_triple_factor,False,0.0,0.44402972383344774,0.44402972383344774,0.14209253474057104,0.30512680028590444,0.3413111342351718,0.3492741422615624,0.11722634116097111,0.3031478446473738,0.38029340635041975,0.44999999999999996,0.3031478446473738,0.38029340635041975,0.44999999999999996,1.0,0.06823379806338292,0.3757959257700648,1.0,0.06823379806338292,0.23689300222252152
