decision_year,decision_date,holding_end_exclusive,gross_return,estimated_cost_brl,estimated_cost_rate,net_return,opening_wealth_brl,closing_wealth_brl,turnover,weights_at_decision,known_snapshot_count,factor,target_equity_weight,mvo_eligible_net_return,cdi_net_return
2015,2015-01-02,2016-01-04,-0.015616454509437272,510.3325647013361,0.0005103325647013361,-0.01612678707413861,1000000.0,983873.2129258614,0.4000008334984046,BBDC4.SA:10.00% | BBSE3.SA:10.00% | ITSA4.SA:10.00% | ITUB3.SA:10.00% | ITUB4.SA:10.00% | PSSA3.SA:10.00% | TITULO_CDI:40.00%,137,low_volatility,0.5999991665015955,-0.01609856945064092,0.1313058205754336
2016,2016-01-04,2017-01-02,0.2961123499635989,821.8678786068788,0.0008353392162825452,0.2952770107473164,983873.2129258614,1274388.3541929675,1.072764775844775,SANB3.SA:10.00% | SANB4.SA:10.00% | TITULO_CDI:80.00%,153,low_volatility,0.20000000020865782,0.2945064192191731,0.13881531059776075
2017,2017-01-02,2018-01-02,0.300247209599356,1131.851466383865,0.0008881527068729635,0.29935905689248304,1274388.3541929675,1655888.050018938,1.5999999981976036,BBAS3.SA:10.00% | BBDC3.SA:10.00% | BBDC4.SA:10.00% | BRSR6.SA:10.00% | ITSA4.SA:10.00% | ITUB3.SA:10.00% | ITUB4.SA:10.00% | QUAL3.SA:10.00% | SANB3.SA:10.00% | SANB4.SA:10.00%,155,low_volatility,0.9999999990152634,0.2978472088852916,0.09485614678200971
2018,2018-01-02,2019-01-02,0.20464138787933583,3038.908417589443,0.0018352136894488054,0.20280617418988703,1655888.050018938,1991712.370330031,0.6110408533968595,BBDC4.SA:10.00% | BPAC3.SA:10.00% | BRSR3.SA:10.00% | BRSR6.SA:1.51% | ITSA3.SA:10.00% | ITSA4.SA:10.00% | ITUB3.SA:10.00% | ITUB4.SA:8.49% | PSSA3.SA:10.00% | QUAL3.SA:10.00% | SANB4.SA:10.00%,170,low_volatility,0.999999999795381,0.22921411606946857,0.06367037319283275
2019,2019-01-02,2020-01-02,0.17770550106775285,2555.96585529527,0.0012833006880766328,0.1764222003796762,1991712.370330031,2343094.6492270757,0.4784412647615943,BBAS3.SA:10.00% | BBDC4.SA:10.00% | BRSR6.SA:10.00% | IRBR3.SA:10.00% | ITSA3.SA:10.00% | ITSA4.SA:10.00% | ITUB3.SA:10.00% | ITUB4.SA:10.00% | PSSA3.SA:10.00% | SANB4.SA:10.00%,184,low_volatility,0.9999999997055042,0.1789777314715154,0.05915681006147966
2020,2020-01-02,2021-01-04,-0.18476646675333686,4791.561022660887,0.002044971177003667,-0.18681143793034052,2343094.6492270757,1905377.768598079,1.007664281745754,ABCB4.SA:10.00% | BBAS3.SA:10.00% | BBDC3.SA:10.00% | BBDC4.SA:10.00% | BBSE3.SA:10.00% | BPAC3.SA:10.00% | IRBR3.SA:10.00% | ITSA4.SA:10.00% | PSSA3.SA:10.00% | QUAL3.SA:10.00%,204,low_volatility,0.9999999997212536,-0.17755329958368748,0.027325854367195035
