decision_year,decision_date,holding_end_exclusive,gross_return,estimated_cost_brl,estimated_cost_rate,net_return,opening_wealth_brl,closing_wealth_brl,turnover,weights_at_decision,known_snapshot_count,factor,target_equity_weight,mvo_eligible_net_return,cdi_net_return
2015,2015-01-02,2016-01-04,-0.09066153802204013,843.1732524795999,0.0008431732524796,-0.09150471127451973,1000000.0,908495.2887254802,0.0,ABEV3.SA:8.33% | BBDC4.SA:8.33% | BBSE3.SA:8.33% | CMIG4.SA:8.33% | ITSA4.SA:8.33% | ITUB4.SA:8.33% | LREN3.SA:8.33% | PSSA3.SA:8.33% | RENT3.SA:8.33% | TOTS3.SA:8.33% | VLID3.SA:8.33% | WEGE3.SA:8.33%,137,triple_factor,1.0,-0.013353253367884298,0.1313058205754336
2016,2016-01-04,2017-01-02,0.487315428644681,334.42098524099106,0.00036810425919780743,0.4869473243854832,908495.2887254802,1350884.6387871697,0.6747349233810449,ABEV3.SA:8.33% | BBAS3.SA:8.33% | BBSE3.SA:8.33% | BRSR6.SA:8.33% | CMIG4.SA:8.33% | EQTL3.SA:8.33% | ITSA4.SA:8.33% | ITUB4.SA:8.33% | LREN3.SA:8.33% | RADL3.SA:8.33% | TOTS3.SA:8.33% | WEGE3.SA:8.33%,153,triple_factor,1.0,0.2803340676510033,0.13881531059776075
2017,2017-01-02,2018-01-02,0.23603843671712887,584.1362074441384,0.0004324101338279918,0.23560602658330088,1350884.6387871697,1669161.2009042324,0.8230703413886503,ABEV3.SA:8.33% | BBAS3.SA:8.33% | BBDC4.SA:8.33% | BBSE3.SA:8.33% | CMIG4.SA:8.33% | CSAN3.SA:8.33% | CVCB3.SA:8.33% | EGIE3.SA:8.33% | ITSA4.SA:8.33% | ITUB4.SA:8.33% | RADL3.SA:8.33% | SAPR4.SA:8.33%,155,triple_factor,1.0,0.3058362500002554,0.09485614678200971
2018,2018-01-02,2019-01-02,0.29585740980526376,962.617787027231,0.0005767075022506834,0.29528070230301307,1669161.2009042324,2162032.292564175,1.2515270566655137,ABEV3.SA:8.33% | BBDC3.SA:8.33% | BBSE3.SA:8.33% | BRAP4.SA:8.33% | BRSR6.SA:8.33% | CVCB3.SA:8.33% | EGIE3.SA:8.33% | ITSA3.SA:8.33% | ITUB3.SA:8.33% | MGLU3.SA:8.33% | SAPR4.SA:8.33% | VALE3.SA:8.33%,170,triple_factor,1.0,0.0678528530035147,0.06367037319283275
2019,2019-01-02,2020-01-02,0.3486308966157945,1175.434126942833,0.0005436709391369754,0.3480872256766575,2162032.292564175,2914608.115106182,1.0323536087718566,ABEV3.SA:8.33% | BBDC3.SA:8.33% | BBSE3.SA:8.33% | BRSR6.SA:8.33% | CMIG3.SA:8.33% | CSNA3.SA:8.33% | EGIE3.SA:8.33% | IRBR3.SA:8.33% | ITSA4.SA:8.33% | ITUB4.SA:8.33% | MGLU3.SA:8.33% | SLCE3.SA:8.33%,184,triple_factor,1.0,0.30267491880342456,0.05915681006147966
2020,2020-01-02,2021-01-04,-0.004644521272205937,1665.4039010726422,0.0005713989103512703,-0.005215920182557207,2914608.115106182,2899405.7518143547,1.2212456449301072,ABEV3.SA:8.33% | BBSE3.SA:8.33% | BRAP4.SA:8.33% | CMIG3.SA:8.33% | CSAN3.SA:8.33% | EQTL3.SA:8.33% | IRBR3.SA:8.33% | LIGT3.SA:8.33% | LREN3.SA:8.33% | MGLU3.SA:8.33% | POSI3.SA:8.33% | QUAL3.SA:8.33%,204,triple_factor,1.0,0.09345706243163007,0.027325854367195035
