name,factor,equity_cap,asset_cap,top_assets,split,years,candidate_cagr,candidate_total,mvo_cagr,cdi_cagr,excess_mvo_cagr,excess_cdi_cagr,worst_annual_return,negative_years,average_turnover,max_drawdown_annual,selection_score
value_quality_eq35,value_quality,0.35,0.1,10,train,6,0.08889686365345084,0.6669419705604629,0.08495873022597089,0.08511971475667113,0.003938133427479951,0.003777148896779714,-0.05096671971392248,1,0.5298856774516387,-0.050966719713922526,-0.03661735344819515
value_quality_eq35,value_quality,0.35,0.1,10,holdout,5,0.152489051345996,1.0332184473958708,0.14857724858891874,0.10347591307479975,0.003911802757077254,0.049013138271196244,0.03333357972743998,0,0.5459832610814781,0.0,-0.03661735344819515
value_quality_eq55,value_quality,0.55,0.1,10,train,6,0.09777979437252982,0.7502149840265069,0.10232522686021217,0.08511971475667113,-0.004545432487682355,0.012660079615858688,-0.08570692419189022,2,0.6730248347751192,-0.0857069241918903,-0.055534018077741235
value_quality_eq55,value_quality,0.55,0.1,10,holdout,5,0.14620084519504162,0.9783522526737845,0.14926723676311338,0.10347591307479975,-0.003066391568071758,0.042724932120241865,-0.006661156747219853,1,0.681252736360863,-0.0066611567472198985,-0.055534018077741235
value_quality_eq80,value_quality,0.8,0.1,10,train,6,0.12055701908201155,0.9797199609652463,0.11527462510156594,0.08511971475667113,0.00528239398044561,0.035437304325340424,-0.11483257915974336,2,0.8309601811691598,-0.11483257915974332,-0.041019713458582116
value_quality_eq80,value_quality,0.8,0.1,10,holdout,5,0.1360508546205994,0.8922950951910009,0.14207132916536547,0.10347591307479975,-0.0060204745447660635,0.03257494154579965,-0.049584216428477164,1,0.8476191818374004,-0.04958421642847721,-0.041019713458582116
value_quality_eq100,value_quality,1.0,0.1,10,train,6,0.12631416802365636,1.041537130636414,0.11966141455911172,0.08511971475667113,0.006652753464544636,0.04119445326698523,-0.1519121425602713,2,0.8978935447294726,-0.1519121425602713,-0.050216720401038716
value_quality_eq100,value_quality,1.0,0.1,10,holdout,5,0.12823520156741042,0.8280927620355603,0.13479753368802205,0.10347591307479975,-0.006562332120611636,0.024759288492610665,-0.08165447003839352,1,0.9786358831876679,-0.08165447003839355,-0.050216720401038716
triple_factor_eq35,triple_factor,0.35,0.1,10,train,6,0.13665962807821797,1.1566646005051648,0.1686705555445236,0.08511971475667113,-0.03201092746630563,0.05153991332154684,0.012155339228976856,0,0.4986968726669354,0.0,-0.005405857778105563
triple_factor_eq35,triple_factor,0.35,0.1,10,holdout,5,0.109702568306566,0.682801753394993,0.07982584484592858,0.10347591307479975,0.02987672346063741,0.006226655231766243,0.0032441713813352755,0,0.454973318327523,0.0,-0.005405857778105563
triple_factor_eq55,triple_factor,0.55,0.1,10,train,6,0.16261953601612844,1.4695947768901139,0.20697515068000483,0.08511971475667113,-0.044355614663876386,0.07749982125945731,-0.030370615048958688,1,0.6197767474959338,0.0,0.0021553692207842354
triple_factor_eq55,triple_factor,0.55,0.1,10,holdout,5,0.09853867550430695,0.5998407593910684,0.07323379019060838,0.10347591307479975,0.025304885313698566,-0.004937237570492803,-0.038599206295390626,2,0.6085328488372341,-0.03859920629539049,0.0021553692207842354
triple_factor_eq80,triple_factor,0.8,0.1,10,train,6,0.18931420624063588,1.8299557127884944,0.20260009612522545,0.08511971475667113,-0.013285889884589563,0.10419449148396476,-0.07325911044248047,1,0.731423347057957,0.0,0.05433743424647734
triple_factor_eq80,triple_factor,0.8,0.1,10,holdout,5,0.08614794341415144,0.5116279766224616,0.04789152429743182,0.10347591307479975,0.03825641911671962,-0.017327969660648312,-0.0918619561657533,2,0.7983342023925422,-0.09186195616575332,0.05433743424647734
triple_factor_eq100,triple_factor,1.0,0.1,10,train,6,0.2026902026405657,2.02637428977145,0.16888241897561107,0.08511971475667113,0.03380778366495463,0.11757048788389457,-0.11870201648619041,1,0.8165994671263624,0.0,0.11054829819253106
triple_factor_eq100,triple_factor,1.0,0.1,10,holdout,5,0.08335517816507543,0.4922937408536332,0.04016371968458454,0.10347591307479975,0.043191458480490885,-0.020120734909724325,-0.12771266385704855,2,1.009981273358211,-0.1277126638570485,0.11054829819253106
momentum_12m_eq35,momentum_12m,0.35,0.1,10,train,6,0.08501720354343756,0.6316227243349246,0.08495873022597089,0.08511971475667113,5.8473317466667396e-05,-0.00010251121323356926,-0.049950904130326275,1,0.5253672677270653,-0.049950904130326323,-0.043795217727734384
momentum_12m_eq35,momentum_12m,0.35,0.1,10,holdout,5,0.15144627232460284,1.0240367364054275,0.14857724858891874,0.10347591307479975,0.0028690237356840953,0.047970359249803085,0.03317126057349902,0,0.5464371599583275,0.0,-0.043795217727734384
momentum_12m_eq55,momentum_12m,0.55,0.1,10,train,6,0.10254045739961115,0.7962517673434573,0.10232522686021217,0.08511971475667113,0.00021523053939898062,0.017420742642940024,-0.08860761952794417,2,0.6926387724146094,-0.08860761952794416,-0.04800863227317192
momentum_12m_eq55,momentum_12m,0.55,0.1,10,holdout,5,0.15193252626620968,1.0283140850951416,0.14926723676311338,0.10347591307479975,0.002665289503096302,0.048456613191409925,-0.00708897083471864,1,0.7476775519060477,-0.0070889708347186,-0.04800863227317192
momentum_12m_eq80,momentum_12m,0.8,0.1,10,train,6,0.11525668422443025,0.9241946775977323,0.11527462510156594,0.08511971475667113,-1.794087713569148e-05,0.030136969467759123,-0.13704705109713236,2,0.8612860709670858,-0.13704705109713233,-0.06091174284172717
momentum_12m_eq80,momentum_12m,0.8,0.1,10,holdout,5,0.14458336954937656,0.964432711106499,0.14207132916536547,0.10347591307479975,0.002512040384011094,0.04110745647457681,-0.04918450328940775,1,0.8677080116807667,-0.04918450328940771,-0.06091174284172717
momentum_12m_eq100,momentum_12m,1.0,0.1,10,train,6,0.11955606390563078,0.9691331318440355,0.11966141455911172,0.08511971475667113,-0.00010535065348094008,0.034436349148959655,-0.17549466533780567,2,0.8888608210318862,-0.17549466533780567,-0.07153517542434758
momentum_12m_eq100,momentum_12m,1.0,0.1,10,holdout,5,0.13611341177145198,0.8928161529714864,0.13479753368802205,0.10347591307479975,0.0013158780834299222,0.03263749869665222,-0.0836203354402229,1,1.0190945919733203,-0.08362033544022296,-0.07153517542434758
low_volatility_eq35,low_volatility,0.35,0.1,10,train,6,0.09591499504077405,0.7324520197864748,0.08495873022597089,0.08511971475667113,0.010956264814803163,0.010795280284102926,-0.0034343882565540905,1,0.5711471164986391,-0.0034343882565541772,-0.008007846615819832
low_volatility_eq35,low_volatility,0.35,0.1,10,holdout,5,0.15096962888180854,1.0198509333987893,0.14857724858891874,0.10347591307479975,0.0023923802928897953,0.047493715807008785,0.042446018353044436,0,0.5479370560826328,0.0,-0.008007846615819832
low_volatility_eq55,low_volatility,0.55,0.1,10,train,6,0.09379841781602205,0.7124730478770549,0.10232522686021217,0.08511971475667113,-0.00852680904419012,0.008678703059350923,-0.08594675409935296,2,0.7938209295558497,-0.08594675409935293,-0.06962051639740521
low_volatility_eq55,low_volatility,0.55,0.1,10,holdout,5,0.15369816442553685,1.0439064221890564,0.14926723676311338,0.10347591307479975,0.004430927662423478,0.0502222513507371,0.009973293835497766,0,0.7129046301009012,0.0,-0.06962051639740521
low_volatility_eq80,low_volatility,0.8,0.1,10,train,6,0.10792639421607775,0.849547342521372,0.11527462510156594,0.08511971475667113,-0.007348230885488194,0.02280667945940662,-0.13716119076839164,2,0.9140990880147699,-0.13716119076839162,-0.07825292259575714
low_volatility_eq80,low_volatility,0.8,0.1,10,holdout,5,0.14719437758218845,0.9869413560055351,0.14207132916536547,0.10347591307479975,0.005123048416822984,0.0437184645073887,-0.027432382376324872,1,0.8922541681510179,-0.027432382376324838,-0.07825292259575714
low_volatility_eq100,low_volatility,1.0,0.1,10,train,6,0.11343153045761278,0.9053777685980791,0.11966141455911172,0.08511971475667113,-0.006229884101498939,0.028311815700941656,-0.18681143793034052,2,0.8616520012408319,-0.1868114379303405,-0.08638467173821805
low_volatility_eq100,low_volatility,1.0,0.1,10,holdout,5,0.14081308642292734,0.9322907368917497,0.13479753368802205,0.10347591307479975,0.006015552734905283,0.037337173348127584,-0.05416325656690849,1,0.9405219893846638,-0.05416325656690846,-0.08638467173821805
triple_diversified_8,triple_factor,1.0,0.125,8,train,6,0.19444897118615967,1.9040601291061758,0.22055969691056254,0.08511971475667113,-0.026110725724402872,0.10932925642948854,-0.13342259913206303,2,0.9279640209697005,-0.06618025012476736,0.013657242112932066
triple_diversified_8,triple_factor,1.0,0.125,8,holdout,5,0.079127240683601,0.46340076731301516,0.022358271125543228,0.10347591307479975,0.05676896955805777,-0.024348672391198756,-0.14131618023269396,3,0.9418578116448326,-0.141316180232694,0.013657242112932066
triple_diversified_10,triple_factor,1.0,0.1,10,train,6,0.2026902026405657,2.02637428977145,0.16888241897561107,0.08511971475667113,0.03380778366495463,0.11757048788389457,-0.11870201648619041,1,0.8165994671263624,0.0,0.11054829819253106
triple_diversified_10,triple_factor,1.0,0.1,10,holdout,5,0.08335517816507543,0.4922937408536332,0.04016371968458454,0.10347591307479975,0.043191458480490885,-0.020120734909724325,-0.12771266385704855,2,1.009981273358211,-0.1277126638570485,0.11054829819253106
triple_diversified_12,triple_factor,1.0,0.08333333333333333,12,train,6,0.19412969793167267,1.899405751814355,0.1657009524535471,0.08511971475667113,0.028428745478125572,0.10900998317500155,-0.09150471127451973,2,0.8338219291895288,-0.005215920182557121,0.09392206012975568
triple_diversified_12,triple_factor,1.0,0.08333333333333333,12,holdout,5,0.06793342791851731,0.38905967571606026,0.05364627082731466,0.10347591307479975,0.014287157091202651,-0.035542485156282444,-0.1156182132490247,2,1.0233676366756248,-0.11561821324902466,0.09392206012975568
