equity_positions,distinct_sectors,unclassified_sector_positions,largest_sector_positions,decision_year,decision_date,holding_end_exclusive,gross_return,estimated_cost_brl,estimated_cost_rate,net_return,opening_wealth_brl,closing_wealth_brl,turnover,weights_at_decision,known_snapshot_count,factor,target_equity_weight,mvo_eligible_net_return,mvo_turnover,mvo_equity_gain_rate,mvo_cash_weight,equity_gain_rate,cash_weight,cdi_net_return,eligible_universe_size,priced_universe_size,risk_profile,risk_state_at_decision,equity_weight_before_risk,estimated_volatility_before_risk,estimated_volatility_after_risk,trailing_drawdown_at_decision,recent_volatility_at_decision,benchmark_IBOVESPA,benchmark_BOVA11,realised_share_for_tax,tax_rate,net_return_after_tax,mvo_realised_share_for_tax,mvo_tax_rate,mvo_net_return_after_tax,cdi_net_return_after_tax
8,5,0,2,2013,2013-01-02,2014-01-02,0.05429551455537496,458.4021543021023,0.00045840215430210235,0.053837112401072855,1000000.0,1053837.1124010729,0.44999999999999996,AMBV3.SA:8.70% | BBDC3.SA:7.48% | BRAP4.SA:3.49% | CIEL3.SA:11.00% | CMIG4.SA:11.00% | EQTL3.SA:4.63% | ITSA4.SA:4.72% | VALE3.SA:3.97% | TITULO_CDI:45.00%,109,triple_factor,0.55,-0.06310991756749043,3.557354016454995e-12,-0.062184456932928844,3.557354016454995e-12,0.01831357984519255,0.44999999999999996,0.07995985491151636,37,109,,não aplicado,0.55,,,,,-0.17654676258992807,-0.18002282841339912,0.15151505288275527,0.0013702832823840336,0.05246682911868882,0.6254292704847803,3.113259597924209e-14,-0.06310991756752156,0.065966880302001
8,6,0,2,2014,2014-01-02,2015-01-02,0.13009741270986197,283.69010658084596,0.0005217136102431929,0.12957569909961877,1053837.1124010729,1190388.7929775654,0.30303010576551054,BBAS3.SA:9.88% | CIEL3.SA:11.00% | CMIG4.SA:11.00% | CSAN3.SA:3.58% | ESTC3.SA:7.51% | EZTC3.SA:4.35% | ITSA4.SA:3.51% | ITUB4.SA:4.18% | TITULO_CDI:45.00%,139,triple_factor,0.5499999999999999,0.12203514800342857,1.2508585409695605,0.12348271536389266,6.055657701248575e-11,0.08183532261284832,0.45000000000000007,0.10724908910447484,41,139,,não aplicado,0.5499999999999999,,,,,-0.006634750998192329,-0.011002463231076454,0.20904039774671815,0.0043315603975524666,0.1252441387020663,0.8213275038557832,0.015212962557807509,0.10682218544562107,0.08848049851119175
8,5,0,2,2015,2015-01-02,2016-01-04,-0.048545547276268475,263.13364592748263,0.00041531059206803827,-0.04896085786833651,1190388.7929775654,1132106.3364765302,0.4180807954934363,ABEV3.SA:2.61% | BBDC4.SA:5.82% | BBSE3.SA:6.71% | CIEL3.SA:11.00% | CMIG4.SA:11.00% | ITSA4.SA:6.24% | ITUB4.SA:7.18% | PSSA3.SA:4.44% | TITULO_CDI:45.00%,162,triple_factor,0.55,0.1880804182301645,1.6426550077115665,0.1896007393493746,1.6610829833765114e-10,-0.10763316653521365,0.44999999999999996,0.1313058205754336,39,162,,não aplicado,0.55,,,,,-0.10640666226912932,-0.1085484010921044,0.3406478436230389,0.0035224122649412893,-0.0524832701332778,0.7310282907218616,0.020790525663716454,0.16728989256644805,0.10832730197473273
8,3,0,3,2016,2016-01-04,2017-01-02,0.37888106645678166,460.7717258440385,0.0006873575465738492,0.3781937089102078,1132106.3364765302,1560261.8307493369,0.6812956872460778,BBAS3.SA:3.65% | BRSR6.SA:11.00% | CMIG4.SA:10.97% | ENBR3.SA:5.71% | EQTL3.SA:4.01% | ITUB4.SA:4.22% | LREN3.SA:4.44% | SMLE3.SA:11.00% | TITULO_CDI:45.00%,175,triple_factor,0.55,0.35523942141670917,1.4620565814437232,0.2824873795443933,0.5298686494500003,0.31641417668778926,0.44999999999999996,0.13881531059776075,33,175,,não aplicado,0.55,,,,,0.4291782349730666,0.41703172361765506,0.3721143295033499,0.02172918172097562,0.3564645271892322,0.9999999971301236,0.055245035974260684,0.2999943854424485,0.11452263124315262
8,5,0,3,2017,2017-01-02,2018-01-02,0.1924698184708109,444.48203272563427,0.0006052789507417429,0.19186453952006916,1560261.8307493369,1859620.7484367983,0.7442286590066998,BBDC4.SA:3.14% | CMIG4.SA:11.00% | CPLE6.SA:7.51% | CVCB3.SA:2.43% | ELET3.SA:7.64% | ITUB4.SA:3.19% | SAPR4.SA:9.10% | SMLE3.SA:11.00% | TITULO_CDI:45.00%,183,triple_factor,0.55,0.26818249687535395,1.999999994260247,0.26961957701813843,1.5555452581305435e-10,0.1480559537471261,0.44999999999999996,0.09869747716374411,39,183,,não aplicado,0.55,,,,,0.28214938998808514,0.28093004210729355,0.33600420928048047,0.010073681512285666,0.1817908580077835,0.8448553303540947,0.0341684305240085,0.23401406635134545,0.08142541866008889
8,7,0,2,2018,2018-01-02,2019-01-02,0.2980537968661017,757.0009679178846,0.0009208891103001447,0.29713290775580153,1859620.7484367983,2412175.2687428445,0.6720084185609609,BBSE3.SA:5.48% | BRAP4.SA:3.01% | BRSR6.SA:7.38% | CVCB3.SA:8.79% | ITSA3.SA:9.38% | ITUB3.SA:4.27% | MGLU3.SA:11.00% | SAPR4.SA:5.70% | TITULO_CDI:45.00%,169,triple_factor,0.55,0.5502964377612867,1.6897106607081893,0.5522257159030635,1.188221025314688e-10,0.269402128929327,0.44999999999999996,0.06367037319283275,44,169,,não aplicado,0.55,,,,,0.12833318355137302,0.12649800523329735,0.35725330564771374,0.01622800320575839,0.28090490455004313,0.5620857247217244,0.04655972876074615,0.5037367090005406,0.05252805788408702
8,6,0,2,2019,2019-01-02,2020-01-02,0.287881956583921,794.403357706915,0.0006296540214547803,0.28725230256246626,2412175.2687428445,3105078.1688734624,0.7145066112954275,BBSE3.SA:4.41% | BRSR6.SA:11.00% | CMIG3.SA:4.66% | CSNA3.SA:11.00% | IRBR3.SA:5.66% | ITUB4.SA:4.49% | MGLU3.SA:11.00% | TEND3.SA:2.78% | TITULO_CDI:45.00%,182,triple_factor,0.55,0.42806141354911614,1.1241714494434487,0.4296447904167966,3.877087055231941e-12,0.26126139205625476,0.44999999999999996,0.059156810061480325,48,182,,não aplicado,0.55,,,,,0.27416164901331697,0.265415260819831,0.39143797987776,0.01716369722931793,0.2700886053331483,0.7947831533328172,0.05122116620110374,0.3768402473480124,0.04880436830072127
8,5,0,3,2020,2020-01-02,2021-01-04,-0.0015391118580134755,1244.3032641188554,0.000811449070971789,-0.0023505609289852644,3105078.1688734624,3097779.4934482635,0.78287595975552,AZUL4.SA:11.00% | BBSE3.SA:10.73% | BPAN4.SA:2.88% | CMIG3.SA:6.25% | EQTL3.SA:6.56% | IRBR3.SA:2.83% | LIGT3.SA:3.74% | MRFG3.SA:11.00% | TITULO_CDI:45.00%,235,triple_factor,0.55,-0.17345683291170413,1.5895663066656345,-0.17161514457713067,7.396192562406299e-11,-0.013835746323251574,0.44999999999999996,0.027325854367195923,67,235,,não aplicado,0.55,,,,,0.006181845782766704,0.0035889676976212925,0.20315343855609388,0.0004371681254990888,-0.0027877290544843533,0.9361734097784348,3.311130589157824e-13,-0.17345683291203526,0.022543829852936636
8,5,0,2,2021,2021-01-04,2022-01-03,0.1234378716128377,957.8002453067877,0.00042990798011095934,0.12300796363272674,3097779.4934482635,3478831.0407205545,0.40630687711218777,BBSE3.SA:11.00% | BEEF3.SA:4.16% | CMIG3.SA:2.22% | CSMG3.SA:5.44% | EQTL3.SA:7.18% | MRFG3.SA:11.00% | TASA4.SA:11.00% | WEGE3.SA:2.99% | TITULO_CDI:45.00%,258,triple_factor,0.55,0.05877273588076238,1.8723468195568695,0.034151836380677314,0.5909730268365796,0.10372989629500773,0.44999999999999996,0.04379550070628846,72,258,,não aplicado,0.55,,,,,-0.11585890450243763,-0.1164869288519651,0.5078242865230411,0.00965291707487156,0.11335504655785518,0.9222890443848136,0.00890204304582395,0.04987069283493843,0.03613128808268798
8,5,0,3,2022,2022-01-03,2023-01-02,0.041924738695716224,1679.1837538951133,0.0008512241614616423,0.041073514534254583,3478831.0407205545,3621718.8580338066,1.0156485730460822,BRAP4.SA:5.06% | CSNA3.SA:1.60% | FHER3.SA:11.00% | GOAU4.SA:10.48% | PETR4.SA:2.31% | TASA4.SA:7.41% | UNIP6.SA:9.29% | USIM5.SA:7.84% | TITULO_CDI:45.00%,265,triple_factor,0.55,-0.031533269019610455,1.8445780887696273,-0.03035021041665642,3.504470799871206e-11,-0.013402381261528928,0.44999999999999996,0.12294915546054463,89,265,,não aplicado,0.55,,,,,0.058784472970112134,0.06024213574183901,0.31995741556574797,0.0030979064046378437,0.03797560812961674,0.9470707159071894,7.141154881536835e-13,-0.03153326902032457,0.10143305325494932
