date,decision_year,strategy,mvo,cdi,equity_sleeve,IBOVESPA,BOVA11
2015-01-05,2015,98.952658,98.822538,100.043455,98.415959,97.948961,98.011006
2015-01-06,2015,98.692067,98.905421,100.086929,97.982467,98.946652,98.561158
2015-01-07,2015,100.039195,100.528579,100.130422,100.070879,101.96034,101.883206
2015-01-08,2015,100.826204,99.715933,100.173933,101.280661,102.949786,102.644943
2015-01-09,2015,99.296611,98.348553,100.217464,98.856546,100.676121,100.571309
2015-01-12,2015,97.62901,100.430495,100.261013,96.215938,99.233179,99.090147
2015-01-13,2015,97.192301,98.98349,100.304582,95.50613,99.031168,98.688111
2015-01-14,2015,97.6747,97.689551,100.348169,96.238049,98.214875,98.349558
2015-01-15,2015,97.746625,98.040755,100.391775,96.326076,98.998186,99.449855
2015-01-16,2015,99.507054,100.035423,100.435401,99.062727,101.04098,100.719425
2015-01-19,2015,97.260639,98.637017,100.479045,95.514122,98.445745,97.98985
2015-01-20,2015,97.805078,98.623516,100.522708,96.343316,98.691046,98.434198
2015-01-21,2015,99.196827,99.26261,100.56639,98.501613,101.467678,101.163781
2015-01-22,2015,100.034514,99.247431,100.611948,99.789726,101.919113,101.819722
2015-01-23,2015,99.237697,99.421368,100.65749,98.513922,100.542134,100.08464
2015-01-26,2015,98.818417,99.718698,100.703052,97.830319,100.133987,99.851884
2015-01-27,2015,98.547008,99.31683,100.748636,97.378659,100.162846,100.16928
2015-01-28,2015,98.340967,99.645715,100.79424,97.029525,98.315881,98.03217
2015-01-29,2015,99.255931,100.22279,100.839864,98.438821,98.453991,98.137966
2015-01-30,2015,98.148493,100.211816,100.885509,96.675707,96.693602,96.50868
2015-02-02,2015,99.429529,100.737382,100.931175,98.659208,98.225181,97.90521
2015-02-03,2015,100.35836,102.325576,100.976898,100.090199,100.931728,100.804065
2015-02-04,2015,101.392684,100.706543,101.022641,101.686658,101.626402,101.079141
2015-02-05,2015,100.832135,100.638352,101.068406,100.781342,101.488292,101.311898
2015-02-06,2015,100.342218,100.880363,101.114191,99.98681,100.577177,100.08464
2015-02-09,2015,100.536522,102.25234,101.159996,100.265554,101.795432,101.39653
2015-02-10,2015,99.838843,102.119495,101.205823,99.145097,99.995877,99.788408
2015-02-11,2015,98.839493,101.517879,101.25167,97.55142,99.439314,99.344059
2015-02-12,2015,100.058647,103.008729,101.297538,99.437737,102.104634,101.840886
2015-02-13,2015,101.004235,102.866418,101.343427,100.894918,104.378298,104.506985
2015-02-18,2015,102.147387,105.012437,101.389337,102.661993,105.705805,105.607282
2015-02-19,2015,102.117037,106.076719,101.435267,102.588268,105.734664,105.374526
2015-02-20,2015,102.273129,106.170608,101.481218,102.806988,105.619228,105.459166
2015-02-23,2015,102.753505,106.54808,101.52719,103.534379,105.707866,105.374526
2015-02-24,2015,103.126369,106.14341,101.573183,104.093111,106.930244,106.665259
2015-02-25,2015,103.57447,106.902343,101.619197,104.76985,106.800379,106.559463
2015-02-26,2015,104.207856,107.491538,101.665231,105.737219,106.697312,106.453667
2015-02-27,2015,104.171906,105.966888,101.711287,105.654638,106.330392,105.818875
2015-03-02,2015,103.054252,105.444782,101.757363,103.875256,105.171916,104.930178
2015-03-03,2015,102.873849,105.873467,101.80346,103.566058,105.755277,105.43801
2015-03-04,2015,101.994181,105.106052,101.849578,102.159963,104.031992,103.82988
2015-03-05,2015,101.97361,104.836232,101.897552,102.100415,103.819673,103.575968
2015-03-06,2015,101.441475,104.324377,101.945549,101.238402,103.028117,102.729583
2015-03-09,2015,99.732095,104.005346,101.993568,98.529716,101.37904,101.036821
2015-03-10,2015,99.344924,102.665882,102.04161,97.895071,99.548565,99.344059
2015-03-11,2015,100.921757,103.781184,102.089675,100.341204,100.81217,100.550153
2015-03-12,2015,101.057356,103.8628,102.137762,100.526564,100.758575,100.402036
2015-03-13,2015,100.315878,102.860004,102.185872,99.336106,100.173153,99.894204
2015-03-16,2015,100.43714,102.304245,102.234005,99.49895,100.692612,100.25392
2015-03-17,2015,101.674048,102.325932,102.28216,101.411816,103.654766,103.512484
2015-03-18,2015,103.698329,103.837741,102.330338,104.559764,106.212896,106.009311
2015-03-19,2015,102.740885,105.079122,102.378539,103.030481,105.033806,104.845537
2015-03-20,2015,103.675315,104.871955,102.426762,104.468833,107.121949,106.474823
2015-03-23,2015,104.117537,103.536454,102.475044,105.135061,107.00033,106.70758
2015-03-24,2015,103.770439,103.84444,102.523349,104.563126,106.171669,105.882359
2015-03-25,2015,104.214616,105.58341,102.571676,105.232394,106.897263,106.411347
2015-03-26,2015,102.530673,105.08007,102.620026,102.563422,104.262863,103.91452
2015-03-27,2015,102.157655,105.759008,102.668399,101.950788,103.26311,102.962339
2015-03-30,2015,103.26325,107.420943,102.716759,103.657557,105.629535,105.416846
2015-03-31,2015,103.258012,107.868837,102.765142,103.621828,105.43783,104.739741
2015-04-01,2015,105.651857,107.327938,102.813547,107.349354,107.853727,107.49048
2015-04-02,2015,106.359457,110.333039,102.861976,108.431777,109.504865,108.97165
2015-04-06,2015,107.575428,111.06994,102.910427,110.311632,110.770531,110.241219
2015-04-07,2015,107.131165,111.062172,102.958901,109.587186,110.75404,110.45282
2015-04-08,2015,106.795684,111.76204,103.007397,109.033365,110.613869,110.49514
2015-04-09,2015,106.552023,111.260187,103.055917,108.623562,110.90658,110.600936
2015-04-10,2015,107.246806,111.337316,103.104459,109.685815,111.753793,111.405001
2015-04-13,2015,105.328886,111.578154,103.153025,106.649697,111.807388,111.320361
2015-04-14,2015,104.350728,114.268204,103.201613,105.087704,111.275561,111.151081
2015-04-15,2015,105.158912,113.314415,103.250224,106.327801,113.207042,112.67457
2015-04-16,2015,105.342433,113.153445,103.298858,106.588023,112.702012,112.209058
2015-04-17,2015,104.846633,112.224652,103.347515,105.782629,111.219904,110.981808
2015-04-20,2015,104.355997,112.61975,103.396195,104.985325,110.820003,110.53746
2015-04-22,2015,104.985374,112.459983,103.444897,105.944888,112.584515,112.209058
2015-04-23,2015,106.299142,112.77135,103.493623,107.977995,114.786032,114.346176
2015-04-24,2015,107.4045,113.566529,103.542372,109.684169,116.659796,116.33517
2015-04-27,2015,106.597659,113.107248,103.591179,108.390783,114.47683,114.176896
2015-04-28,2015,107.086557,111.708523,103.640046,109.129894,115.047823,114.684728
2015-04-29,2015,107.370762,113.921591,103.688937,109.547906,114.043948,113.584431
2015-04-30,2015,107.042301,117.213775,103.739637,109.003843,115.907404,115.573425
2015-05-04,2015,107.948699,118.323875,103.790363,110.396801,118.226418,118.133736
2015-05-05,2015,108.83638,118.55936,103.841186,111.760341,119.665237,119.382142
2015-05-06,2015,109.052803,119.65148,103.892034,112.070915,117.70902,117.287351
2015-05-07,2015,109.046451,120.496289,103.942907,112.032023,117.333856,117.054595
2015-05-08,2015,106.815792,122.491431,103.993804,108.504008,117.803842,117.435468
2015-05-11,2015,106.761641,123.491778,104.044727,108.39011,117.902787,117.477788
2015-05-12,2015,106.07566,121.345392,104.095675,107.285091,117.067942,116.758363
2015-05-13,2015,104.790088,121.546926,104.146647,105.239522,116.202177,115.890822
2015-05-14,2015,105.492647,122.655581,104.197645,106.312577,116.78966,116.525607
2015-05-15,2015,106.396153,125.330885,104.248667,107.70083,118.009977,117.625904
2015-05-18,2015,105.37059,125.440741,104.299714,106.063076,115.855871,115.298357
2015-05-19,2015,105.120639,123.706808,104.350787,105.641955,114.402622,114.11342
2015-05-20,2015,104.325617,124.062237,104.401884,104.365807,113.169937,112.865006
2015-05-21,2015,103.764959,125.398089,104.453007,103.457274,113.604881,113.309355
2015-05-22,2015,102.76681,124.182788,104.504154,101.862465,112.089792,111.997465
2015-05-25,2015,103.4145,126.22555,104.555327,102.849351,112.568024,112.145582
2015-05-26,2015,102.301131,123.89171,104.606525,101.073778,110.549967,110.53746
2015-05-27,2015,103.282339,123.447338,104.657747,102.583801,111.799142,111.405001
2015-05-28,2015,102.6036,122.73739,104.708995,101.489972,111.263193,110.854848
2015-05-29,2015,100.990109,120.663595,104.760268,98.92985,108.756596,108.654254
2015-06-01,2015,101.747505,121.910962,104.811566,100.088752,109.315221,108.88701
2015-06-02,2015,102.764427,122.547133,104.862889,101.65474,111.799142,111.341517
2015-06-03,2015,101.682152,122.899722,104.914237,99.927857,110.329403,110.114267
2015-06-05,2015,100.677719,123.642671,104.967484,98.321998,109.195663,108.696574
2015-06-08,2015,100.360033,123.457144,105.020758,97.793374,108.859664,108.442661
2015-06-09,2015,100.05239,123.030119,105.074059,97.280487,108.872032,108.654254
2015-06-10,2015,101.361197,122.548455,105.127388,99.303195,111.057058,110.770208
2015-06-11,2015,100.262082,122.756884,105.180743,97.548753,110.671586,110.198907
2015-06-12,2015,99.744945,123.709107,105.234125,96.707204,109.968668,109.458319
2015-06-15,2015,99.639654,124.775885,105.287535,96.511671,109.535785,109.246726
2015-06-16,2015,100.19918,125.348275,105.340971,97.358974,110.698384,110.4105
2015-06-17,2015,99.897641,125.286066,105.394435,96.855569,109.764594,109.267882
2015-06-18,2015,101.471997,126.062387,105.447926,99.294732,111.805327,111.320361
2015-06-19,2015,100.518751,125.752277,105.501444,97.769011,110.795267,110.49514
2015-06-22,2015,101.247298,128.20986,105.554989,98.881383,111.032322,110.664412
2015-06-23,2015,100.950407,128.775098,105.608561,98.38521,110.842678,110.579772
2015-06-24,2015,99.744887,128.239471,105.662161,96.46372,110.989034,110.558616
2015-06-25,2015,98.647236,128.420512,105.715788,94.71142,109.614116,109.310202
2015-06-26,2015,99.9335,129.964865,105.769442,96.69858,111.347708,110.833692
2015-06-29,2015,99.257101,126.356749,105.823123,95.607038,109.280178,108.992806
2015-06-30,2015,99.930054,130.221397,105.876831,96.632111,109.418288,108.88701
2015-07-01,2015,99.818436,131.745187,105.930567,96.426467,108.752474,108.421505
2015-07-02,2015,100.82277,134.263679,105.98433,97.971323,109.469822,109.01397
2015-07-03,2015,100.090415,135.679481,106.03812,96.791944,108.259812,107.680917
2015-07-06,2015,99.548827,135.12728,106.091938,95.911792,107.497114,107.173092
2015-07-07,2015,99.243828,138.361184,106.145782,95.402744,107.899077,107.342364
2015-07-08,2015,98.773935,134.755597,106.199655,94.635024,106.7406,106.263231
2015-07-10,2015,100.153648,133.505452,106.307481,96.737967,108.408229,107.913673
2015-07-13,2015,100.097707,134.325575,106.361435,96.619537,109.496619,108.97165
2015-07-14,2015,100.515755,134.931508,106.415417,97.244603,109.743981,109.394843
2015-07-15,2015,100.079797,136.349979,106.469426,96.530036,109.049307,108.675418
2015-07-16,2015,100.046391,136.10967,106.523462,96.446907,109.395613,109.01397
2015-07-17,2015,99.118269,134.402243,106.577526,94.960287,107.894954,107.40584
2015-07-20,2015,99.114821,134.2419,106.631617,94.924122,106.365435,106.030475
2015-07-21,2015,98.433893,137.203991,106.685736,93.825226,106.105706,105.649602
2015-07-22,2015,97.720748,137.300907,106.739882,92.675778,104.955475,104.443509
2015-07-23,2015,95.494763,133.223696,106.794056,89.153232,102.669443,102.073642
2015-07-24,2015,94.516218,133.731402,106.848257,87.587438,101.513028,101.100297
2015-07-27,2015,94.514704,132.052661,106.902486,87.554228,100.461741,100.190436
2015-07-28,2015,95.254735,131.59559,106.956742,88.68421,102.246867,101.946682
2015-07-29,2015,95.822031,133.069065,107.011026,89.543218,103.572312,103.13162
2015-07-30,2015,95.397888,133.051236,107.067165,88.845974,102.854964,102.475671
2015-07-31,2015,96.468607,136.141216,107.123333,90.493595,104.850346,104.464665
2015-08-03,2015,96.159394,134.135389,107.179531,89.976599,103.351748,103.025815
2015-08-04,2015,95.388534,134.322726,107.235759,88.735433,103.18684,102.814223
2015-08-05,2015,95.474508,134.580809,107.292016,88.838306,103.658889,103.216252
