calendar_year,anual,trimestral,mensal
2015,0.014833213191512096,-0.01042887187380237,-0.012568201438967308
2016,0.3354026333632698,0.31327269526727686,0.33983349702538
2017,0.1975486098839212,0.15970701513615704,0.2123614389985755
2018,0.36651161161911916,0.34611604679211205,0.310219108490688
2019,0.2959186952602817,0.18057898442305165,0.12537885384451397
2020,0.02317219740650911,0.12682836199337233,0.11500465361479639
2021,0.1491007365972008,0.1384354525415159,0.16285658642972844
2022,0.04479395608676717,-0.028547038990400675,-0.22075644480395584
2023,0.2068608309595048,0.23826900066162482,0.23035354524183482
2024,-0.03211821382429003,-0.025706929555905478,-0.02440910466158308
2025,0.3757933177543613,0.36851226662130854,0.37946536168002076
