,periods,periods_per_year,decisions_per_year,cagr_gross,cagr_net_of_cost,cagr_after_tax,average_turnover_per_review,annual_turnover,annual_execution_cost,annual_tax_drag,median_holding_days,fixed_income_rate_applied,average_realised_share,years_beating_cdi,years
anual,11.0,1.0,1.0,0.18579619758913735,0.18512156611375197,0.17093516196211445,0.6211512960355918,0.6211512960355918,0.0006696081277214231,0.015788978837967125,365.0,0.175,0.391559615010539,7.0,11.0
trimestral,44.0,4.0,4.0,0.1637305602593333,0.16250800022290868,0.1560321490577503,0.2900057262870168,1.1600229051480673,0.0010819501117293432,0.0060990588548581045,91.0,0.225,0.1663604105278775,8.0,11.0
mensal,132.0,12.0,12.0,0.13917224955070173,0.1374746580193975,0.13318696058016433,0.14798103682653435,1.7757724419184122,0.0015105937817641761,0.004036607782902243,30.0,0.225,0.08150895119384668,8.0,11.0
