calendar_year,anual,trimestral,mensal
2015,0.017610338312270546,-0.008629547103280344,-0.011385361451387244
2016,0.35278489277058633,0.3215907947449448,0.3484402386717187
2017,0.20894100483802136,0.16428100681440028,0.21870536869992674
2018,0.38793334288347037,0.36048439625323736,0.31669169241950557
2019,0.31704715456778976,0.18999742258035957,0.1280997494491325
2020,0.023844816390048873,0.1336674440224257,0.12304710460557633
2021,0.16271854837007504,0.14103915990093507,0.1651282554113882
2022,0.04814504997478086,-0.02474751512663831,-0.21839718504853056
2023,0.2192758756857467,0.24549417761784897,0.23601535405096952
2024,-0.030831784094738746,-0.023958732770916202,-0.02342601087852303
2025,0.44402711581774423,0.38360431349393975,0.38446864244819046
