factor,years,cagr,cagr_after_tax,annual_volatility,max_drawdown,worst_year,average_turnover,average_cost_rate,years_beating_cdi,excess_vs_cdi,years_beating_mvo,excess_vs_mvo,years_beating_ibovespa,excess_vs_ibovespa,years_beating_bova11,excess_vs_bova11
triple_factor,11,0.14831776242425398,0.13600969066065782,0.1536933044076445,-0.018561451766457848,-0.05701520867409,0.6620115018701523,0.0006530141992940999,7,0.05222204311516987,5,-0.025101706290767467,7,0.03062064364391981,7,0.03107658042445327
value_quality,11,0.1340881207550091,0.12211350816780886,0.13799890414442734,-0.015062925771449853,-0.0246833802866375,0.851778115975678,0.0016158213356164727,7,0.03799240144592497,7,0.04137421965337018,6,0.016391001974674912,6,0.016846938755208374
low_volatility,11,0.11892076476538826,0.1074275069144297,0.11541674275666089,-0.04773281647139649,-0.0477328164713966,0.9039521372844178,0.0015432618122276456,7,0.02282504545630415,7,0.026177678538582994,4,0.0012236459850540893,4,0.0016795827655875506
momentum_12m,11,0.1185598800814951,0.10689868963608373,0.12738644301126925,-0.033720564286495835,-0.033720564286496,0.8880834611687803,0.001629641413377491,7,0.02246416077241098,7,0.025762587861216213,5,0.0008627613011609192,4,0.0013186980816943805
mvo_risk_adjusted,11,0.11618711861071906,0.1043630874561996,0.11343089995949027,-0.023723076234203777,-0.0237230762342038,0.9376905381689884,0.0012011407001239092,7,0.02009139930163495,7,0.023378169211842215,4,-0.001510000169615111,4,-0.0010540633890816498
mvo_neutral,11,0.11587178833148748,0.10414132427228973,0.12660459576488564,-0.033706299676744655,-0.0337062996767447,0.90091403003334,0.0016016918575604729,7,0.019776069022403364,7,0.023042276765650183,5,-0.001825330448846696,4,-0.0013693936683132346
mvo_low_volatility,11,0.09352585783212541,0.08671823087010999,0.061479100354964365,-0.03472439057353305,-0.0347243905735331,0.648026762259467,0.0004959717889919636,6,-0.0025698614769587014,5,0.0005993775497095122,4,-0.02417126094820876,4,-0.0237153241676753
