date,wealth,gross_return,net_return,turnover,friction_cost
2016-07-11,108.45674714438944,0.08456747144389443,0.08456747144389443,0.0,0.0
2016-08-09,113.14992190587301,0.04327231716838709,0.04327231716838709,0.0,0.0
2016-09-08,114.1190417944712,0.008564918758003026,0.008564918758003026,0.0,0.0
2016-10-07,120.7316384712367,0.05794472660114702,0.05794472660114702,0.0,0.0
2016-11-09,114.18114073878913,-0.05425667882415253,-0.05425667882415253,0.0,0.0
2016-12-09,116.10620801264551,0.016859765644313685,0.016859765644313685,0.0,0.0
2017-01-10,122.0056077228504,0.0508103727714746,0.0508103727714746,0.0,0.0
2017-02-09,123.32097627067607,0.010781213850544313,0.010781213850544313,0.0,0.0
2017-03-14,121.11175928191042,-0.01791436506240962,-0.01791436506240962,0.0,0.0
2017-04-12,128.85342767354786,0.06392169049098895,0.06392169049098895,0.0,0.0
2017-05-16,116.34895843134319,-0.09704413353973729,-0.09704413353973729,0.0,0.0
2017-06-14,122.00748950904216,0.04863413608500866,0.04863413608500866,0.0,0.0
2017-07-13,126.06462053781458,0.033253130976617085,0.033253130976617085,0.0,0.0
2017-08-11,137.51905308518852,0.09086159541437766,0.09086159541437766,0.0,0.0
2017-09-11,142.50202292015592,0.03623475964367362,0.03623475964367362,0.0,0.0
2017-10-10,136.26954705406385,-0.043736051870534864,-0.043736051870534864,0.0,0.0
2017-11-08,137.8747106753732,0.01177932748739896,0.01177932748739896,0.0,0.0
2017-12-07,148.79471594437453,0.0792023803024513,0.0792023803024513,0.0,0.0
2018-01-08,154.04489941852827,0.03528474409075444,0.03528474409075444,0.0,0.0
2018-02-06,159.9235994806272,0.03816225064438483,0.03816225064438483,0.0,0.0
2018-03-09,156.76596225136913,-0.019744660822498372,-0.019744660822498372,0.0,0.0
2018-04-10,158.56871342278112,0.011499633884307858,0.011499633884307858,0.0,0.0
2018-05-10,137.2612483769596,-0.13437370201151122,-0.13437370201151122,0.0,0.0
2018-06-11,140.8742778645492,0.026322283458089846,0.026322283458089846,0.0,0.0
2018-07-11,148.9471406258822,0.0573054420133039,0.0573054420133039,0.0,0.0
2018-08-09,143.79857360606698,-0.034566403881140295,-0.034566403881140295,0.0,0.0
2018-09-10,161.99168250503394,0.12651800670016788,0.12651800670016788,0.0,0.0
2018-10-09,161.11853371219973,-0.00539008410389874,-0.00539008410389874,0.0,0.0
2018-11-09,162.6239626653621,0.009343611305769661,0.009343611305769661,0.0,0.0
2018-12-12,176.9932820232965,0.08835917611663868,0.08835917611663868,0.0,0.0
2019-01-16,184.44327355525851,0.042091945224121075,0.042091945224121075,0.0,0.0
2019-02-15,187.40332323441396,0.01604856399530674,0.01604856399530674,0.0,0.0
