Date,PETR4.SA,VALE3.SA,ITUB4.SA,BBDC4.SA,WEGE3.SA,RENT3.SA,ABEV3.SA,BBAS3.SA,TITULO_CDI
2015-07-01,3.1418259143829346,8.537898063659668,8.805562019348145,7.064244270324707,6.026010513305664,7.385891914367676,12.347880363464355,6.030430316925049,100.05075299999999
2015-07-02,3.19091796875,8.519041061401367,8.92330551147461,7.208652973175049,6.053852081298828,7.207296371459961,12.289786338806152,6.01282262802124,100.10153175867006
2015-07-03,3.0384769439697266,8.335176467895508,8.833721160888672,7.126338958740234,6.13428258895874,7.1321001052856445,12.36078929901123,5.954957008361816,100.15233628908354
2015-07-06,2.973884105682373,8.32103443145752,8.682700157165527,6.986654281616211,6.1280951499938965,7.174396991729736,12.405972480773926,6.000239849090576,100.20316660432032
2015-07-07,3.0410609245300293,8.453039169311523,8.715970039367676,6.924293518066406,6.186868667602539,7.054549217224121,12.464065551757812,5.892062187194824,100.254022717467
2015-07-08,2.960965633392334,8.090024948120117,8.616144180297852,6.81704044342041,6.115720748901367,7.071001052856445,12.32851505279541,5.8266496658325195,100.30490464161679
2015-07-10,3.0513954162597656,8.066452980041504,8.877236366271973,7.108879089355469,6.060039520263672,7.038100719451904,12.541520118713379,5.977598667144775,100.35581238986954
2015-07-13,3.046229124069214,8.721763610839844,8.959147453308105,7.233597755432129,6.081692695617676,6.9323530197143555,12.612524032592773,6.01282262802124,100.40674597533177
2015-07-14,3.09790301322937,8.401179313659668,8.965291976928711,7.278493404388428,6.109533786773682,7.056900501251221,12.683526039123535,6.020366191864014,100.45770541111662
2015-07-15,3.043644905090332,8.066452980041504,8.8104248046875,7.243574142456055,6.106438159942627,7.059248924255371,12.748072624206543,6.020366191864014,100.50869071034391
2015-07-16,3.09790301322937,8.316319465637207,8.835766792297363,7.208652973175049,6.12190580368042,7.141500473022461,12.735160827636719,5.824133396148682,100.55970188614015
2015-07-17,2.9480466842651367,8.226744651794434,8.782272338867188,7.188694477081299,6.072412014007568,7.0498528480529785,12.715800285339355,5.685761451721191,100.61073895163841
2015-07-20,2.7878544330596924,8.16074275970459,8.728775024414062,7.049013137817383,6.063131332397461,6.911203384399414,12.741618156433105,5.542360782623291,100.66180191997853
2015-07-21,2.7723522186279297,8.27388858795166,8.655560493469238,6.959220886230469,6.12190580368042,6.930003643035889,12.664159774780273,5.534814357757568,100.71289080430697
2015-07-22,2.6767537593841553,8.151313781738281,8.520408630371094,6.871917724609375,6.155935764312744,7.134448528289795,12.606070518493652,5.2681379318237305,100.76400561777687
2015-07-23,2.614744186401367,8.165457725524902,8.165618896484375,6.607517242431641,6.1188154220581055,6.601009368896484,12.386609077453613,5.185116291046143,100.81514637354805
2015-07-24,2.5914902687072754,7.915591239929199,8.129019737243652,6.6673784255981445,6.168306827545166,6.626858234405518,12.238149642944336,5.134798526763916,100.866313084787
2015-07-27,2.454552412033081,7.901447296142578,8.112123489379883,6.759668350219727,6.0785980224609375,6.596312046051025,12.057416915893555,5.290778160095215,100.91750576466691
2015-07-28,2.588906764984131,8.528471946716309,8.261358261108398,6.829511642456055,5.87752628326416,6.497612476348877,12.128419876098633,5.283230781555176,100.96872442636764
2015-07-29,2.7646007537841797,8.651045799255371,8.343013763427734,6.8868842124938965,5.682714939117432,6.532862663269043,12.012236595153809,5.5172014236450195,101.01996908307575
2015-07-30,2.692255973815918,8.226744651794434,8.238836288452148,6.709780693054199,5.676502704620361,6.474111080169678,12.192970275878906,5.421602249145508,101.07296516905645
2015-07-31,2.7103426456451416,8.424751281738281,8.469725608825684,6.85445499420166,5.813210964202881,6.556360244750977,12.567339897155762,5.547393321990967,101.12598905731377
2015-08-03,2.5914902687072754,8.292746543884277,8.428879737854004,6.562615394592285,5.831851482391357,6.398913383483887,12.651250839233398,5.595193386077881,101.17904076243313
2015-08-04,2.6250789165496826,8.533184051513672,8.226043701171875,6.502448558807373,5.921954154968262,6.50936222076416,12.735160827636719,5.396442413330078,101.23212029900752
2015-08-05,2.586322784423828,8.962202072143555,8.211952209472656,6.4749884605407715,5.800781726837158,6.50936222076416,12.877168655395508,5.459339618682861,101.2852276816376
2015-08-06,2.671586513519287,9.230925559997559,8.180964469909668,6.502448558807373,5.73864221572876,6.201516151428223,12.831986427307129,5.308389186859131,101.33836292493166
2015-08-07,2.5036427974700928,8.684046745300293,7.941516876220703,6.320225238800049,5.654754638671875,6.187417030334473,12.509246826171875,5.152407169342041,101.39152604350572
2015-08-10,2.581155300140381,9.122492790222168,8.045748710632324,6.402601718902588,5.747963905334473,6.302565097808838,12.612524032592773,5.288266181945801,101.44471705198342
2015-08-11,2.578571319580078,8.768909454345703,8.028844833374023,6.509939670562744,5.751071453094482,6.321364879608154,12.735160827636719,5.353675365447998,101.49793596499606
2015-08-12,2.5372314453125,8.919771194458008,7.7978386878967285,6.212892055511475,5.564651012420654,6.246167182922363,12.199421882629395,5.117186069488525,101.55118279718265
2015-08-13,2.454552412033081,8.712333679199219,7.616972923278809,6.065619945526123,5.546006202697754,6.037020683288574,12.044507026672363,4.893279552459717,101.60445756318988
2015-08-14,2.40287709236145,8.580330848693848,7.608408451080322,6.03317403793335,5.409298896789551,5.851375102996826,11.979960441589355,4.855543613433838,101.65776027767211
2015-08-17,2.3641204833984375,8.490755081176758,7.528532028198242,5.930829048156738,5.319196701049805,5.94537353515625,11.999326705932617,4.775035381317139,101.71109095529138
2015-08-18,2.322781562805176,8.212600708007812,7.654050827026367,6.050642013549805,5.4372639656066895,5.813776969909668,12.057416915893555,4.936046123504639,101.76444961071745
2015-08-19,2.258188247680664,7.939162254333496,7.497148036956787,5.868429660797119,5.4310479164123535,5.7573771476745605,11.695952415466309,4.631634712219238,101.81783625862772
2015-08-20,2.245269775390625,8.09473991394043,7.514268398284912,5.835976600646973,5.166952610015869,5.585832118988037,11.928321838378906,4.679432392120361,101.87125091370737
2015-08-21,2.1445038318634033,7.873159408569336,7.531386852264404,5.771077632904053,5.2384161949157715,5.581131458282471,11.657224655151367,4.669373035430908,101.92469359064921
2015-08-24,2.038569927215576,7.260281085968018,7.377333164215088,5.7461161613464355,5.132776260375977,5.5247321128845215,11.67013168334961,4.545416355133057,101.97816430415381
2015-08-25,2.0282349586486816,7.236706256866455,7.363065242767334,5.643773078918457,5.017816543579102,5.397834300994873,11.81859016418457,4.487109184265137,102.03166306892942
2015-08-26,2.1005799770355225,7.496002674102783,7.808116436004639,6.010705947875977,5.0271382331848145,5.489483833312988,12.173604011535645,4.707661151885986,102.085189899692
2015-08-27,2.3046951293945312,8.33989143371582,8.08482837677002,6.180441856384277,5.173165798187256,5.658679485321045,12.30269718170166,4.87497615814209,102.13874481116527
2015-08-28,2.3305325508117676,8.16074275970459,7.853754043579102,5.983245849609375,5.201128005981445,5.670429706573486,12.4188814163208,4.760896682739258,102.19232781808066
2015-08-31,2.374455690383911,8.448325157165527,7.5741777420043945,5.753602981567383,5.204239368438721,5.266237258911133,12.32205867767334,4.5200653076171875,102.2459389351773
2015-09-01,2.219431161880493,8.061738967895508,7.398631572723389,5.588859558105469,5.055099964141846,5.040642738342285,12.076780319213867,4.403449058532715,102.2995781772021
2015-09-02,2.278857707977295,8.537898063659668,7.572750568389893,5.691018581390381,5.241521835327148,4.960745334625244,12.35433292388916,4.411053657531738,102.35324555890966
2015-09-03,2.2633554935455322,8.83019733428955,7.861045837402344,5.833420753479004,5.241521835327148,5.120541572570801,12.670614242553711,4.5200653076171875,102.40694109506232
2015-09-04,2.1987619400024414,8.599186897277832,7.541345119476318,5.586093902587891,5.126561641693115,5.052392482757568,12.812620162963867,4.319793224334717,102.46066480043021
2015-09-08,2.2323508262634277,8.924487113952637,7.624130725860596,5.716004848480225,5.07374382019043,5.085292816162109,12.65770435333252,4.335000991821289,102.51441668979118
2015-09-09,2.167757511138916,8.985774040222168,7.7097601890563965,5.783459186553955,4.996068000793457,5.089992046356201,12.495091438293457,4.347678184509277,102.56819677793081
2015-09-10,2.0592403411865234,9.40064811706543,7.555619239807129,5.658544063568115,4.971212863922119,4.958393573760986,12.469077110290527,4.271623611450195,102.62200507964248
2015-09-11,1.9791444540023804,9.169637680053711,7.569899559020996,5.596086502075195,4.983640193939209,5.052392482757568,12.267439842224121,4.157545566558838,102.67584160972731
2015-09-14,1.9946463108062744,9.028203964233398,7.875319480895996,5.845913410186768,5.104813098907471,5.134640216827393,12.267439842224121,4.401340484619141,102.7297063829942
2015-09-15,1.9765604734420776,8.768909454345703,8.069421768188477,5.958335876464844,5.126561641693115,5.158141136169434,12.397526741027832,4.561108589172363,102.78359941425978
2015-09-16,2.103163480758667,8.97634506225586,8.203575134277344,6.1806793212890625,5.166952610015869,5.386086463928223,12.651202201843262,4.604914665222168,102.83752071834851
2015-09-17,2.0308189392089844,9.188495635986328,8.274931907653809,6.163193702697754,5.204239368438721,5.639880180358887,12.677220344543457,4.594608306884766,102.89147031009256
2015-09-18,1.96364164352417,9.386500358581543,7.949531078338623,5.828424453735352,5.107918739318848,5.259188652038574,12.664209365844727,4.336918830871582,102.94544820433194
2015-09-21,1.8861294984817505,9.395933151245117,7.77255916595459,5.648552417755127,5.048887252807617,5.379034519195557,12.573148727416992,4.197764873504639,102.9994544159144
2015-09-22,1.8008660078048706,9.17435073852539,7.846775531768799,5.671037673950195,5.129670143127441,5.733876705169678,12.61867904663086,4.195189476013184,103.05348895969556
