ticker,as_of_date,available_date,sector,is_financial,market_cap_brl,price_to_earnings,price_to_book,ev_to_ebit,free_cash_flow_yield,roe,roic,debt_to_ebitda,interest_coverage,operating_margin,revenue_growth_3y,average_daily_value_brl,source,decision_date,mapping_method,snapshot_vintage
AZEV4.SA,2024-09-30,2024-11-14,"Construção Civil, Mat. Constr. e Decoração",False,107096850.28,,0.3744147640523287,,-2.7991672884518373,-0.5409491046644153,-0.5657930035040558,,,-1.0783884791970861,,3175363.85,"CVM ITR 2024, ref 2024-09-30, receipt 2024-11-14; CVM DFP 2023 TTM bridge; market snapshot: B3 COTAHIST 2025-01-02; CVM FRE document 137928, received 2024-05-27",2025-01-02,official_b3_isin_cnpj,B3/CVM point-in-time full-universe gate
TASA4.SA,2024-09-30,2024-11-12,"Máquinas, Equipamentos, Veículos e Peças",False,666371587.2,8.475745503109858,0.5562390387272067,7.984918543779505,0.004494489347279301,0.0656271520331888,0.08797158920770494,,,0.096043947985921,,3042096.45,"CVM ITR 2024, ref 2024-09-30, receipt 2024-11-12; CVM DFP 2023 TTM bridge; market snapshot: B3 COTAHIST 2025-01-02; CVM FRE document 136801, received 2024-05-09",2025-01-02,official_b3_isin_cnpj,B3/CVM point-in-time full-universe gate
TRIS3.SA,2024-09-30,2024-11-07,"Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração",False,808053939.54,5.488415594346223,0.5509664038886903,7.56502108365316,0.3433471287299703,0.10038715079380231,0.08897827660180653,,,0.1480298497356315,,2915678.05,"CVM ITR 2024, ref 2024-09-30, receipt 2024-11-07; CVM DFP 2023 TTM bridge; market snapshot: B3 COTAHIST 2025-01-02; CVM FRE document 137607, received 2024-05-16",2025-01-02,official_b3_isin_cnpj,B3/CVM point-in-time full-universe gate
MATD3.SA,2024-09-30,2024-12-25,Serviços Médicos,False,1330507777.08,,0.8862129103781219,,0.26719047128021767,-0.20219124103051872,-0.13315162151389826,,,-0.13156508654772614,,2897351.45,"CVM ITR 2024, ref 2024-09-30, receipt 2024-12-25; CVM DFP 2023 TTM bridge; market snapshot: B3 COTAHIST 2025-01-02; CVM FRE document 137955, received 2024-05-27",2025-01-02,official_b3_isin_cnpj,B3/CVM point-in-time full-universe gate
WIZC3.SA,2024-09-30,2024-11-07,Seguradoras e Corretoras,True,885886342.28,2.8571633122835083,0.6984188498577361,,,0.2444448473964004,,,,,,2762499.1333333333,"CVM ITR 2024, ref 2024-09-30, receipt 2024-11-07; CVM DFP 2023 TTM bridge; market snapshot: B3 COTAHIST 2025-01-02; CVM FRE document 137096, received 2024-05-12",2025-01-02,official_b3_isin_cnpj,B3/CVM point-in-time full-universe gate
SHUL4.SA,2024-09-30,2024-11-07,Metalurgia e Siderurgia,False,1160547030.72,4.268725836864407,0.8287378136347374,6.072235205658984,0.3091361146970683,0.19414172877485308,0.1451663594629453,,,0.1512547279491951,,2681194.683333333,"CVM ITR 2024, ref 2024-09-30, receipt 2024-11-07; CVM DFP 2023 TTM bridge; market snapshot: B3 COTAHIST 2025-01-02; CVM FRE document 135472, received 2024-04-03",2025-01-02,official_b3_isin_cnpj,B3/CVM point-in-time full-universe gate
PGMN3.SA,2024-09-30,2024-11-04,Comércio (Atacado e Varejo),False,1820769950.07,11.150256286636374,0.6817529780643258,5.520576323918385,0.030678230381522127,0.061142359470374635,0.14232127674810063,,,0.04642606400688523,,2648779.183333333,"CVM ITR 2024, ref 2024-09-30, receipt 2024-11-04; CVM DFP 2023 TTM bridge; market snapshot: B3 COTAHIST 2025-01-02; CVM FRE document 137001, received 2024-05-10",2025-01-02,official_b3_isin_cnpj,B3/CVM point-in-time full-universe gate
CMIG3.SA,2024-09-30,2024-11-13,Energia Elétrica,False,14004651977.04,1.7489169654081729,0.49900092142123986,2.3472764274036604,0.2501799406185981,0.2853199616053699,0.27059213906874124,,,0.2701675975569483,,2641046.0,"CVM ITR 2024, ref 2024-09-30, receipt 2024-11-13; CVM DFP 2023 TTM bridge; market snapshot: B3 COTAHIST 2025-01-02; CVM FRE document 137237, received 2024-05-14",2025-01-02,official_b3_isin_cnpj,B3/CVM point-in-time full-universe gate
MTRE3.SA,2024-09-30,2024-11-07,"Construção Civil, Mat. Constr. e Decoração",False,296169496.0,4.919268777198286,0.2855509966389828,8.868340165188132,0.5119838540023042,0.05804744761306072,0.054605019101595154,,,0.07091978045023611,,2624256.6333333333,"CVM ITR 2024, ref 2024-09-30, receipt 2024-11-07; CVM DFP 2023 TTM bridge; market snapshot: B3 COTAHIST 2025-01-02; CVM FRE document 137635, received 2024-05-16",2025-01-02,official_b3_isin_cnpj,B3/CVM point-in-time full-universe gate
HBRE3.SA,2024-09-30,2024-11-07,"Construção Civil, Mat. Constr. e Decoração",False,320917730.90999997,1.383773067330703,0.11718600101222076,4.207588530568526,-0.7720452194942263,0.08468585187762938,0.09973353818085796,,,2.628828144773475,,2611531.85,"CVM ITR 2024, ref 2024-09-30, receipt 2024-11-07; CVM DFP 2023 TTM bridge; market snapshot: B3 COTAHIST 2025-01-02; CVM FRE document 137799, received 2024-05-22",2025-01-02,official_b3_isin_cnpj,B3/CVM point-in-time full-universe gate
BMGB4.SA,2024-09-30,2024-11-07,Bancos,True,781089350.23,1.9814192803019735,0.1748932904031736,,,0.0882666743691519,,,,,,2607549.8666666667,"CVM ITR 2024, ref 2024-09-30, receipt 2024-11-07; CVM DFP 2023 TTM bridge; market snapshot: B3 COTAHIST 2025-01-02; CVM FRE document 136646, received 2024-05-08",2025-01-02,official_b3_isin_cnpj,B3/CVM point-in-time full-universe gate
LOGN3.SA,2024-09-30,2024-11-07,Serviços Transporte e Logística,False,2176175536.08,,2.3261170405113623,12.685124675892311,0.24104259573880102,-0.03541911623233641,0.12156908498299973,,,0.10649851072047749,,2429280.25,"CVM ITR 2024, ref 2024-09-30, receipt 2024-11-07; CVM DFP 2023 TTM bridge; market snapshot: B3 COTAHIST 2025-01-02; CVM FRE document 137740, received 2024-05-21",2025-01-02,official_b3_isin_cnpj,B3/CVM point-in-time full-universe gate
DASA3.SA,2024-09-30,2024-11-13,Serviços Médicos,False,1407735708.28,,0.16307504543384657,8.90965427736742,0.10264994995158425,-0.09927863972658486,0.06585150597209541,,,0.07689204792217756,,2057202.6,"CVM ITR 2024, ref 2024-09-30, receipt 2024-11-13; CVM DFP 2023 TTM bridge; market snapshot: B3 COTAHIST 2025-01-02; CVM FRE document 136991, received 2024-05-10",2025-01-02,official_b3_isin_cnpj,B3/CVM point-in-time full-universe gate
ITSA3.SA,2024-09-30,2024-11-11,Emp. Adm. Part. - Intermediação Financeira,True,31482310895.409996,2.207890517947261,0.34713820440187004,,,0.1572261856193007,,,,,,2036189.2666666664,"CVM ITR 2024, ref 2024-09-30, receipt 2024-11-11; CVM DFP 2023 TTM bridge; market snapshot: B3 COTAHIST 2025-01-02; CVM FRE document 137667, received 2024-05-17",2025-01-02,official_b3_isin_cnpj,B3/CVM point-in-time full-universe gate
CSED3.SA,2024-09-30,2024-11-14,Educação,False,1137372762.24,7.063637371225577,0.7681930229058573,3.171659974452894,0.21085611328310896,0.10875317949292913,0.2565755167708031,,,0.18877088457458763,,2024533.7666666664,"CVM ITR 2024, ref 2024-09-30, receipt 2024-11-14; CVM DFP 2023 TTM bridge; market snapshot: B3 COTAHIST 2025-01-02; CVM FRE document 137707, received 2024-05-20",2025-01-02,official_b3_isin_cnpj,B3/CVM point-in-time full-universe gate
USIM3.SA,2024-09-30,2024-10-25,Metalurgia e Siderurgia,False,3639145129.44,3.3232320447974635,0.13668979330578013,7.796522502086559,0.151889243308375,0.04113158258682799,0.022519652344787405,,,0.023989412726927794,,2012055.85,"CVM ITR 2024, ref 2024-09-30, receipt 2024-10-25; CVM DFP 2023 TTM bridge; market snapshot: B3 COTAHIST 2025-01-02; CVM FRE document 137617, received 2024-05-16",2025-01-02,official_b3_isin_cnpj,B3/CVM point-in-time full-universe gate
MELK3.SA,2024-09-30,2024-11-11,"Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração",False,711629226.45,4.819279213140733,0.5314703457178663,12.110152875237493,0.10861133456472864,0.11028004857421533,0.05172242309531708,,,0.08548224209649763,,1960067.15,"CVM ITR 2024, ref 2024-09-30, receipt 2024-11-11; CVM DFP 2023 TTM bridge; market snapshot: B3 COTAHIST 2025-01-02; CVM FRE document 138479, received 2024-05-31",2025-01-02,official_b3_isin_cnpj,B3/CVM point-in-time full-universe gate
PFRM3.SA,2024-09-30,2024-10-30,Comércio (Atacado e Varejo),False,762686681.6800001,6.480361296264827,0.470577549893691,4.203048937219731,0.4482587780960397,0.07261594352230392,0.14220071644254392,,,0.03245459721916495,,1935661.316666667,"CVM ITR 2024, ref 2024-09-30, receipt 2024-10-30; CVM DFP 2023 TTM bridge; market snapshot: B3 COTAHIST 2025-01-02; CVM FRE document 137936, received 2024-05-27",2025-01-02,official_b3_isin_cnpj,B3/CVM point-in-time full-universe gate
ROMI3.SA,2024-09-30,2024-10-22,"Máquinas, Equipamentos, Veículos e Peças",False,768658662.75,6.195712361864537,0.639449033287745,11.262553494857865,0.09798757712628146,0.10320831503147919,0.06682439702386218,,,0.10134533262810352,,1865063.7833333327,"CVM ITR 2024, ref 2024-09-30, receipt 2024-10-22; CVM DFP 2023 TTM bridge; market snapshot: B3 COTAHIST 2025-01-02; CVM FRE document 135647, received 2024-04-11",2025-01-02,official_b3_isin_cnpj,B3/CVM point-in-time full-universe gate
DESK3.SA,2024-09-30,2024-11-06,Telecomunicações,False,1187045169.6,11.029148266250417,0.8805672577938735,6.792834894832102,-0.2602470469629213,0.07984000545975434,0.13802006460114205,,,0.32359136100228086,,1833100.0333333327,"CVM ITR 2024, ref 2024-09-30, receipt 2024-11-06; CVM DFP 2023 TTM bridge; market snapshot: B3 COTAHIST 2025-01-02; CVM FRE document 135989, received 2024-04-26",2025-01-02,official_b3_isin_cnpj,B3/CVM point-in-time full-universe gate
GGBR3.SA,2024-09-30,2024-11-05,Metalurgia e Siderurgia,False,11933661448.8,2.4540245888148084,0.21495920079309838,2.219668549667357,0.6388584955849096,0.08759455865799401,0.12313672364555127,,,0.11375746022451022,,1821069.25,"CVM ITR 2024, ref 2024-09-30, receipt 2024-11-05; CVM DFP 2023 TTM bridge; market snapshot: B3 COTAHIST 2025-01-02; CVM FRE document 138034, received 2024-05-28",2025-01-02,official_b3_isin_cnpj,B3/CVM point-in-time full-universe gate
ZAMP3.SA,2024-09-30,2024-11-22,Alimentos,False,578246438.7,,0.35207556212185515,25.465941322637928,-0.8489823147094118,-0.055669988851632955,0.025975261231823202,,,0.018841971573324817,,1818673.2833333327,"CVM ITR 2024, ref 2024-09-30, receipt 2024-11-22; CVM DFP 2023 TTM bridge; market snapshot: B3 COTAHIST 2025-01-02; CVM FRE document 136609, received 2024-05-07",2025-01-02,official_b3_isin_cnpj,B3/CVM point-in-time full-universe gate
TAEE4.SA,2024-09-30,2024-11-06,Emp. Adm. Part. - Energia Elétrica,False,4861753518.96,2.9152831175802523,0.6984796334390732,5.077391135041777,0.29555159355494715,0.23959238443325748,0.17103817541692504,,,0.6937821953991333,,1806702.5833333333,"CVM ITR 2024, ref 2024-09-30, receipt 2024-11-06; CVM DFP 2023 TTM bridge; market snapshot: B3 COTAHIST 2025-01-02; CVM FRE document 137638, received 2024-05-16",2025-01-02,official_b3_isin_cnpj,B3/CVM point-in-time full-universe gate
VITT3.SA,2024-09-30,2024-11-13,"Agricultura (Açúcar, Álcool e Cana)",False,827719996.3,11.791387043605852,1.3534390228069486,13.153311857228456,0.08211834956729075,0.11478200298249745,0.09794563851667684,,,0.09485757541701706,,1649957.9166666667,"CVM ITR 2024, ref 2024-09-30, receipt 2024-11-13; CVM DFP 2023 TTM bridge; market snapshot: B3 COTAHIST 2025-01-02; CVM FRE document 137671, received 2024-05-17",2025-01-02,official_b3_isin_cnpj,B3/CVM point-in-time full-universe gate
KLBN3.SA,2024-09-30,2024-11-07,Papel e Celulose,False,10991526984.0,5.86465623375972,0.9201312301558866,9.978159190040838,-0.026392056392371407,0.15689431630436892,0.09792686417807717,,,0.21641324514369223,,1582448.5166666666,"CVM ITR 2024, ref 2024-09-30, receipt 2024-11-07; CVM DFP 2023 TTM bridge; market snapshot: B3 COTAHIST 2025-01-02; CVM FRE document 137486, received 2024-05-15",2025-01-02,official_b3_isin_cnpj,B3/CVM point-in-time full-universe gate
HBOR3.SA,2024-09-30,2024-11-12,"Construção Civil, Mat. Constr. e Decoração",False,184714479.35999998,1.1013133599647034,0.07163696416493437,8.781432916591454,-0.9688141428871254,0.0650468493065682,0.053105960673860475,,,0.1816409317930535,,1411215.6,"CVM ITR 2024, ref 2024-09-30, receipt 2024-11-12; CVM DFP 2023 TTM bridge; market snapshot: B3 COTAHIST 2025-01-02; CVM FRE document 137787, received 2024-05-22",2025-01-02,official_b3_isin_cnpj,B3/CVM point-in-time full-universe gate
FIQE3.SA,2024-09-30,2024-11-06,Emp. Adm. Part. - Telecomunicações,False,1249071151.05,7.220147926854645,1.0693855116790965,5.075653347657979,0.12991894005684554,0.1481113022216096,0.21003820833408077,,,0.2599188151000282,,1378244.45,"CVM ITR 2024, ref 2024-09-30, receipt 2024-11-06; CVM DFP 2023 TTM bridge; market snapshot: B3 COTAHIST 2025-01-02; CVM FRE document 136653, received 2024-05-08",2025-01-02,official_b3_isin_cnpj,B3/CVM point-in-time full-universe gate
BRAP3.SA,2024-09-30,2024-11-13,Emp. Adm. Part. - Extração Mineral,False,2176100691.46,1.2068027537010695,0.2470551100928128,0.9255738708153348,0.5188721295991348,0.2047187159087387,0.21190784060755655,,,,,1360526.0833333333,"CVM ITR 2024, ref 2024-09-30, receipt 2024-11-13; CVM DFP 2023 TTM bridge; market snapshot: B3 COTAHIST 2025-01-02; CVM FRE document 137283, received 2024-05-14",2025-01-02,official_b3_isin_cnpj,B3/CVM point-in-time full-universe gate
SAPR3.SA,2024-09-30,2024-11-07,"Saneamento, Serv. Água e Gás",False,2644610109.75,1.7662550205436727,0.2504998763181717,3.144732827973244,0.3011941144229001,0.14182542917333937,0.1539788821631273,,,0.3489806440556775,,1331663.7,"CVM ITR 2024, ref 2024-09-30, receipt 2024-11-07; CVM DFP 2023 TTM bridge; market snapshot: B3 COTAHIST 2025-01-02; CVM FRE document 137663, received 2024-05-17",2025-01-02,official_b3_isin_cnpj,B3/CVM point-in-time full-universe gate
VTRU3.SA,2024-09-30,2024-11-12,Educação,False,860045263.48,12.419246848132158,0.36287849757643675,6.619082655910414,-0.5785997797214448,0.029219042186202568,0.10299411496526331,,,0.23042698543014253,,1303342.8666666667,"CVM ITR 2024, ref 2024-09-30, receipt 2024-11-12; CVM DFP 2023 TTM bridge; market snapshot: B3 COTAHIST 2025-01-02; CVM FRE document 136109, received 2024-05-02",2025-01-02,official_b3_isin_cnpj,B3/CVM point-in-time full-universe gate
PINE4.SA,2024-09-30,2024-11-13,Bancos,True,452159747.72,1.8339549043800625,0.38440263317991,,,0.20960309997908635,,,,,,1237313.316666667,"CVM ITR 2024, ref 2024-09-30, receipt 2024-11-13; CVM DFP 2023 TTM bridge; market snapshot: B3 COTAHIST 2025-01-02; CVM FRE document 136647, received 2024-05-08",2025-01-02,official_b3_isin_cnpj,B3/CVM point-in-time full-universe gate
BMEB4.SA,2024-09-30,2024-11-06,Bancos,True,1475941099.2,2.1919797949615125,0.7528364342488958,,,0.3434504441963227,,,,,,1160316.5833333333,"CVM ITR 2024, ref 2024-09-30, receipt 2024-11-06; CVM DFP 2023 TTM bridge; market snapshot: B3 COTAHIST 2025-01-02; CVM FRE document 136152, received 2024-05-02",2025-01-02,official_b3_isin_cnpj,B3/CVM point-in-time full-universe gate
IFCM3.SA,2024-09-30,2024-11-07,Comércio (Atacado e Varejo),False,38249002.08,,,,-3.506758155924156,,-2.5345158934238317,,,-1.5954310766969153,,1112166.9166666667,"CVM ITR 2024, ref 2024-09-30, receipt 2024-11-07; CVM DFP 2023 TTM bridge; market snapshot: B3 COTAHIST 2025-01-02; CVM FRE document 136778, received 2024-05-08",2025-01-02,official_b3_isin_cnpj,B3/CVM point-in-time full-universe gate
ENJU3.SA,2024-09-30,2024-11-12,Comércio (Atacado e Varejo),False,220867340.92000002,,0.6828400357392397,,-0.2774244473844322,-0.11351227686162484,-0.4393363290701694,,,-0.1900666416153498,,984175.6666666666,"CVM ITR 2024, ref 2024-09-30, receipt 2024-11-12; CVM DFP 2023 TTM bridge; market snapshot: B3 COTAHIST 2025-01-02; CVM FRE document 137295, received 2024-05-14",2025-01-02,official_b3_isin_cnpj,B3/CVM point-in-time full-universe gate
FRIO3.SA,2024-09-30,2024-11-13,"Máquinas, Equipamentos, Veículos e Peças",False,1899780607.53,77.86624344331503,4.414162751618907,18.804778969925415,0.06603183520390737,0.056689042085770115,0.12390244785467645,,,0.06490689959114623,,926956.5454545454,"CVM ITR 2024, ref 2024-09-30, receipt 2024-11-13; CVM DFP 2023 TTM bridge; market snapshot: B3 COTAHIST 2025-01-02; CVM FRE document 137910, received 2024-05-24",2025-01-02,official_b3_isin_cnpj,B3/CVM point-in-time full-universe gate
GOAU3.SA,2024-09-30,2024-11-05,Emp. Adm. Part. - Metalurgia e Siderurgia,False,3742389810.25,0.7653825062357247,0.06709680304036982,1.0837810896540534,2.2996735872966374,0.08766440635070531,0.12279872288169955,,,0.11353403010873692,,910239.15,"CVM ITR 2024, ref 2024-09-30, receipt 2024-11-05; CVM DFP 2023 TTM bridge; market snapshot: B3 COTAHIST 2025-01-02; CVM FRE document 138036, received 2024-05-28",2025-01-02,official_b3_isin_cnpj,B3/CVM point-in-time full-universe gate
TAEE3.SA,2024-09-30,2024-11-06,Emp. Adm. Part. - Energia Elétrica,False,6462411914.86,3.87509574082047,0.9284434284503367,5.664088550053294,0.22234716990043937,0.23959238443325748,0.17103817541692504,,,0.6937821953991333,,907963.0666666668,"CVM ITR 2024, ref 2024-09-30, receipt 2024-11-06; CVM DFP 2023 TTM bridge; market snapshot: B3 COTAHIST 2025-01-02; CVM FRE document 137638, received 2024-05-16",2025-01-02,official_b3_isin_cnpj,B3/CVM point-in-time full-universe gate
BIOM3.SA,2024-09-30,2024-11-13,Farmacêutico e Higiene,False,1331835550.5,,4.618527542931255,,-0.13185186409393718,-0.252111884813849,-0.2134544326291146,,,-0.615707555996713,,833811.2833333333,"CVM ITR 2024, ref 2024-09-30, receipt 2024-11-13; CVM DFP 2023 TTM bridge; market snapshot: B3 COTAHIST 2025-01-02; CVM FRE document 141370, received 2024-08-22",2025-01-02,official_b3_isin_cnpj,B3/CVM point-in-time full-universe gate
CSUD3.SA,2024-09-30,2024-11-06,Emp. Adm. Part. - Sem Setor Principal,False,634106000.0,4.032291090380714,1.3743503270580382,2.916740106399177,0.2504518172040637,0.34083608952157196,0.47174094743898937,,,0.22764067956831133,,796802.6,"CVM ITR 2024, ref 2024-09-30, receipt 2024-11-06; CVM DFP 2023 TTM bridge; market snapshot: B3 COTAHIST 2025-01-02; CVM FRE document 143852, received 2024-12-17",2025-01-02,official_b3_isin_cnpj,B3/CVM point-in-time full-universe gate
DEXP3.SA,2024-09-30,2024-11-11,Emp. Adm. Part. - Sem Setor Principal,False,750054705.0,4.175205015447132,0.7871648024465396,2.6914833955836834,0.10593627300824678,0.18853320963503403,0.2802548079369426,,,0.13272126091050077,,746867.0833333334,"CVM ITR 2024, ref 2024-09-30, receipt 2024-11-11; CVM DFP 2023 TTM bridge; market snapshot: B3 COTAHIST 2025-01-02; CVM FRE document 136564, received 2024-05-07",2025-01-02,official_b3_isin_cnpj,B3/CVM point-in-time full-universe gate
AGXY3.SA,2024-06-30,2024-08-14,Comércio (Atacado e Varejo),False,78579494.94,,0.10853041708101299,,1.426720801471214,-0.7156437837001679,-0.03190294582021601,,,-0.007607592069390946,,708941.9333333333,"CVM ITR 2024, ref 2024-06-30, receipt 2024-08-14; CVM DFP 2023 TTM bridge; market snapshot: B3 COTAHIST 2025-01-02; CVM FRE document 136597, received 2024-05-07",2025-01-02,official_b3_isin_cnpj,B3/CVM point-in-time full-universe gate
AZEV3.SA,2024-09-30,2024-11-14,"Construção Civil, Mat. Constr. e Decoração",False,56253314.18,,0.19666377956774975,,-5.329143791257421,-0.5409491046644153,-0.5657930035040558,,,-1.0783884791970861,,705928.3833333333,"CVM ITR 2024, ref 2024-09-30, receipt 2024-11-14; CVM DFP 2023 TTM bridge; market snapshot: B3 COTAHIST 2025-01-02; CVM FRE document 137928, received 2024-05-27",2025-01-02,official_b3_isin_cnpj,B3/CVM point-in-time full-universe gate
ALLD3.SA,2024-09-30,2024-11-07,Comércio (Atacado e Varejo),False,654350494.0,4.205580618416232,0.42862780514038556,4.021428608843292,2.082570445801482,0.10191881788293986,0.1256248454195399,,,0.03979848440982217,,695615.6166666667,"CVM ITR 2024, ref 2024-09-30, receipt 2024-11-07; CVM DFP 2023 TTM bridge; market snapshot: B3 COTAHIST 2025-01-02; CVM FRE document 135659, received 2024-04-11",2025-01-02,official_b3_isin_cnpj,B3/CVM point-in-time full-universe gate
