decision_date,ticker,observed_at,market_cap_brl,average_daily_value_brl,close_price_brl,lot_size,source
2012-01-01,PETR4.SA,2011-12-29T00:00:00,120387898231.91415,400266699.00125504,21.489999771118164,1,"CVM FRE document 7246, received 2011-05-06; Yahoo Finance historical OHLCV through 2011-12-29"
2012-01-01,VALE3.SA,2011-12-29T00:00:00,128477783299.58359,164769282.72182465,39.45000076293945,1,"CVM FRE document 8573, received 2011-05-26; Yahoo Finance historical OHLCV through 2011-12-29"
2012-01-01,ITUB4.SA,2011-12-29T00:00:00,31167948773.002167,249752646.674866,13.660268783569336,1,"CVM FRE document 7150, received 2011-05-04; Yahoo Finance historical OHLCV through 2011-12-29"
2012-01-01,BBDC4.SA,2011-12-29T00:00:00,20956169140.21792,161141903.33416077,10.958063125610352,1,"CVM FRE document 7190, received 2011-05-05; Yahoo Finance historical OHLCV through 2011-12-29"
2012-01-01,BBAS3.SA,2011-12-29T00:00:00,33899642668.231606,146036883.08974585,11.850000381469727,1,"CVM FRE document 9670, received 2011-06-10; Yahoo Finance historical OHLCV through 2011-12-29"
2012-01-01,WEGE3.SA,2011-12-29T00:00:00,1724939970.4741023,5285508.727188333,2.7781059741973877,1,"CVM FRE document 8497, received 2011-05-25; Yahoo Finance historical OHLCV through 2011-12-29"
2012-01-01,RENT3.SA,2011-12-29T00:00:00,1479903777.8949738,23335001.089972783,7.336862087249756,1,"CVM FRE document 7155, received 2011-05-04; Yahoo Finance historical OHLCV through 2011-12-29"
2013-01-01,PETR4.SA,2012-12-28T00:00:00,109351877786.17168,487424147.80676526,19.520000457763672,1,"CVM FRE document 15367, received 2012-03-26; Yahoo Finance historical OHLCV through 2012-12-28"
2013-01-01,VALE3.SA,2012-12-28T00:00:00,137694307123.46625,168808062.42053986,42.279998779296875,1,"CVM FRE document 18068, received 2012-05-21; Yahoo Finance historical OHLCV through 2012-12-28"
2013-01-01,BBDC4.SA,2012-12-28T00:00:00,23968405912.555824,207428221.88851178,12.533173561096191,1,"CVM FRE document 15163, received 2012-03-20; Yahoo Finance historical OHLCV through 2012-12-28"
2013-01-01,WEGE3.SA,2012-12-28T00:00:00,2479945583.9131894,25988903.89233176,3.994081974029541,1,"CVM FRE document 16705, received 2012-05-03; Yahoo Finance historical OHLCV through 2012-12-28"
2013-01-01,RENT3.SA,2012-12-28T00:00:00,2163203151.0658264,28085742.206260365,10.7244291305542,1,"CVM FRE document 16552, received 2012-04-27; Yahoo Finance historical OHLCV through 2012-12-28"
2014-01-01,PETR4.SA,2013-12-30T00:00:00,95682890391.63806,538585245.250775,17.079999923706055,1,"CVM FRE document 25233, received 2013-03-25; Yahoo Finance historical OHLCV through 2013-12-30"
2014-01-01,VALE3.SA,2013-12-30T00:00:00,116297628270.59969,167280015.5343183,35.709999084472656,1,"CVM FRE document 26232, received 2013-04-22; Yahoo Finance historical OHLCV through 2013-12-30"
2014-01-01,ITUB4.SA,2013-12-30T00:00:00,35582901696.56559,302393811.49873996,14.177501678466797,1,"CVM FRE document 26422, received 2013-04-30; Yahoo Finance historical OHLCV through 2013-12-30"
2014-01-01,BBDC4.SA,2013-12-30T00:00:00,23988102448.379585,222724172.2238837,11.403157234191895,1,"CVM FRE document 28034, received 2013-05-20; Yahoo Finance historical OHLCV through 2013-12-30"
2014-01-01,BBAS3.SA,2013-12-30T00:00:00,34958087097.46507,178426517.73210844,12.199999809265137,1,"CVM FRE document 28060, received 2013-05-20; Yahoo Finance historical OHLCV through 2013-12-30"
2014-01-01,WEGE3.SA,2013-12-30T00:00:00,2862041259.6706567,16788373.013997044,4.609467029571533,1,"CVM FRE document 27101, received 2013-05-10; Yahoo Finance historical OHLCV through 2013-12-30"
2015-01-01,PETR4.SA,2014-12-30T00:00:00,56188487667.733185,1218998359.978216,10.029999732971191,1,"CVM FRE document 36171, received 2014-04-09; Yahoo Finance historical OHLCV through 2014-12-30"
2015-01-01,VALE3.SA,2014-12-30T00:00:00,71354832903.68329,264485594.5283421,21.90999984741211,1,"CVM FRE document 36516, received 2014-04-29; Yahoo Finance historical OHLCV through 2014-12-30"
2015-01-01,ITUB4.SA,2014-12-30T00:00:00,46451945256.762085,551732131.5889889,16.8255615234375,1,"CVM FRE document 36669, received 2014-05-05; Yahoo Finance historical OHLCV through 2014-12-30"
2015-01-01,BBDC4.SA,2014-12-30T00:00:00,28911064530.279827,352463545.27324855,13.743371963500977,1,"CVM FRE document 38044, received 2014-05-20; Yahoo Finance historical OHLCV through 2014-12-30"
2015-01-01,BBAS3.SA,2014-12-30T00:00:00,34055481938.54191,447381814.00341225,11.885000228881836,1,"CVM FRE document 38213, received 2014-05-23; Yahoo Finance historical OHLCV through 2014-12-30"
2015-01-01,ABEV3.SA,2014-12-30T00:00:00,255278690988.88147,361779547.87841773,16.290000915527344,1,"CVM FRE document 38161, received 2014-05-23; Yahoo Finance historical OHLCV through 2014-12-30"
2015-01-01,RENT3.SA,2014-12-30T00:00:00,2263199199.1716385,62964342.43216694,10.685881614685059,1,"CVM FRE document 37137, received 2014-05-09; Yahoo Finance historical OHLCV through 2014-12-30"
2016-01-01,PETR4.SA,2015-12-30T00:00:00,37533685611.09514,397379220.710516,6.699999809265137,1,"CVM FRE document 46485, received 2015-05-06; Yahoo Finance historical OHLCV through 2015-12-30"
2016-01-01,VALE3.SA,2015-12-30T00:00:00,41919964018.97801,97812656.93119049,13.029999732971191,1,"CVM FRE document 46236, received 2015-04-30; Yahoo Finance historical OHLCV through 2015-12-30"
2016-01-01,ITUB4.SA,2015-12-30T00:00:00,42772440140.15867,476848490.61075443,14.084356307983398,1,"CVM FRE document 46825, received 2015-05-11; Yahoo Finance historical OHLCV through 2015-12-30"
2016-01-01,BBAS3.SA,2015-12-30T00:00:00,21118123109.479046,145888687.3236259,7.369999885559082,1,"CVM FRE document 47695, received 2015-05-22; Yahoo Finance historical OHLCV through 2015-12-30"
2016-01-01,ABEV3.SA,2015-12-30T00:00:00,280559441224.94446,228561902.11031914,17.850000381469727,1,"CVM FRE document 46704, received 2015-05-08; Yahoo Finance historical OHLCV through 2015-12-30"
2016-01-01,RENT3.SA,2015-12-30T00:00:00,1581881340.8308983,25543881.57043565,7.468983173370361,1,"CVM FRE document 46701, received 2015-05-08; Yahoo Finance historical OHLCV through 2015-12-30"
2017-01-01,PETR4.SA,2016-12-29T00:00:00,83302375616.45708,839100734.1335201,14.869999885559082,1,"CVM FRE document 55824, received 2016-05-09; Yahoo Finance historical OHLCV through 2016-12-29"
2017-01-01,VALE3.SA,2016-12-29T00:00:00,82617399145.16798,179544156.85146332,25.68000030517578,1,"CVM FRE document 56619, received 2016-05-16; Yahoo Finance historical OHLCV through 2016-12-29"
2017-01-01,ITUB4.SA,2016-12-29T00:00:00,58495579931.488174,467763079.79913545,19.917621612548828,1,"CVM FRE document 55766, received 2016-05-06; Yahoo Finance historical OHLCV through 2016-12-29"
2017-01-01,BBDC4.SA,2016-12-29T00:00:00,37879595943.56243,325546283.69468784,15.005598068237305,1,"CVM FRE document 56672, received 2016-05-18; Yahoo Finance historical OHLCV through 2016-12-29"
2017-01-01,BBAS3.SA,2016-12-29T00:00:00,40244782264.51397,235875265.3597927,14.045000076293945,1,"CVM FRE document 56835, received 2016-05-24; Yahoo Finance historical OHLCV through 2016-12-29"
2017-01-01,ABEV3.SA,2016-12-29T00:00:00,257768886875.80554,244634824.48267618,16.399999618530273,1,"CVM FRE document 55622, received 2016-05-05; Yahoo Finance historical OHLCV through 2016-12-29"
2017-01-01,WEGE3.SA,2016-12-29T00:00:00,9624026946.436918,32692190.020461082,5.961537837982178,1,"CVM FRE document 55832, received 2016-05-09; Yahoo Finance historical OHLCV through 2016-12-29"
