ticker,isin,issuer_name,asset_class,cnpj_cia,cvm_name,cvm_sector,match_method,confidence,mapping_status,source,universe_year,decision_date
DIRR3.SA,BRDIRRACNOR0,DIRECIONAL,equity,16.614.075/0001-00,DIRECIONAL ENGENHARIA SA,"Construção Civil, Mat. Constr. e Decoração",official_b3_isin_cnpj,1.0,accepted,B3 COTAHIST official annual file; last trading session 2012-01-02; 60-session average traded value,2012,2012-01-02
DTCY3.SA,BRDTCYACNOR5,DTCOM-DIRECT,equity,03.303.999/0001-36,DTCOM - DIRECT TO COMPANY S.A.,Telecomunicações,official_b3_isin_cnpj,1.0,accepted,B3 COTAHIST official annual file; last trading session 2012-01-02; 60-session average traded value,2012,2012-01-02
DTEX3.SA,BRDTEXACNOR3,DURATEX,equity,61.194.080/0001-58,DURATEX SA,"Construção Civil, Mat. Constr. e Decoração",exact_normalised_name,1.0,accepted,B3 COTAHIST official annual file; last trading session 2012-01-02; 60-session average traded value,2012,2012-01-02
EALT4.SA,BREALTACNPR1,ACO ALTONA,equity,82.643.537/0001-34,ELECTRO AÇO ALTONA S/A,Metalurgia e Siderurgia,official_b3_isin_cnpj,1.0,accepted,B3 COTAHIST official annual file; last trading session 2012-01-02; 60-session average traded value,2012,2012-01-02
EBTP3.SA,BREBTPACNOR3,EMBRATEL PAR,equity,02.558.124/0001-12,EMBRATEL PARTICIPAÇÕES SA,Telecomunicações,official_b3_isin_cnpj,1.0,accepted,B3 COTAHIST official annual file; last trading session 2012-01-02; 60-session average traded value,2012,2012-01-02
ECOR3.SA,BRECORACNOR8,ECORODOVIAS,equity,04.149.454/0001-80,ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.,Serviços Transporte e Logística,official_b3_isin_cnpj,1.0,accepted,B3 COTAHIST official annual file; last trading session 2012-01-02; 60-session average traded value,2012,2012-01-02
ELET3.SA,BRELETACNOR6,ELETROBRAS,equity,01.104.937/0001-70,ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR,Emp. Adm. Part. - Energia Elétrica,official_b3_issuer_unique_prefix,0.99,accepted,B3 COTAHIST official annual file; last trading session 2012-01-02; 60-session average traded value,2012,2012-01-02
ELET6.SA,BRELETACNPB7,ELETROBRAS,equity,01.104.937/0001-70,ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR,Emp. Adm. Part. - Energia Elétrica,official_b3_issuer_unique_prefix,0.99,accepted,B3 COTAHIST official annual file; last trading session 2012-01-02; 60-session average traded value,2012,2012-01-02
ELPL4.SA,BRELPLACNPR6,ELETROPAULO,equity,61.695.227/0001-93,ELETROPAULO METROP. ELET. SAO PAULO S.A.,Energia Elétrica,official_b3_isin_cnpj,1.0,accepted,B3 COTAHIST official annual file; last trading session 2012-01-02; 60-session average traded value,2012,2012-01-02
EMAE4.SA,BREMAEACNPR1,EMAE,equity,02.302.101/0001-42,EMAE - EMPRESA METROP.AGUAS ENERGIA S.A.,Energia Elétrica,official_b3_isin_cnpj,1.0,accepted,B3 COTAHIST official annual file; last trading session 2012-01-02; 60-session average traded value,2012,2012-01-02
EMBR3.SA,BREMBRACNOR4,EMBRAER,equity,07.689.002/0001-89,EMBRAER S.A.,"Máquinas, Equipamentos, Veículos e Peças",official_b3_issuer_unique_prefix,0.99,accepted,B3 COTAHIST official annual file; last trading session 2012-01-02; 60-session average traded value,2012,2012-01-02
ENBR3.SA,BRENBRACNOR2,ENERGIAS BR,equity,03.983.431/0001-03,EDP ENERGIAS DO BRASIL S/A,Energia Elétrica,official_b3_isin_cnpj,1.0,accepted,B3 COTAHIST official annual file; last trading session 2012-01-02; 60-session average traded value,2012,2012-01-02
ENGI11.SA,BRENGICDAM16,ENERGISA,equity,00.864.214/0001-06,ENERGISA SA,Emp. Adm. Part. - Energia Elétrica,official_b3_isin_cnpj,1.0,accepted,B3 COTAHIST official annual file; last trading session 2012-01-02; 60-session average traded value,2012,2012-01-02
ENGI3.SA,BRENGIACNOR0,ENERGISA,equity,00.864.214/0001-06,ENERGISA SA,Emp. Adm. Part. - Energia Elétrica,official_b3_isin_cnpj,1.0,accepted,B3 COTAHIST official annual file; last trading session 2012-01-02; 60-session average traded value,2012,2012-01-02
ENMA3B.SA,BRENMAACNOR5,CEMAR,equity,,,,no_deterministic_cnpj_match,0.0,review_required,B3 COTAHIST official annual file; last trading session 2012-01-02; 60-session average traded value,2012,2012-01-02
EQTL3.SA,BREQTLACNOR0,EQUATORIAL,equity,03.220.438/0001-73,EQUATORIAL S.A.,Energia Elétrica,official_b3_isin_cnpj,1.0,accepted,B3 COTAHIST official annual file; last trading session 2012-01-02; 60-session average traded value,2012,2012-01-02
ESTC3.SA,BRESTCACNOR5,ESTACIO PART,equity,08.807.432/0001-10,YDUQS PARTICIPACOES S.A.,Emp. Adm. Part. - Educação,unique_cotahist_prefix,0.97,accepted,B3 COTAHIST official annual file; last trading session 2012-01-02; 60-session average traded value,2012,2012-01-02
ESTR4.SA,BRESTRACNPR0,ESTRELA,equity,61.082.004/0001-50,MANUFATURA DE  BRINQUEDOS ESTRELA SA,Brinquedos e Lazer,official_b3_isin_cnpj,1.0,accepted,B3 COTAHIST official annual file; last trading session 2012-01-02; 60-session average traded value,2012,2012-01-02
ETER3.SA,BRETERACNOR3,ETERNIT,equity,61.092.037/0001-81,ETERNIT S.A.,"Construção Civil, Mat. Constr. e Decoração",official_b3_isin_cnpj,1.0,accepted,B3 COTAHIST official annual file; last trading session 2012-01-02; 60-session average traded value,2012,2012-01-02
EUCA4.SA,BREUCAACNPR8,EUCATEX,equity,56.643.018/0001-66,EUCATEX S.A. INDUSTRIA E COMERCIO,"Construção Civil, Mat. Constr. e Decoração",official_b3_isin_cnpj,1.0,accepted,B3 COTAHIST official annual file; last trading session 2012-01-02; 60-session average traded value,2012,2012-01-02
EVEN3.SA,BREVENACNOR8,EVEN,equity,43.470.988/0001-65,EVEN CONSTRUTORA E INCORPORADORA S/A,"Construção Civil, Mat. Constr. e Decoração",official_b3_isin_cnpj,1.0,accepted,B3 COTAHIST official annual file; last trading session 2012-01-02; 60-session average traded value,2012,2012-01-02
EZTC3.SA,BREZTCACNOR0,EZTEC,equity,08.312.229/0001-73,EZ TEC EMPREEND. E PARTICIPAÇÕES S/A,"Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração",official_b3_isin_cnpj,1.0,accepted,B3 COTAHIST official annual file; last trading session 2012-01-02; 60-session average traded value,2012,2012-01-02
