date,equity,cash,IBOVESPA_return,BOVA11_return,excess,trailing_12m,trailing_volatility,short_volatility,above_trend,drawdown,market_trailing_12m,periods_per_year
2013-01-11,-0.0169679278273156,0.0013269746466266774,-0.016409963360684676,-0.01663406577062776,-0.018294902473942276,,,,,0.0,,52
2013-01-18,0.025257732950371148,0.0013310852064514211,0.007463779215110211,0.008126068586167934,0.023926647743919727,,,,,0.0,,52
2013-01-25,-0.008095215105606735,0.0010641424167334712,-0.012686425369882626,-0.014476078056427366,-0.009159357522340206,,,,,-0.008095215105606735,,52
2013-02-01,-0.002698031378610688,0.0016003519724809845,-0.013388921062605474,-0.014187927148854751,-0.0042983833510916725,,,,,-0.010771405339845885,,52
2013-02-08,-0.01453090086523312,0.0013351758556670035,-0.030703716160907057,-0.031324115846733225,-0.015866076720900124,,,,,-0.025145787981906476,,52
2013-02-15,0.02509616048712826,0.0007994753748150618,-0.010171287858292022,-0.00891449070342043,0.0242966851123132,,,,,-0.0006806902255475089,,52
2013-02-22,0.004906245151379496,0.0013333224208054162,-0.020827930483392487,-0.02239860441853736,0.0035729227305740796,,,,,0.0,,52
2013-03-01,0.013979109878837326,0.001340354602604732,0.0032982363298457162,0.006314247696914466,0.012638755276232594,,,,,0.0,,52
2013-03-08,0.029345708371615764,0.0013414692955364682,0.027230857167123812,0.024560823811530463,0.028004239076079296,,,,,0.0,,52
2013-03-15,-0.013357339744245134,0.0013414704637086938,-0.026765700758566324,-0.02659667928185383,-0.014698810207953827,,,,,-0.013357339744245134,,52
2013-03-22,-0.04159015020293877,0.0013414692196223044,-0.028592034027798197,-0.024627048205512647,-0.042931619422561074,,,,,-0.054391956180909085,,52
2013-03-29,0.0282464462476808,0.0010737735705443896,0.02007494609403304,0.015481018918101164,0.02717267267713641,,,,,-0.027681889399798543,,52
2013-04-05,-0.006433217928038415,0.001345913237047025,-0.023087023875281387,-0.018511735862997925,-0.00777913116508544,,,0.1561450555942282,,-0.03393702370066831,,52
2013-04-12,0.020752859341244045,0.0013451757135960474,-0.0015985126255136928,-0.006471938119930187,0.019407683627647998,,,0.15473619741260583,,-0.013888454638744663,,52
2013-04-19,0.013373284695138876,0.001361511000461224,-0.01881266095844847,-0.018611575254459556,0.012011773694677652,,,0.14962983246992392,,-0.0007009042014651801,,52
2013-04-26,-0.016855110079381008,0.001387503006256452,0.005989357650273641,0.007016850110071582,-0.01824261308563746,,,0.15361229865108558,,-0.01754420046337546,,52
2013-05-03,-0.01663703577059039,0.00110866021448075,0.02278256808564394,0.019774079846582637,-0.01774569598507114,,,0.1583469220108524,,-0.0338893527432903,,52
2013-05-10,0.014199086505362946,0.0013871266200160548,-0.006848327702841384,-0.0044321687202185656,0.01281195988534689,,,0.15573581342176832,,-0.020171464089140057,,52
2013-05-17,0.0031159445058943636,0.0013841602062822922,0.0010161934672365813,0.0024114422038696848,0.0017317842996120714,,,0.14903619644421143,,-0.017118372745950072,,52
2013-05-24,0.02218484125949871,0.0013841681918149717,0.022514677575581343,0.02405624132452422,0.02080067306768374,,,0.1541428879949491,,0.0,,52
2013-05-31,-0.01940976888864765,0.0011256617364032717,-0.051412970633969324,-0.05222261133826933,-0.02053543062505092,,,0.15904195664618362,,-0.01940976888864765,,52
2013-06-07,-0.04834165680628344,0.0014765705507131521,-0.035267077897125354,-0.03603430610662384,-0.04981822735699659,,,0.1747986926381618,,-0.06681312530862671,,52
2013-06-14,-0.023694621416467387,0.0014765693728200358,-0.044305379816243384,-0.04351266623319594,-0.025171190789287423,,,0.17821343704757864,,-0.08892463501525527,,52
2013-06-21,-0.0181976467091457,0.0014765649903145661,-0.04613639384214452,-0.044871836616375615,-0.019674211699460264,,,0.16317389595057627,,-0.10550406263265366,,52
2013-06-28,0.0408139435396222,0.0014765767875279945,0.008521772919252601,0.006711432987689614,0.039337366752094205,,,0.17531018607998794,,-0.06899615594852149,,52
2013-07-05,-0.016491262829554487,0.0014765659811839527,-0.047348136767352944,-0.04537635163762532,-0.01796782881073844,,,0.17737966871124589,,-0.0843495850360999,,52
2013-07-12,0.013615771119954045,0.0015134013557138726,0.007144438631870864,0.006983579294637554,0.012102369764240173,,,0.17369119918357204,,-0.07188229856006056,,52
2013-07-19,0.012388269661629314,0.0015686286307006192,0.04100322655960964,0.041163310318018675,0.010819641030928695,,,0.17327431596608614,,-0.06038452619689094,,52
2013-07-26,0.021402538458597853,0.0015686363605293963,0.04265822933142127,0.041899464250857665,0.019833902098068457,,,0.17790348671244197,,-0.040274369882526195,,52
2013-08-02,-0.001152909455669926,0.001569351477040959,-0.01918173431652581,-0.021035270404947015,-0.002722260932710885,,,0.17473247397873734,,-0.04138084663633734,,52
2013-08-09,-0.007689548598825535,0.0015686390724023447,0.028902089816994492,0.030756248610550818,-0.00925818767122788,,,0.1725126384537522,,-0.04875219520389229,,52
2013-08-16,-0.0048351934867769675,0.001568625624825959,0.03336341126116471,0.03351725686510121,-0.006403819111602926,,,0.17229347015901758,,-0.05335166239395328,,52
2013-08-23,-0.00022653313822695864,0.001568637092681735,0.01276702550520259,0.011469278843734054,-0.0017951702309086937,,,0.16415158657037643,,-0.0535661096126685,,52
2013-08-30,-0.006451257325146953,0.0016052562696213801,-0.041937272381158075,-0.03225808538189345,-0.008056513594768333,,,0.16088891213098702,,-0.05967179818079704,,52
2013-09-06,-0.0032675419954315554,0.0016602069790563334,0.07480802629771688,0.06828284054057909,-0.004927748974487889,,,0.12765332452221315,,-0.06274436006972994,,52
2013-09-13,0.015221864502074078,0.0016601971847367558,0.0009116526662227287,-0.0009455253973705835,0.013561667317337323,,,0.11916581890446519,,-0.04847758171490668,,52
2013-09-20,0.005682698399846586,0.001659108836855383,0.005799472546702988,0.003217840487576895,0.004023589562991203,,,0.10953012686247185,,-0.04307036679109988,,52
2013-09-27,0.03967487825372218,0.0016616746209083821,-0.006856409372234862,-0.009056596209171874,0.0380132036328138,,,0.10794226544326867,,-0.005104300096157588,,52
2013-10-04,0.009232256737039535,0.0016620442299959404,-0.016561532251637368,-0.015613093902959507,0.007570212507043594,,,0.0972516381167445,,0.0,,52
2013-10-11,0.01074693866291665,0.0017167601812417832,0.005695471697885424,0.006576404145734349,0.009030178481674866,,,0.0965985311407829,,0.0,,52
2013-10-18,0.024763262156654697,0.0017739689912830148,0.041919103678620395,0.037471196389280204,0.022989293165371683,,,0.10258648178176755,,0.0,,52
2013-10-25,-0.016726264416940917,0.0017717794886717986,-0.02210264527493866,-0.02111508945578633,-0.018498043905612715,,,0.1090298332078255,,-0.016726264416940917,,52
2013-11-01,0.012060039278223744,0.0017696054533231642,-0.002603678121122499,-0.0011352398216294413,0.01029043382490058,,,0.10900224843575966,0.07588930184645926,-0.004867944544563518,,52
2013-11-08,-0.026153747339893174,0.0017623378866085115,-0.032658805553135495,-0.033907948203393934,-0.027916085226501686,,,0.12425025041527894,0.045686650518573346,-0.030894376892773523,,52
2013-11-15,0.01734023727468692,0.001409630601746148,0.02302435935153868,0.02450980215484444,0.015930606672940772,,,0.12487178814839547,0.06187877428691313,-0.014089855443860766,,52
2013-11-22,-0.012124303507811574,0.0017623406770574945,-0.012179146888772974,-0.011100517557367184,-0.013886644184869068,,,0.12973874942070104,0.047213847333076986,-0.02604332926788977,,52
2013-11-29,0.017752431824995307,0.0017979106691026203,-0.006041552149322338,-0.007547890416412351,0.015954521155892687,,,0.12920014346535275,0.06346461518463142,-0.008753229870218648,,52
2013-12-06,-0.034936543043705526,0.0018509063308522755,-0.029305286321187896,-0.027691065895755873,-0.0367874493745578,,,0.15359061090252457,0.024611220334313844,-0.043383965321791784,,52
2013-12-13,-0.01983200590853673,0.0018541629208570498,-0.017529053016281826,-0.022262354795569483,-0.02168616882939378,,,0.15919212311577075,0.003661778347907374,-0.062355580173730996,,52
2013-12-20,0.014400193880053758,0.0018541608294875278,0.022676865058138596,0.0237948803541419,0.01254603305056623,,,0.1609836770428515,0.017248688557765623,-0.04885331873768228,,52
2013-12-27,0.006908672899388124,0.0014807448391727096,0.001582471257562501,0.004608274961003467,0.0054279280602154145,,,0.14047888232444317,0.023564912657051407,-0.04228215743750241,,52
2014-01-03,0.010971952635856708,0.0007400882529557951,0.017454179261025216,0.0056691859097421915,0.010231864382900913,,0.1442888966986122,0.14100227369139856,0.03450806278437568,-0.03177412263039181,,52
2014-01-10,-0.017867636047045887,0.0018512728092960895,-0.02520546165202686,-0.01908239179660709,-0.019718908856341977,0.06773914301972694,0.1444089115553532,0.14349318020780666,0.01585575178148968,-0.0490740302185636,-0.17317819349371566,52
2014-01-17,-0.015841528227079293,0.0018899266782399504,-0.010342886691290798,-0.006208590490645927,-0.017731454905319244,0.024936939731708296,0.1433473284891781,0.13355252230389256,-0.0010030516706613923,-0.06413815081071905,-0.18779205850438097,52
2014-01-24,-0.018806737119442474,0.0019473720073024392,-0.028364033486899976,-0.030612272625481718,-0.020754109126744913,0.013868705401234305,0.144411253802936,0.1344110966108584,-0.019491633890932558,-0.08173865858853713,-0.20068915436480017,52
2014-01-31,0.003960112651189451,0.0019416083195842315,-0.0030970753528279937,-0.0019334106836476073,0.00201850433160522,0.020637451558629172,0.14441618781188603,0.13086282064658586,-0.015543366802787895,-0.07810224023331536,-0.19235113336235077,52
2014-02-07,-0.002599625303985831,0.001944487179237564,0.009131167109478255,0.011838124033510589,-0.004544112483223395,0.03299451754209537,0.14363317836992284,0.12317040246606537,-0.017510736690668938,-0.08049882897729266,-0.1591594262833308,52
2014-02-14,-0.005912644585865046,0.0019452150046905814,0.0026417690983095987,0.0006382276649730123,-0.007857859590555627,0.0017467898940746185,0.1416225172285818,0.11425273205862481,-0.02229180871612213,-0.08593551259783672,-0.1482749792771998,52
2014-02-21,-0.014682617122515729,0.0019452175475191957,-0.017032850529250965,-0.016581693905208694,-0.016627834670034924,-0.0177804844115953,0.1423151201733292,0.11498956725553067,-0.035696855422181595,-0.09935637149165133,-0.1449738592256632,52
2014-02-28,0.027466074279970165,0.0019689663685475978,-0.006036293371310619,-0.0038909716412928175,0.025497107911422567,-0.004715955259291915,0.14430584854036776,0.12485916718410434,-0.009230092415283275,-0.07461922669125909,-0.1529288885652137,52
2014-03-07,-0.00540832572711758,0.00119474443697265,-0.018049007476460877,-0.02278652463358355,-0.00660307016409023,-0.03831995763431917,0.14127903560869237,0.1070105888666536,-0.014162150396188622,-0.07962398733492482,-0.1902673943174974,52
2014-03-14,-0.00708482852449277,0.001992038691198239,-0.027636026149662207,-0.027315111535147985,-0.009076867215691009,-0.032206144499595135,0.14083838614995164,0.10112755128107322,-0.0204924528914735,-0.08614469356271326,-0.19099150653515462,52
2014-03-21,0.0604668274861444,0.00199632806468375,0.0537072477262841,0.05662099481932992,0.05847049942146065,0.07085009593799074,0.14726658855020958,0.15879811531572377,0.03853909576472914,-0.030886762401072243,-0.12245097539129701,52
2014-03-28,0.05412215335741455,0.00199633130010346,0.05037884610685084,0.049697550817729974,0.05212582205731109,0.09779791913936298,0.15416617661371435,0.19047647359506692,0.09260432578850275,0.0,-0.09638116748167658,52
2014-04-04,0.020646908527420793,0.0020099821487753466,0.02640250307466574,0.026554079514362172,0.018636926378645446,0.1277189138920649,0.15502846813248608,0.1926967841962247,0.11114573141345852,0.0,-0.05060465549204973,52
2014-04-11,0.021954800345827197,0.0020369093685332906,0.015367457214898295,0.012833356943801943,0.019917890977293906,0.12904680789877454,0.1551770364469196,0.18768540018641536,0.13023217865523473,0.0,-0.03447145358355963,52
2014-04-18,0.017786616578729042,0.0016291983110985342,0.004723609253398209,0.004949517877824716,0.016157418267630508,0.13396390838940397,0.15555284063946356,0.18022374075779526,0.1440023862324935,0.0,-0.011310799280878636,52
2014-04-25,-0.012178702143243014,0.0016291938230088565,-0.013682066864551423,-0.01497239314447063,-0.01380789596625187,0.13935769914685214,0.15502444120037,0.17579751924946113,0.12520900639399857,-0.012178702143243014,-0.030643931219765497,52
