date,static,volatility_target,mean_variance,linear_trailing_12m,linear_above_trend,linear_drawdown,linear_market_trailing_12m,linear_short_volatility,oracle_binary,oracle_continuous
2016-01-15,0.55,0.5463454102340055,-5.43136060963918,-0.007041012087342424,-0.10780060864211705,-0.2671472834860207,0.1874421355238272,0.55,0.0,0.0
2016-01-22,0.55,0.5394383333236671,-6.613913320069181,-0.0640512792277651,-0.1712876914357938,-0.3274563976544673,0.07383112520095869,0.55,0.0,0.0
2016-01-29,0.55,0.5419730720525859,-6.600885335628046,-0.06115874397434118,-0.1935161331239308,-0.34537773603789457,0.06298647932271817,0.55,0.95,0.95
2016-02-05,0.55,0.49694371582781954,-3.076922039987122,0.039756347652444624,0.011712323655266088,-0.1598317019345774,0.2833999211773381,0.55,0.95,0.95
2016-02-12,0.55,0.49612836318378484,-2.5242972397721735,0.055119884233229555,0.08254650648108258,-0.10233309229056042,0.20898824471136096,0.55,0.0,0.0
2016-02-19,0.55,0.5012121446160461,-2.489308583670795,0.019474971886424663,0.0832882169362148,-0.10566186482798623,0.09361172248168859,0.55,0.95,0.95
2016-02-26,0.55,0.4969751455924614,-1.6205814332123856,0.04847044780293719,0.17088530448357298,-0.036335431566481335,0.55,0.55,0.0,0.0
2016-03-04,0.55,0.5023711633512457,-1.728213491209869,0.01342626669641478,0.16785190404378642,-0.04495317999949833,0.55,0.55,0.95,0.95
2016-03-11,0.55,0.39544123858384705,0.17877726960027143,0.44924401935385916,0.55,0.55,0.55,0.55,0.95,0.95
2016-03-18,0.55,0.3880130331225772,0.7516655644615798,0.55,0.55,0.55,0.55,0.9813670703064358,0.95,0.41813292706389216
2016-03-25,0.55,0.3945607754256601,0.49618134418152,0.55,0.55,0.55,0.55,0.9317032095374047,0.95,0.95
2016-04-01,0.55,0.3946974068639078,0.3809119157586302,0.55,0.55,0.55,0.55,0.905306457971228,0.95,0.95
2016-04-08,0.55,0.39960235150284235,0.09341610414296805,0.55,0.665563574999994,0.55,0.55,0.881528024963055,0.0,0.0
2016-04-15,0.55,0.39822453580663325,0.48572121713212585,0.55,0.55,0.55,0.55,0.8282993247236958,0.95,0.95
2016-04-22,0.55,0.3953868392723231,0.1269129077190562,0.55,0.6858467917142526,0.55,0.55,1.0249373595757278,0.0,0.0
2016-04-29,0.55,0.3926969227716227,0.5583861031535488,0.55,0.55,0.55,0.55,0.7875075766417896,0.0,0.0
2016-05-06,0.55,0.3940023701545217,0.6340440954209305,0.55,0.55,0.55,0.55,0.75894771919052,0.0,0.0
2016-05-13,0.55,0.39744221957330556,0.3663692143620834,0.55,0.55,0.55,0.55,0.7654586832736837,0.95,0.95
2016-05-20,0.55,0.39275323895208214,0.10430895614983644,0.55,0.55,0.55,0.55,0.9652994448884814,0.0,0.0
2016-05-27,0.55,0.39677720363169056,0.7400325405923127,0.55,0.55,0.55,0.55,0.7700186263985621,0.0,0.0
2016-06-03,0.55,0.40049989299594735,0.5844361247558101,0.55,0.55,0.55,0.55,0.7670946691765339,0.95,0.95
2016-06-10,0.55,0.4036276805483396,0.9207334628962245,0.55,0.55,0.55,0.55,0.5716547562892004,0.0,0.0
2016-06-17,0.55,0.404295302903343,0.9288830413748602,0.55,0.55,0.55,0.55,0.5401234133392843,0.0,0.0
2016-06-24,0.55,0.4046701455082651,0.9819830470019303,0.55,0.55,0.55,0.55,0.5402863384919225,0.95,0.95
2016-07-01,0.55,0.40013434562248584,0.2350351245831157,0.55,0.55,0.55,0.55,0.56100132552899,0.95,0.95
2016-07-08,0.55,0.39082471422706977,0.3401129408709359,0.55,0.7262676070226464,0.55,0.55,0.5916847274770782,0.95,0.95
2016-07-15,0.55,0.39089285909386273,0.4011464518460612,0.55,0.7348213628223053,0.55,0.55,0.5785711326346044,0.95,0.95
2016-07-22,0.55,0.3887385762325867,0.38989755474944465,0.55,0.766661817332063,0.55,0.55,0.5699174609641899,0.95,0.95
2016-07-29,0.55,0.38867870799561105,0.41552322940777686,0.55,1.1050384685295866,0.6820102492867656,0.55,0.5723426488319748,0.0,0.0
2016-08-05,0.55,0.3891883686067464,0.4300266584478245,0.55,1.066401769812936,0.6804521177959342,0.55,0.5716893004002849,0.95,0.95
2016-08-12,0.55,0.3951432044555336,0.41029573753945897,0.6977494267495664,1.0564802277189624,0.679348945615682,0.55,0.5563111206472507,0.0,0.0
2016-08-19,0.55,0.39562877904521104,0.4287535086638485,0.7019801517813933,1.263403192726608,0.6780754390710212,0.55,0.5507272063657831,0.95,0.8916016148738248
2016-08-26,0.55,0.3973086753289782,0.5574814324283073,0.7205284301075672,1.2393270841863102,0.6768389055010884,0.55,0.5227117287089257,0.0,0.0
2016-09-02,0.55,0.39274564826505964,0.33448889513701224,0.55,1.0531220190567208,0.55,0.55,0.553015163577927,0.95,0.95
2016-09-09,0.55,0.39319610204276656,0.39977121336826815,0.55,1.17893449208236,0.6752242557725282,0.55,0.5655908067434081,0.0,0.0
2016-09-16,0.55,0.39056778766945577,0.30182156570121066,0.55,1.047890857951078,0.55,0.55,0.5843709302721178,0.0,0.0
2016-09-23,0.55,0.39062822257279667,0.2464961471792755,0.55,1.0115770055547975,0.55,0.55,0.5836180323483265,0.95,0.95
2016-09-30,0.55,0.3946398731552967,0.36438654599344505,0.55,1.059268771501094,0.6662337535464917,0.55,0.5752303452809474,0.0,0.0
2016-10-07,0.55,0.3966318474450203,0.22830865438132356,0.55,0.9496932915987979,0.55,0.55,0.5598050602523534,0.95,0.95
2016-10-14,0.55,0.3963174334689207,0.4006678898634922,0.55,1.0355603353920955,0.6714135419096436,0.55,0.5695078007427761,0.95,0.95
2016-10-21,0.55,0.3983304273277684,0.45946892913751053,0.7631739569394994,1.0837617627564238,0.6703753034102425,0.55,0.5649831199093257,0.95,0.95
2016-10-28,0.55,0.39858724923273003,0.5590854028446142,0.7638956330819104,1.0889126978799901,0.6693633095726014,0.55,0.5253235849572627,0.95,0.95
2016-11-04,0.55,0.40261041002247006,0.5429615742520462,0.8151888217112053,1.1278995650909835,0.6683764723348209,0.8596971741221839,0.5300045305954255,0.0,0.0
2016-11-11,0.55,0.3961843192514895,0.4668323724809148,0.55,0.9325216442904176,0.6158462506256253,0.55,0.5663332882632856,0.0,0.0
2016-11-18,0.55,0.3822785965818777,0.254871753198777,0.55,0.5921401238535764,0.55,0.55,0.6311314205240764,0.0,0.0
2016-11-25,0.55,0.38381634990165203,0.2159852483361214,0.55,0.5759771814142696,0.55,0.55,0.6301944044209541,0.95,0.95
2016-12-02,0.55,0.38729627905771535,0.236569173187491,0.55,0.5771947870688623,0.55,0.55,0.6149605873795788,0.0,0.0
2016-12-09,0.55,0.3848269394701836,0.1727756982903343,0.55,0.5395457122794395,0.55,0.55,0.59745379839805,0.95,0.95
2016-12-16,0.55,0.3851173193974919,0.13676390191133433,0.55,0.5463755608686557,0.55,0.55,0.5959927155254683,0.0,0.0
2016-12-23,0.55,0.3844122585428683,-0.02607032526703522,0.55,0.5076043172947989,0.55,0.55,0.6103782569768121,0.95,0.95
2016-12-30,0.55,0.3850121083810878,-0.030662478681381635,0.55,0.55,0.55,0.55,0.6030732337616007,0.95,0.95
2017-01-06,0.55,0.38570364160343273,-0.0552246602171806,0.55,0.55,0.55,0.55,0.6066626746540931,0.95,0.95
2017-01-13,0.55,0.4001745144962959,-0.17937233094571112,0.55,0.55,0.55,0.55,0.5871635372395642,0.95,0.95
2017-01-20,0.55,0.40180107364705214,-0.04803590378719753,0.55,0.55,0.55,0.55,0.6225400802448445,0.95,0.95
2017-01-27,0.55,0.40592290315203006,-0.025436902795035018,0.55,0.55,0.55,0.55,0.6256355305567554,0.95,0.95
2017-02-03,0.55,0.4207341848819984,0.01647702447173143,0.55,0.6076340552130045,0.55,0.55,0.7755799161907379,0.95,0.95
2017-02-10,0.55,0.42104224252437833,0.026964444116882254,0.8236538709470191,0.6133644764910482,0.55,0.55,0.710510707612539,0.95,0.95
2017-02-17,0.55,0.42237531336648754,0.11721615332675617,0.8331904685097231,0.6154491350752682,0.55,0.8797767039423594,0.46041503748387624,0.95,0.95
2017-02-24,0.55,0.4109174354102183,0.14786656976097143,0.8676629261197144,0.6804305726389667,0.6715244470600618,0.8524825840362391,0.572653975981114,0.0,0.0
2017-03-03,0.55,0.41200895370644497,0.19825845529436775,0.8673754197504304,0.6707345286651816,0.6700036048214959,0.8291870337037883,0.5750193272586133,0.95,0.95
2017-03-10,0.55,0.4967112833507228,0.2221972378955916,0.742430954925141,0.6723001786511157,0.6697148962513569,0.7018976611025856,0.5393729505599325,0.0,0.0
2017-03-17,0.55,0.4969345082365712,0.11071294742619305,0.6739660875981384,0.6252527481447879,0.55,0.6718878903458098,0.6331994339879289,0.95,0.95
2017-03-24,0.55,0.496965842856476,0.1848825230605111,0.6838913383957814,0.6370943680424814,0.55,0.6515994507399783,0.5063082822876501,0.0,0.0
2017-03-31,0.55,0.48290390313987447,0.041427189086628874,0.6404948266793534,0.55,0.55,0.6619767878927602,0.6762643379515906,0.95,0.95
2017-04-07,0.55,0.48541226121332165,0.029090810101332437,0.6336194792880089,0.55,0.55,0.6608994658415592,0.6745688582462142,0.0,0.0
2017-04-14,0.55,0.4901751317563216,-0.009012167289150705,0.6440853097767638,0.55,0.55,0.659727101962159,0.6925274561553787,0.0,0.0
2017-04-21,0.55,0.49051056074617155,-0.09807331532734634,0.5950375412190003,0.55,0.55,0.6078368055369606,0.6630632565694912,0.95,0.95
2017-04-28,0.55,0.4964448800754198,0.013312602628098778,0.6335683896284929,0.55,0.55,0.6198442528321039,0.6716497701428368,0.0,0.0
2017-05-05,0.55,0.49769783533771933,0.16698832131534314,0.6333212728161901,0.55,0.55,0.6235111592030973,0.6550468990488417,0.0,0.0
2017-05-12,0.55,0.5015885212906543,0.17752619416244267,0.6425493602549232,0.55,0.55,0.6515544170370371,0.6527309331624114,0.95,0.95
2017-05-19,0.55,0.5065310707992334,0.20393337316566887,0.6311578084348689,0.55,0.55,0.6738941804830882,0.6684213100502546,0.0,0.0
2017-05-26,0.55,0.46786478440650886,0.06428791436559993,0.55,0.55,0.55,0.55,0.6102588910742812,0.95,0.95
2017-06-02,0.55,0.46912447571603944,0.0680567084904805,0.55,0.55,0.55,0.55,0.7529419991198267,0.0,0.0
2017-06-09,0.55,0.46758263831478225,0.10717080329811722,0.55,0.55,0.55,0.55,0.6131120784157621,0.95,0.95
2017-06-16,0.55,0.4676749244450119,0.11395823167154055,0.55,0.55,0.55,0.55,0.7312438664507382,0.0,0.0
2017-06-23,0.55,0.467554507520545,0.0680890883004035,0.55,0.55,0.55,0.55,0.7027051055353251,0.0,0.0
2017-06-30,0.55,0.4713987700358462,0.026706396476668375,0.55,0.55,0.55,0.55,0.5810448644794011,0.95,0.95
2017-07-07,0.55,0.48586979567777683,-0.052422637839910614,0.55,0.55,0.55,0.55,0.5765329547344153,0.95,0.95
2017-07-14,0.55,0.48440986753489684,-0.046867297444019025,0.55,0.55,0.55,0.55,0.588172361703177,0.95,0.95
2017-07-21,0.55,0.48488784331541507,-0.03195348056456366,0.55,0.55,0.55,0.55,0.6714353606254719,0.95,0.017999787566125983
2017-07-28,0.55,0.5025737530042645,-0.04927522324036532,0.55,0.55,0.55,0.55,0.6405799256283367,0.0,0.0
