date,Benevente Quant AI,MVO clássico,CDI,Ibovespa
2024-01-09,101.71425262506564,101.5422937028342,100.91535723926846,98.48142750345475
2024-02-07,97.51918498874335,97.35152242682763,101.80826001435705,95.95550756265717
2024-03-11,99.03556337884582,99.59567098117871,102.68518875885425,98.0842275366806
2024-04-10,98.57105023239092,99.20214670214172,103.55392566091979,96.79899114228974
2024-05-10,97.03977852853286,97.65780344088726,104.41126574732536,91.18986309438408
2024-06-11,99.09591259119334,99.72703268603898,105.27570389417684,95.98344748427435
2024-07-10,100.35386988787242,100.96313853168436,106.14729886749127,96.29003148904683
2024-08-08,107.31679797880318,107.99342162393815,107.02610991981929,103.07716704297468
2024-09-06,105.45207030793405,106.11693702156234,107.92382142173767,99.52049053440771
2024-10-07,105.15575234765232,105.8013702515595,108.83785515843621,98.5561856721062
2024-11-05,106.21476885615749,106.65160863243175,109.79692949326478,96.54979724678506
2024-12-06,106.80425393213422,106.1409281663308,110.83536942140921,90.45058787105351
2025-01-10,107.4091727239698,106.69284579404828,111.9271329687318,94.10392140575568
2025-02-10,106.3463527821984,105.63699778785525,113.08540243689191,93.5337959781616
2025-03-13,105.0594380666778,104.34122241879783,114.31951707024186,95.41483232271372
2025-04-11,106.41675579578144,108.09272834614575,115.5973031113098,104.52777756801866
2025-05-15,107.53608968476203,105.40074911861709,116.92180704946699,104.05732969862648
2025-06-13,107.08884938344609,102.96381819089922,118.2788691615152,102.16874202390755
2025-07-15,107.65049885660497,103.86805859631744,119.65581987775964,104.14341486252808
2025-08-13,109.2392062391059,105.39756346775432,121.04880045029543,107.4924297915078
2025-09-11,110.16892214735834,106.49265466325171,122.45799749167861,107.00838952781527
2025-10-10,113.96391747124741,110.20674481789263,123.88359978692681,116.3388130819243
2025-11-10,114.82357933618833,111.19469101907893,125.32579831881,119.29666910826333
2025-12-10,118.25008360129074,113.93975497885324,126.78478629343584,122.3111601108534
2026-01-14,128.5633668431429,128.8750193783357,128.2607591661325,143.24797813134774
2026-02-12,122.95783502155396,119.81392350372248,129.7539146676337,135.82955137547478
2026-03-17,129.2659299607216,129.4485855103989,131.2428930823242,149.31849245244553
2026-04-16,125.72159078150403,122.49910337128391,132.73287594728205,133.64042076011694
2026-05-19,122.97522456286784,120.00372878634046,134.229317775349,127.2051771919624
