transaction_cost_bps,cumulative_return,cagr,annual_volatility,sharpe,max_drawdown,average_turnover
0,0.2375422689779405,0.09219631470442002,0.09953891376922755,-0.12862994664211702,-0.04825942380034065,0.21949453237497873
10,0.22975224562867846,0.08934617671539402,0.09951187204604454,-0.1573060862532744,-0.048664836896816,0.21949453237497873
20,0.22200862877384475,0.08650250877839016,0.09948825164895894,-0.18592638556913477,-0.04907018345817271,0.21949453237497873
