date,wealth,gross_return,net_return,turnover,friction_cost
2024-01-09,100.91535723926846,0.00915357239268455,0.00915357239268455,0.0,0.0
2024-02-07,101.80826001435705,0.008848036607268073,0.008848036607268073,0.0,0.0
2024-03-11,102.68518875885425,0.008613532383065392,0.008613532383065392,0.0,0.0
2024-04-10,103.55392566091979,0.008460196768062422,0.008460196768062422,0.0,0.0
2024-05-10,104.41126574732536,0.008279165477635964,0.008279165477635964,0.0,0.0
2024-06-11,105.27570389417684,0.00827916547763552,0.00827916547763552,0.0,0.0
2024-07-10,106.14729886749127,0.008279165477635297,0.008279165477635297,0.0,0.0
2024-08-08,107.02610991981929,0.008279165477635742,0.008279165477635742,0.0,0.0
2024-09-06,107.92382142173767,0.008387780351831076,0.008387780351831076,0.0,0.0
2024-10-07,108.83785515843621,0.008469249185744987,0.008469249185744987,0.0,0.0
2024-11-05,109.79692949326478,0.008811955485822809,0.008811955485822809,0.0,0.0
2024-12-06,110.83536942140921,0.00945782302781173,0.00945782302781173,0.0,0.0
2025-01-10,111.9271329687318,0.00985031721391727,0.00985031721391727,0.0,0.0
2025-02-10,113.08540243689191,0.010348424349292396,0.010348424349292396,0.0,0.0
2025-03-13,114.31951707024186,0.010913120586351965,0.010913120586351965,0.0,0.0
2025-04-11,115.5973031113098,0.011177321894063175,0.011177321894063175,0.0,0.0
2025-05-15,116.92180704946699,0.011457913831102173,0.011457913831102173,0.0,0.0
2025-06-13,118.2788691615152,0.011606578330371375,0.011606578330371375,0.0,0.0
2025-07-15,119.65581987775964,0.011641561387978339,0.011641561387978339,0.0,0.0
2025-08-13,121.04880045029543,0.011641561387978117,0.011641561387978117,0.0,0.0
2025-09-11,122.45799749167861,0.011641561387977672,0.011641561387977672,0.0,0.0
2025-10-10,123.88359978692681,0.011641561387977672,0.011641561387977672,0.0,0.0
2025-11-10,125.32579831881,0.011641561387977895,0.011641561387977895,0.0,0.0
2025-12-10,126.78478629343584,0.01164156138797856,0.01164156138797856,0.0,0.0
2026-01-14,128.2607591661325,0.01164156138797745,0.01164156138797745,0.0,0.0
2026-02-12,129.7539146676337,0.011641561387978117,0.011641561387978117,0.0,0.0
2026-03-17,131.2428930823242,0.011475402638175147,0.011475402638175147,0.0,0.0
2026-04-16,132.73287594728205,0.0113528651339867,0.0113528651339867,0.0,0.0
2026-05-19,134.229317775349,0.011274085771043607,0.011274085771043607,0.0,0.0
