Date,PETR4.SA,VALE3.SA,ITUB4.SA,BBDC4.SA,WEGE3.SA,RENT3.SA,ABEV3.SA,BBAS3.SA,TITULO_CDI
2023-01-02,12.579054832458496,64.79863739013672,16.607189178466797,10.64642333984375,34.76215744018555,44.441131591796875,11.857392311096191,13.217381477355957,100.050788
2023-01-03,12.260737419128418,64.68266296386719,16.261348724365234,10.118070602416992,33.895381927490234,43.34852981567383,11.840679168701172,12.970999717712402,100.10160179420944
2023-01-04,12.650403022766113,64.79863739013672,16.308815002441406,10.146978378295898,34.123470306396484,43.860145568847656,11.907527923583984,13.13790512084961,100.15244139572867
2023-01-05,13.105925559997559,65.8858642578125,16.81740951538086,10.58784008026123,34.19646072387695,44.22434616088867,11.940953254699707,13.737970352172852,100.20330681766474
2023-01-06,13.029091835021973,66.92959594726562,17.10899543762207,10.884150505065918,34.69828414916992,45.06548309326172,11.966022491455078,13.928717613220215,100.25419807313129
2023-01-09,13.100439071655273,67.00208282470703,17.23105812072754,11.021283149719238,34.59791946411133,45.013450622558594,12.03287124633789,13.79360580444336,100.30511517524867
2023-01-10,13.221181869506836,67.82837677001953,17.563335418701172,11.352069854736328,34.26033020019531,46.46157455444336,12.149858474731445,14.028069496154785,100.35605813714388
2023-01-11,13.325456619262695,67.58917999267578,17.86849021911621,11.577606201171875,35.21834182739258,47.710269927978516,11.940953254699707,14.226768493652344,100.40702697195056
2023-01-12,13.517544746398926,67.94434356689453,17.617599487304688,11.306961059570312,35.1362419128418,47.28535461425781,11.782186508178711,14.135368347167969,100.45802169280908
2023-01-13,13.48461627960205,68.00233459472656,17.529434204101562,11.269370079040527,35.55592727661133,46.574310302734375,11.59835147857666,14.167159080505371,100.50904231286644
2023-01-16,13.193741798400879,66.86437225341797,17.33955955505371,10.923548698425293,34.388065338134766,46.60898971557617,11.030132293701172,14.151263236999512,100.5600888452763
2023-01-17,14.006003379821777,66.77738189697266,17.698963165283203,10.99872875213623,34.953758239746094,48.20454406738281,11.58163833618164,14.981820106506348,100.61116130319903
2023-01-18,13.759025573730469,67.6544189453125,18.01767921447754,11.16412353515625,34.66179656982422,50.25099182128906,11.514788627624512,15.19641399383545,100.6622596998017
2023-01-19,14.209065437316895,67.94434356689453,18.01767921447754,11.186678886413574,34.588802337646484,49.34916687011719,11.397801399230957,15.542146682739258,100.71338404825802
2023-01-20,14.472500801086426,68.12554931640625,17.698963165283203,11.028797149658203,34.05961227416992,47.866355895996094,11.30588436126709,15.923646926879883,100.76453436174846
2023-01-23,14.703003883361816,68.3502426147461,17.15646743774414,10.562689781188965,34.096107482910156,48.846221923828125,11.213968276977539,15.80443000793457,100.81571065346012
2023-01-24,14.598727226257324,69.07506561279297,17.31243324279785,10.675454139709473,33.950111389160156,50.493804931640625,11.372735023498535,15.724946022033691,100.86691293658679
2023-01-25,14.785332679748535,69.7273941040039,17.373462677001953,10.600276947021484,35.32783508300781,51.32624816894531,11.45629596710205,16.154136657714844,100.91814122432903
