strategy,cumulative_return,cagr,annual_volatility,sharpe,max_drawdown,average_turnover,sharpe_excess_cdi
Benevente Quant AI,0.22975224562867846,0.08934617671539402,0.09951187204604454,-0.3212711260707253,-0.048664836896816,0.21949453237497873,-0.3212711260707253
MVO clássico,0.2000372878634047,0.07837605905196177,0.13741549319002652,-0.27613315305376623,-0.07296222424384646,0.22657390330851582,-0.27613315305376623
CDI,0.3422931777534899,0.12954195138549585,0.004980739521718567,,0.0,0.0,
Ibovespa,0.27205177191962404,0.10469747219884162,0.19916816377714436,-0.019563254382817984,-0.14809495392893612,0.0,-0.019563254382817984
