perfil,acoes_alvo,global_da_carteira,posicoes,cagr,vol,drawdown,pior_ano,sharpe_excesso,ganha_cdi,anos
conservador,0.35,0.07,12,0.1250873778032222,0.05840175108513378,-0.09157090199409423,0.03096267663745511,0.5607796437360203,8,11
equilibrado,0.55,0.11,8,0.15513512134109408,0.10508380184044552,-0.1786231422696749,0.010168449170994798,0.6029963794116701,8,11
arrojado,0.75,0.15,5,0.19866922148746902,0.1694341099458304,-0.28939041755135564,-0.01471749312942272,0.6456917290169876,8,11
